Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Торопецкая																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16988	1389	1291	721	675	1270	1221	434	270	510	686	752	1376	783	418	189	1006	152	177	340	378	398	260	805	321	279	403	484									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16850	1400	1300	700	650	1250	1250	450	250	500	700	700	1400	800	400	150	1000	150	150	350	400	400	250	800	300	250	400	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5552	476	500	193	252	415	343	119	159	167	257	239	580	192	132	78	244	76	73	91	107	116	43	159	163	98	142	138									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1729	40	33	14	28	25	31	29	24	23	26	54	34	177	122	42	167	44	27	78	86	113	91	245	12	29	22	113									
6	Число погашенных избирательных бюллетеней	9569	884	767	493	370	810	876	302	67	310	417	407	786	431	146	30	589	30	50	181	207	171	116	396	125	123	236	249									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1729	40	33	14	28	25	31	29	24	23	26	54	34	177	122	42	167	44	27	78	86	113	91	245	12	29	22	113									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5552	476	500	193	252	415	343	119	159	167	257	239	580	192	132	78	244	76	73	91	107	116	43	159	163	98	142	138									
9	Число недействительных избирательных бюллетеней	117	14	7	7	4	9	7	2	2	5	4	1	16	5	4	1	3	0	1	2	2	0	0	11	2	1	3	4									
10	Число действительных избирательных бюллетеней	7164	502	526	200	276	431	367	146	181	185	279	292	598	364	250	119	408	120	99	167	191	229	134	393	173	126	161	247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	207	10	10	5	5	10	10	10	8	5	10	5	21	15	5	5	10	5	5	5	5	5	5	13	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	120	9	10	3	4	7	7	5	5	1	7	3	14	10	1	3	3	5	0	4	2	0	0	10	0	2	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	113	7	10	4	4	7	7	1	2	2	3	7	11	10	3	7	3	1	0	4	1	3	1	5	5	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	87	1	0	2	1	3	3	5	3	4	3	2	7	5	4	2	7	0	5	1	3	5	5	3	5	3	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	9	4	4	2	3	4	1	6	3	5	3	12	2	2	0	2	0	0	1	2	2	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	70	6	7	2	2	5	1	1	2	4	1	5	10	3	2	0	0	0	1	0	3	0	1	3	3	2	3	3									
		0.96%	1.16%	1.31%	0.97%	0.71%	1.14%	0.27%	0.68%	1.09%	2.11%	0.35%	1.71%	1.63%	0.81%	0.79%	0.00%	0.00%	0.00%	1.00%	0.00%	1.55%	0.00%	0.75%	0.74%	1.71%	1.57%	1.83%	1.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	164	14	18	5	7	5	9	1	0	5	9	5	19	11	4	3	13	1	1	5	1	1	1	12	6	3	2	3									
		2.25%	2.71%	3.38%	2.42%	2.50%	1.14%	2.41%	0.68%	0.00%	2.63%	3.18%	1.71%	3.09%	2.98%	1.57%	2.50%	3.16%	0.83%	1.00%	2.96%	0.52%	0.44%	0.75%	2.97%	3.43%	2.36%	1.22%	1.20%									
