Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Рассказовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16040	691	447	289	1077	284	295	338	1579	1447	624	626	946	927	911	196	139	250	231	540	443	207	391	560	369	109	697	437	312	678									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16070	710	440	290	1090	280	290	350	1580	1440	630	630	950	930	910	190	140	250	230	530	420	210	390	560	370	110	700	440	310	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6115	427	123	105	337	144	96	113	494	370	451	107	203	150	233	128	102	97	142	239	168	109	155	155	208	69	307	248	213	422									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1545	59	104	45	155	29	32	11	95	126	23	82	85	140	48	19	13	14	20	99	46	23	29	43	40	10	31	43	25	56									
6	Число погашенных избирательных бюллетеней	8410	224	213	140	598	107	162	226	991	944	156	441	662	640	629	43	25	139	68	192	206	78	206	362	122	31	362	149	72	222									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1545	59	104	45	155	29	32	11	95	126	23	82	85	140	48	19	13	14	20	99	46	23	29	43	40	10	31	43	25	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6115	427	123	105	337	144	96	113	494	370	451	107	203	150	233	128	102	97	142	239	168	109	155	155	208	69	307	248	213	422									
9	Число недействительных избирательных бюллетеней	137	0	0	0	5	6	2	3	10	13	6	4	4	0	4	2	0	7	6	0	3	2	4	7	4	2	32	1	2	8									
10	Число действительных избирательных бюллетеней	7523	486	227	150	487	167	126	121	579	483	468	185	284	290	277	145	115	104	156	338	211	130	180	191	244	77	306	290	236	470									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	213	8	5	5	10	5	5	8	10	10	8	10	10	10	10	5	4	5	5	6	5	3	5	8	5	5	10	8	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	103	8	2	3	7	1	1	8	4	9	8	6	4	2	4	0	0	1	1	2	1	1	1	7	1	0	4	2	0	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	0	4	1	2	1	3	2	3	1	1	5	9	1	1	1	1	2	2	14	16	6	1	3	3	2	1	3	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	110	0	3	2	3	4	4	0	6	1	0	4	6	8	6	5	4	4	4	4	4	2	4	1	4	5	6	6	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	6	1	1	3	0	0	2	5	3	4	2	6	2	3	0	0	0	1	2	1	0	0	3	0	1	1	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	437	12	4	0	19	6	7	7	48	26	19	25	23	24	16	0	1	8	5	14	11	4	21	16	11	1	60	0	15	34									
		5.70%	2.47%	1.76%	0.00%	3.86%	3.47%	5.47%	5.65%	8.15%	5.24%	4.01%	13.23%	7.99%	8.28%	5.69%	0.00%	0.87%	7.21%	3.09%	4.14%	5.14%	3.03%	11.41%	8.08%	4.44%	1.27%	17.75%	0.00%	6.30%	7.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	165	8	8	2	9	4	4	1	15	5	15	5	9	8	13	2	0	3	2	7	12	0	3	3	8	0	9	0	5	5									
		2.15%	1.65%	3.52%	1.33%	1.83%	2.31%	3.13%	0.81%	2.55%	1.01%	3.16%	2.65%	3.13%	2.76%	4.63%	1.36%	0.00%	2.70%	1.23%	2.07%	5.61%	0.00%	1.63%	1.52%	3.23%	0.00%	2.66%	0.00%	2.10%	1.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	68	5	0	0	6	2	0	3	10	4	8	3	2	1	3	0	1	1	0	2	5	1	3	2	1	0	1	0	2	2									
		0.89%	1.03%	0.00%	0.00%	1.22%	1.16%	0.00%	2.42%	1.70%	0.81%	1.69%	1.59%	0.69%	0.34%	1.07%	0.00%	0.87%	0.90%	0.00%	0.59%	2.34%	0.76%	1.63%	1.01%	0.40%	0.00%	0.30%	0.00%	0.84%	0.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4826	342	170	126	323	137	90	51	286	242	297	77	139	171	154	133	102	55	108	227	148	83	92	91	164	67	132	284	191	344									
		63.00%	70.37%	74.89%	84.00%	65.65%	79.19%	70.31%	41.13%	48.56%	48.79%	62.66%	40.74%	48.26%	58.97%	54.80%	90.48%	88.70%	49.55%	66.67%	67.16%	69.16%	62.88%	50.00%	45.96%	66.13%	84.81%	39.05%	97.59%	80.25%	71.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	2	0	1	2	1	0	1	5	5	1	1	2	4	2	1	1	1	0	1	0	0	2	2	3	1	2	0	0	0									
		0.54%	0.41%	0.00%	0.67%	0.41%	0.58%	0.00%	0.81%	0.85%	1.01%	0.21%	0.53%	0.69%	1.38%	0.71%	0.68%	0.87%	0.90%	0.00%	0.30%	0.00%	0.00%	1.09%	1.01%	1.21%	1.27%	0.59%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0									
		0.14%	0.21%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.34%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.54%	0.51%	0.40%	0.00%	0.30%	0.00%	0.00%	0.00%									
