Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Ферзиковская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11640	677	259	727	558	576	739	380	298	508	922	482	239	227	420	143	303	608	2564	1010									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10625	600	275	650	600	500	600	400	300	500	900	450	275	225	425	150	275	600	2000	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5848	293	166	332	263	403	438	259	207	317	418	147	148	116	281	52	102	222	1217	467									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1749	37	28	204	200	55	49	86	51	85	125	168	68	81	85	36	49	229	73	40									
6	Число погашенных избирательных бюллетеней	3028	270	81	114	137	42	113	55	42	98	357	135	59	28	59	62	124	149	710	393									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1749	37	28	204	200	55	49	86	51	85	125	168	68	81	85	36	49	229	73	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5848	293	166	332	263	403	438	259	207	317	418	147	148	116	281	52	102	222	1217	467									
9	Число недействительных избирательных бюллетеней	107	1	5	1	6	3	3	7	4	4	13	4	2	2	1	2	4	9	26	10									
10	Число действительных избирательных бюллетеней	7490	329	189	535	457	455	484	338	254	398	530	311	214	195	365	86	147	442	1264	497									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	820	20	40	30	140	20	30	50	60	50	90	15	50	25	60	15	25	30	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	727	20	36	30	140	20	4	40	55	47	90	15	50	25	60	15	2	30	36	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	135	3	4	5	4	2	5	2	12	6	9	3	7	4	9	7	5	5	35	8									
14	Число погашенных неиспользованных открепительных удостоверений	93	0	4	0	0	0	26	10	5	3	0	0	0	0	0	0	23	0	4	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	1	0	1	2	0	0	0	2	0	3	0	1	1	0	0	0	6	14	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	7	4	4	7	4	13	7	3	5	5	4	2	1	4	0	1	8	13	3									
		1.25%	2.12%	2.06%	0.75%	1.51%	0.87%	2.67%	2.03%	1.16%	1.24%	0.92%	1.27%	0.93%	0.51%	1.09%	0.00%	0.66%	1.77%	1.01%	0.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	10	9	7	8	8	5	13	7	9	12	5	3	5	6	2	5	12	31	9									
		2.19%	3.03%	4.64%	1.31%	1.73%	1.75%	1.03%	3.77%	2.71%	2.24%	2.21%	1.59%	1.39%	2.54%	1.64%	2.27%	3.31%	2.66%	2.40%	1.78%									
