Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Балтачевская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919					
1	"Число избирателей, внесенных в список"	17524	1580	1044	1132	495	140	302	199	334	186	353	148	135	423	349	121	487	127	461	246	224	161	139	160	107	286	485	278	127	429	420	336	97	410	64	218	159	301	139	272	172	239	263	348	184	287	146	368	156	253	217	307	188	149	177	357	179	460					
2	Число полученных избирательных бюллетеней	17794	1550	1043	1135	501	142	316	201	337	194	358	154	139	423	349	122	488	129	468	248	240	161	141	164	109	286	484	278	127	442	424	338	100	416	68	299	165	309	144	276	177	243	267	349	184	290	153	371	160	258	219	313	193	152	187	364	182	464					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16691	1440	1022	1114	466	135	288	187	307	175	338	145	135	414	346	121	478	127	444	240	217	155	133	153	101	281	441	270	127	397	320	327	91	383	63	214	159	297	133	236	167	239	257	321	159	283	144	356	149	246	213	293	178	149	173	344	162	438					
5	"Число избирательных бюллетеней, выданных вне помещения"	736	97	18	13	29	5	12	11	27	11	12	3	0	9	3	0	8	0	17	6	7	5	6	6	6	5	28	7	0	32	100	9	5	22	0	4	0	4	4	36	5	0	0	27	25	4	2	12	7	7	4	13	10	0	2	13	16	22					
6	Число погашенных избирательных бюллетеней	367	13	3	8	6	2	16	3	3	8	8	6	4	0	0	1	2	2	7	2	16	1	2	5	2	0	15	1	0	13	4	2	4	11	5	81	6	8	7	4	5	4	10	1	0	3	7	3	4	5	2	7	5	3	12	7	4	4					
7	Число избирательных бюллетеней в переносных ящиках	736	97	18	13	29	5	12	11	27	11	12	3	0	9	3	0	8	0	17	6	7	5	6	6	6	5	28	7	0	32	100	9	5	22	0	4	0	4	4	36	5	0	0	27	25	4	2	12	7	7	4	13	10	0	2	13	16	22					
8	Число бюллетеней в стационарных ящиках для голосования	16691	1440	1022	1114	466	135	288	187	307	175	338	145	135	414	346	121	478	127	444	240	217	155	133	153	101	281	441	270	127	397	320	327	91	383	63	214	159	297	133	236	167	239	257	321	159	283	144	356	149	246	213	293	178	149	173	344	162	438					
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17425	1537	1040	1127	495	140	300	198	334	186	350	148	135	423	349	121	486	127	461	246	224	160	139	159	107	286	469	277	127	429	420	336	95	405	63	218	158	301	137	272	172	239	257	348	184	287	146	368	156	253	217	306	188	149	175	357	178	460					
11	Число полученных открепительных  удостоверений	249	14	11	11	7	3	4	3	5	3	5	3	3	6	5	3	7	3	6	3	3	3	3	3	3	4	7	4	3	6	6	4	3	5	3	4	3	4	3	4	3	3	4	5	3	4	3	5	3	3	3	4	3	3	3	5	3	6					
12	Число выданных открепительных удостоверений	101	10	2	11	2	0	4	0	0	0	3	2	3	1	2	1	1	0	0	0	3	0	0	3	0	2	6	0	0	6	2	0	0	1	1	2	2	3	3	1	2	1	1	0	3	2	0	1	1	2	1	1	1	1	3	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	18	7	5	0	3	0	0	1	0	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	4	3	0	0	2	3	1	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0	1	0	0	1	1	0	1	0	2	0	2					
14	Число неиспользованных открепительных удостоверений	148	4	9	0	5	3	0	3	5	3	2	1	0	5	3	2	6	3	6	3	0	3	3	0	3	2	1	4	3	0	4	4	3	4	2	2	1	1	0	3	1	2	3	5	0	2	3	4	2	1	2	3	2	2	0	1	3	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	17387	1530	1037	1122	493	140	299	196	334	186	350	148	135	423	349	121	484	127	460	246	224	160	139	159	106	286	468	276	127	429	420	335	95	403	63	217	158	299	136	271	172	239	257	348	184	287	146	368	156	253	217	306	187	149	172	357	178	460					
		99.77%	99.54%	99.71%	99.56%	99.60%	100.00%	99.67%	98.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.59%	100.00%	99.78%	100.00%	100.00%	100.00%	100.00%	100.00%	99.07%	100.00%	99.79%	99.64%	100.00%	100.00%	100.00%	99.70%	98.96%	99.51%	100.00%	99.54%	99.37%	99.34%	99.27%	99.63%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.47%	100.00%	98.29%	100.00%	100.00%	100.00%					
22	. Хакамада Ирина Муцуовна	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	26	4	2	1	2	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0					
		0.15%	0.26%	0.19%	0.09%	0.40%	0.00%	0.33%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.46%	0.00%	0.66%	0.73%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	1.71%	0.00%	0.00%	0.00%					
																																																																
24	Против всех	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.10%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																
