Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Котельниковская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048					
1	"Число избирателей, внесенных в список избирателей"	19896	425	2622	2380	2105	2202	2230	2788	2508	2636					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14290	290	1865	1755	1510	1575	1600	1990	1875	1830					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10010	252	1373	1275	1098	1180	953	1185	1235	1459					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	257	4	26	25	75	39	15	5	22	46					
6	Число погашенных избирательных бюллетеней	4023	34	466	455	337	356	632	800	618	325					
7	Число избирательных бюллетеней в переносных ящиках для голосования	257	4	26	25	75	39	15	5	22	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10010	252	1373	1275	1098	1180	953	1185	1235	1459					
9	Число недействительных избирательных бюллетеней	270	4	52	51	9	36	33	16	23	46					
10	Число действительных избирательных бюллетеней	9997	252	1347	1249	1164	1183	935	1174	1234	1459					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	10	50	55	25	25	25	30	35	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	252	8	42	49	24	22	21	28	35	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	807	23	189	84	66	84	83	67	47	164					
14	Число погашенных неиспользованных открепительных удостоверений	33	2	8	6	1	3	4	2	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	1	3	3	4	1	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1382	35	211	246	141	201	133	171	117	127					
		13.46%	13.67%	15.08%	18.92%	12.02%	16.49%	13.74%	14.37%	9.31%	8.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1761	44	243	227	200	204	186	166	226	265					
		17.15%	17.19%	17.37%	17.46%	17.05%	16.74%	19.21%	13.95%	17.98%	17.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	120	1	19	18	10	14	15	14	15	14					
		1.17%	0.39%	1.36%	1.38%	0.85%	1.15%	1.55%	1.18%	1.19%	0.93%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2052	50	293	265	230	238	203	238	238	297					
		19.99%	19.53%	20.94%	20.38%	19.61%	19.52%	20.97%	20.00%	18.93%	19.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	694	35	102	63	60	73	95	134	68	64					
		6.76%	13.67%	7.29%	4.85%	5.12%	5.99%	9.81%	11.26%	5.41%	4.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3915	87	466	423	513	443	295	436	564	688					
		38.13%	33.98%	33.31%	32.54%	43.73%	36.34%	30.48%	36.64%	44.87%	45.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	73	0	13	7	10	10	8	15	6	4					
		0.71%	0.00%	0.93%	0.54%	0.85%	0.82%	0.83%	1.26%	0.48%	0.27%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
