Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кесовогорская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6550	1186	1103	934	131	325	200	112	362	198	200	226	130	431	256	381	197	178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6050	1000	1000	900	100	300	200	100	350	200	200	200	100	450	250	350	200	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2027	474	354	278	40	84	47	44	50	55	79	94	64	126	28	106	66	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	855	45	46	18	29	53	33	11	109	53	27	79	16	74	88	79	49	46									
6	Число погашенных избирательных бюллетеней	3168	481	600	604	31	163	120	45	191	92	94	27	20	250	134	165	85	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	855	45	46	18	29	53	33	11	109	53	27	79	16	74	88	79	49	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2026	474	353	278	40	84	47	44	50	55	79	94	64	126	28	106	66	38									
9	Число недействительных избирательных бюллетеней	52	14	9	10	0	5	0	1	0	2	4	2	1	1	0	1	2	0									
10	Число действительных избирательных бюллетеней	2829	505	390	286	69	132	80	54	159	106	102	171	79	199	116	184	113	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	172	20	20	20	5	10	5	5	10	10	10	10	5	15	5	10	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	97	17	5	5	0	1	0	0	6	0	10	10	1	15	5	10	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	7	1	5	2	3	3	0	4	0	1	1	2	0	2	6	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	75	3	15	15	5	9	5	5	4	10	0	0	4	0	0	0	0	0									
