Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383					
1	"Число избирателей, внесенных в список"	115618	2015	2051	1652	1051	1262	2062	1791	2613	1966	932	2327	1654	2274	2736	2497	229	1748	1408	1980	2046	2718	2149	2016	2370	2248	2609	2423	2794	2544	2630	3305	2955	2514	2504	2726	2225	2543	2509	2350	1284	3346	2335	2850	2698	2732	2186	2179	1592	1706	1930	2570	165	608	1054	1476	28	48	68	337					
2	Число полученных избирательных бюллетеней	102400	1850	1900	1500	950	1150	1850	1600	2300	1800	830	2200	1450	2000	2400	2000	200	1600	1250	1800	1850	2450	1950	1900	2150	2050	2400	2200	2500	2300	2350	2100	2650	2200	2200	2400	2000	2300	2250	2050	1100	2600	1950	2500	2400	2450	2000	1950	1400	1500	1700	2250	150	520	950	1300	100	100	100	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59880	1148	1159	983	607	736	1292	955	1451	1154	413	1408	1008	1313	1336	1268	82	821	504	839	1085	1457	1057	1054	1153	1118	1341	1249	1405	1324	1310	1893	1405	1298	1233	1364	1045	1361	1345	1247	603	1942	1282	1440	1298	1380	1094	1004	767	863	982	967	65	271	466	758	28	47	65	337					
5	"Число избирательных бюллетеней, выданных вне помещения"	1414	34	49	29	19	36	18	23	31	30	22	28	65	18	46	6	6	7	25	12	10	11	11	11	13	15	9	11	20	19	9	9	32	81	9	14	33	25	32	12	20	12	10	53	9	21	13	13	20	14	2	242	15	21	31	28	0	0	0	0					
6	Число погашенных избирательных бюллетеней	41104	668	692	488	324	378	540	622	818	616	395	764	376	669	1017	726	112	772	721	949	755	982	882	835	984	917	1050	940	1075	957	1031	198	1213	821	958	1022	922	914	873	791	477	646	658	1007	1093	1049	893	933	613	623	716	1041	70	228	453	514	72	53	35	163					
7	Число избирательных бюллетеней в переносных ящиках	1414	34	49	29	19	36	18	23	31	30	22	28	65	18	46	6	6	7	25	12	10	11	11	11	13	15	9	11	20	19	9	9	32	81	9	14	33	25	32	12	20	12	10	53	9	21	13	13	20	14	2	242	15	21	31	28	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	59842	1148	1158	980	606	736	1292	952	1451	1153	413	1408	1007	1313	1336	1265	82	821	504	839	1085	1452	1057	1053	1153	1118	1341	1249	1405	1324	1310	1893	1405	1298	1233	1364	1045	1357	1345	1243	601	1941	1282	1440	1296	1380	1092	1002	765	863	982	967	65	271	466	758	28	47	65	337					
9	Число недействительных избирательных бюллетеней	540	6	11	7	1	5	2	10	11	6	4	5	3	6	13	9	0	6	15	11	8	10	9	8	14	17	13	10	8	8	13	20	7	16	10	9	11	12	18	12	4	21	6	20	11	14	15	6	12	7	8	26	0	9	4	12	0	0	0	1					
10	Число действительных избирательных бюллетеней	60716	1176	1196	1002	624	767	1308	965	1471	1177	431	1431	1069	1325	1369	1262	88	822	514	840	1087	1453	1059	1056	1152	1116	1337	1250	1417	1335	1306	1882	1430	1363	1232	1369	1067	1370	1359	1243	617	1932	1286	1473	1294	1387	1090	1009	773	870	976	1183	80	283	493	774	28	47	65	336					
