Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Серовская городская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №808	УИК №809	УИК №810	УИК №812	УИК №813	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514					
1	"Число избирателей, внесенных в список избирателей"	73917	431	1481	142	1203	1084	237	19	131	164	150	93	157	525	1743	1751	1447	1361	1462	1199	1148	1432	1464	1568	1536	1792	1537	1391	1397	1624	1525	1386	1376	1207	1614	1422	1442	1525	1910	1585	1449	1830	1157	1979	2148	1301	2006	1591	1607	829	1239	745	1005	367	1921	1778	1708	1617	1445	1392	142					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56620	400	1200	140	1050	930	250	30	130	150	140	90	150	520	1250	1350	1100	1000	1100	900	850	1050	1100	1200	1200	1350	1150	1100	1100	1250	1150	1100	1050	900	1200	1100	1100	1100	1450	1200	1100	1400	850	1500	1600	950	1500	1200	1200	650	900	550	750	300	1450	1350	1300	1200	1100	1050	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	42	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39716	255	656	53	542	537	117	10	74	123	80	23	82	290	958	874	717	709	735	611	598	766	904	805	750	979	879	813	875	974	942	712	794	733	981	843	862	1008	928	946	873	1017	717	1205	1177	609	1037	591	813	479	555	351	540	176	1057	998	930	884	570	559	40					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2392	48	52	12	165	164	29	3	6	6	16	0	10	220	38	13	40	36	29	19	52	14	29	23	19	45	29	27	14	37	30	21	26	32	35	41	26	21	38	27	24	22	40	22	21	22	9	44	53	12	41	75	21	39	23	47	29	63	133	134	26					
6	Число погашенных избирательных бюллетеней	14470	97	492	75	343	229	104	17	50	21	44	42	58	10	254	463	343	255	336	270	200	270	167	372	431	326	242	260	211	239	178	367	230	135	184	216	212	71	484	227	203	361	93	273	402	319	454	565	334	159	304	124	189	85	370	305	341	253	397	357	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2434	48	52	12	165	164	29	3	6	6	16	25	10	220	38	13	40	36	29	19	52	14	29	23	19	45	29	27	14	37	30	21	26	32	35	41	26	21	38	27	24	22	40	22	21	22	9	44	53	12	41	75	21	39	23	47	29	63	133	134	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39709	255	656	53	542	537	117	10	74	123	80	23	82	290	958	874	717	709	735	611	598	765	904	805	750	978	879	813	875	974	942	712	794	733	981	843	862	1008	928	946	872	1017	717	1204	1177	609	1037	591	813	478	555	351	539	176	1057	997	930	884	570	559	40					
9	Число недействительных избирательных бюллетеней	1221	10	20	0	10	22	1	0	1	5	2	1	0	10	17	24	23	8	31	16	11	27	27	14	22	35	25	24	41	32	29	23	20	32	24	21	22	27	20	35	29	21	15	28	35	14	61	16	29	26	13	15	15	13	53	40	28	18	19	20	1					
10	Число действительных избирательных бюллетеней	40922	293	688	65	697	679	145	13	79	124	94	47	92	500	979	863	734	737	733	614	639	752	906	814	747	988	883	816	848	979	943	710	800	733	992	863	866	1002	946	938	867	1018	742	1198	1163	617	985	619	837	464	583	411	545	202	1027	1004	931	929	684	673	82					
