Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Новоалександровская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46333	1787	1179	1420	2680	2660	1964	1029	1374	1582	1694	1870	1868	144	938	305	250	555	148	959	854	639	218	80	332	1718	660	128	299	807	1125	1710	1527	157	187	346	1236	188	108	186	171	171	183	2323	1166	175	1729	2086	821	366	231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42610	1700	1000	1200	2400	2400	1700	1000	1200	1400	1600	1600	1600	150	900	310	260	560	150	900	800	600	220	80	330	1600	600	140	310	810	1000	1500	1400	170	190	360	1100	200	120	200	180	180	190	2200	1000	180	1700	1800	800	380	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26390	846	717	611	1802	1251	1125	396	600	784	695	907	844	120	480	200	161	334	82	489	681	468	195	59	205	1181	326	85	229	451	805	1126	1044	143	155	295	565	128	82	132	114	117	119	1642	724	117	782	776	682	325	193									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2327	61	60	177	136	265	61	58	45	29	131	85	21	4	55	25	16	46	12	87	21	8	11	3	25	108	84	14	30	30	37	34	33	10	11	22	34	10	0	10	6	3	12	39	49	2	118	129	49	4	7									
6	Число погашенных избирательных бюллетеней	13893	793	223	412	462	884	514	546	555	587	774	608	735	26	365	85	83	180	56	324	98	124	14	18	100	311	190	41	51	329	158	340	323	17	24	43	501	62	38	58	60	60	59	519	227	61	800	895	69	51	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2327	61	60	177	136	265	61	58	45	29	131	85	21	4	55	25	16	46	12	87	21	8	11	3	25	108	84	14	30	30	37	34	33	10	11	22	34	10	0	10	6	3	12	39	49	2	118	129	49	4	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26369	846	717	611	1802	1251	1125	396	600	784	695	907	823	120	480	200	161	334	82	489	681	468	195	59	205	1181	326	85	229	451	805	1126	1044	143	155	295	565	128	82	132	114	117	119	1642	724	117	782	776	682	325	193									
9	Число недействительных избирательных бюллетеней	508	17	4	14	43	11	27	14	12	10	20	71	14	1	8	0	3	14	0	8	13	5	0	0	5	5	3	1	0	9	12	15	16	0	1	1	9	0	0	0	1	1	3	11	16	3	25	35	14	10	3									
10	Число действительных избирательных бюллетеней	28188	890	773	774	1895	1505	1159	440	633	803	806	921	830	123	527	225	174	366	94	568	689	471	206	62	225	1284	407	98	259	472	830	1145	1061	153	165	316	590	138	82	142	119	119	128	1670	757	116	875	870	717	319	197									
