Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Комсомольская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574					
1	"Число избирателей, внесенных в списки"	17854	1507	1726	1253	2424	790	1162	235	461	190	325	209	341	372	1106	1004	118	476	1089	1206	184	816	81	191	345	243					
2	"Число бюллетеней, полученных участковыми комиссиями"	17502	1490	1631	1182	2350	775	1172	236	453	185	319	208	339	374	1104	979	116	477	1080	1171	182	815	89	187	345	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8909	810	963	675	1247	480	518	113	202	75	151	80	136	173	517	578	61	280	525	537	75	337	48	67	159	102					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1461	39	46	49	68	21	134	47	80	40	67	27	77	57	82	71	17	52	65	84	83	108	6	62	60	19					
6	Число погашенных бюллетеней	7132	641	622	458	1035	274	520	76	171	70	101	101	126	144	505	330	38	145	490	550	24	370	35	58	126	122					
7	Число бюллетеней в переносных ящиках для голосования	1461	39	46	49	68	21	134	47	80	40	67	27	77	57	82	71	17	52	65	84	83	108	6	62	60	19					
8	Число бюллетеней в стационарных ящиках для голосования	8905	807	963	675	1246	480	518	113	202	75	151	80	136	173	517	578	61	280	525	537	75	337	48	67	159	102					
9	Число недействительных бюллетеней	167	19	9	4	20	15	12	1	1	1	5	2	3	3	10	13	3	0	21	23	0	2	0	0	0	0					
10	Число действительных бюллетеней	10199	827	1000	720	1294	486	640	159	281	114	213	105	210	227	589	636	75	332	569	598	158	443	54	129	219	121					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	184	9	10	10	11	10	10	10	5	5	5	5	5	5	10	10	5	5	10	10	5	7	7	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	95	8	10	8	11	4	8	10	2	0	0	1	0	2	8	4	0	0	3	1	0	7	6	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	4	9	5	7	2	5	4	9	1	4	2	1	2	3	3	1	2	7	3	2	0	1	1	1	1					
14	Число погашенных открепительных удостоверений	89	1	0	2	0	6	2	0	3	5	5	4	5	3	2	6	5	5	7	9	5	0	1	5	3	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	94	8	8	6	10	5	5	1	5	0	2	0	3	3	6	1	0	4	9	5	0	3	2	4	3	1					
		0.90%	0.94%	0.79%	0.82%	0.76%	0.99%	0.76%	0.62%	1.77%	0.0%	0.91%	0.0%	1.40%	1.30%	1.00%	0.15%	0.0%	1.20%	1.52%	0.80%	0.0%	0.67%	3.70%	3.10%	1.36%	0.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	358	28	48	40	46	21	17	5	4	0	14	1	3	10	24	14	10	9	10	22	2	19	1	1	5	4					
		3.45%	3.30%	4.75%	5.52%	3.50%	4.19%	2.60%	3.12%	1.41%	0.0%	6.42%	0.93%	1.40%	4.34%	4.00%	2.15%	12.82%	2.71%	1.69%	3.54%	1.26%	4.26%	1.85%	0.77%	2.28%	3.30%					
