Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Медведевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51840	2531	1388	1345	1775	1313	1404	1519	1339	945	882	1276	637	1143	1525	870	263	216	960	308	2322	427	1395	695	221	1647	1224	2364	1178	776	627	890	357	1166	1928	693	1334	1455	1917	1095	241	693	637	311	513	1490	349	434	659	1163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48180	2220	1260	1220	1510	1180	1280	1300	1130	860	780	1160	600	1060	1390	800	240	200	900	300	2100	390	1270	610	190	1800	1830	2150	1320	770	620	830	330	1070	1670	660	1230	1340	1720	1010	210	610	540	280	500	1350	320	380	600	1090									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27288	1305	687	638	885	697	665	714	709	490	392	512	288	644	888	370	127	125	545	158	1035	197	677	308	129	1102	1057	1561	527	487	267	686	170	578	890	521	700	622	1012	547	177	303	329	164	292	709	158	214	270	760									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3363	21	23	5	13	10	11	8	59	14	38	104	54	23	93	112	46	13	83	75	102	142	93	47	19	210	114	75	37	19	93	106	66	89	115	101	73	397	85	55	5	46	24	26	68	97	43	113	57	41									
6	Число погашенных избирательных бюллетеней	17529	894	550	577	612	473	604	578	362	356	350	544	258	393	409	318	67	62	272	67	963	51	500	255	42	488	659	514	756	264	260	38	94	403	665	38	457	321	623	408	28	261	187	90	140	544	119	53	273	289									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3363	21	23	5	13	10	11	8	59	14	38	104	54	23	93	112	46	13	83	75	102	142	93	47	19	210	114	75	37	19	93	106	66	89	115	101	73	397	85	55	5	46	24	26	68	97	43	113	57	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27266	1305	687	638	885	697	665	714	709	490	392	512	288	644	888	370	127	125	545	158	1035	197	677	308	129	1102	1035	1561	527	487	267	686	170	578	890	521	700	622	1012	547	177	303	329	164	292	709	158	214	270	760									
9	Число недействительных избирательных бюллетеней	460	24	10	12	12	16	15	7	14	5	0	7	5	18	18	8	3	2	0	6	26	0	11	4	2	22	0	10	5	11	6	14	0	7	13	0	15	11	47	8	0	0	11	3	9	10	6	5	10	12									
10	Число действительных избирательных бюллетеней	30169	1302	700	631	886	691	661	715	754	499	430	609	337	649	963	474	170	136	628	227	1111	339	759	351	146	1290	1149	1626	559	495	354	778	236	660	992	622	758	1008	1050	594	182	349	342	187	351	796	195	322	317	789									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1748	40	25	30	30	25	21	50	35	20	20	30	30	40	40	30	15	10	40	40	50	30	50	30	20	40	60	100	70	80	60	50	30	50	50	40	30	45	35	30	10	20	20	20	40	27	10	20	20	40									
