Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Октябрьская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №8092	УИК №8094									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55025	863	1095	772	1088	358	405	224	1961	1418	320	742	186	292	1381	227	1422	1407	1550	300	1087	236	289	849	1156	2253	1179	108	1228	490	312	2857	1140	2559	1280	294	744	903	447	1029	1922	1425	844	2118	1474	2626	2661	2066	1487	1099	271	581									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92400	850	1050	750	1050	355	420	225	1850	1400	310	740	180	295	1350	230	1400	1350	1500	295	1000	235	280	850	1100	2200	1100	105	1150	490	310	2650	1100	2450	1200	290	745	900	450	1160	1880	1390	850	2100	1265	2550	2550	2000	1400	1050	15000	25000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35696	557	706	541	763	317	261	188	1341	1057	230	489	135	230	975	138	930	871	675	137	418	104	136	496	723	1509	794	67	737	300	198	1363	697	1760	925	192	578	676	345	728	1251	983	656	1524	868	1673	1791	935	1041	835	271	581									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2895	83	84	62	25	22	64	0	51	3	32	67	11	0	33	54	108	132	61	19	36	7	15	126	80	113	82	14	151	77	51	137	155	57	40	49	24	11	15	23	38	13	36	3	193	119	71	98	89	61	0	0									
6	Число погашенных избирательных бюллетеней	53809	210	260	147	262	16	95	37	458	340	48	184	34	65	342	38	362	347	764	139	546	124	129	228	297	578	224	24	262	113	61	1150	248	633	235	49	143	213	90	409	591	394	158	573	204	758	688	967	270	154	14729	24419									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2895	83	84	62	25	22	64	0	51	3	32	67	11	0	33	54	108	132	61	19	36	7	15	126	80	113	82	14	151	77	51	137	155	57	40	49	24	11	15	23	38	13	36	3	193	119	71	98	89	61	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35694	557	706	541	763	317	261	188	1341	1057	230	489	135	230	975	138	930	871	675	137	418	104	136	496	723	1509	794	67	737	300	198	1363	697	1760	925	192	578	676	345	727	1251	983	656	1524	868	1673	1791	935	1041	835	271	580									
9	Число недействительных избирательных бюллетеней	191	1	0	0	0	0	0	0	0	0	0	14	3	0	0	0	0	7	15	3	28	0	0	0	0	3	5	2	0	0	0	12	0	0	0	0	6	0	0	2	0	47	6	0	4	6	0	2	11	4	3	7									
10	Число действительных избирательных бюллетеней	38398	639	790	603	788	339	325	188	1392	1060	262	542	143	230	1008	192	1038	996	721	153	426	111	151	622	803	1619	871	79	888	377	249	1488	852	1817	965	241	596	687	360	748	1289	949	686	1527	1057	1786	1862	1031	1119	892	268	573									
