Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Ординская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12548	1675	1699	853	452	293	774	222	504	833	224	702	554	278	178	126	812	335	484	773	777									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11700	1500	1500	800	400	250	750	200	500	800	200	700	550	250	150	100	800	300	450	750	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	161	0	0	0	20	0	18	0	18	43	0	0	0	0	0	0	28	0	34	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3980	598	587	265	118	120	190	67	113	211	75	161	173	76	70	50	220	127	131	324	304									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	335	15	22	14	7	12	38	20	15	13	5	42	22	11	6	14	9	14	34	10	12									
6	Число погашенных избирательных бюллетеней	7224	887	891	521	255	118	504	113	354	533	120	497	355	163	74	36	543	159	251	416	434									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	496	15	22	14	27	12	56	20	33	56	5	42	22	11	6	14	37	14	68	10	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3980	598	587	265	118	120	190	67	113	211	75	161	173	76	70	50	220	127	131	324	304									
9	Число недействительных избирательных бюллетеней	187	18	13	10	13	4	17	4	3	13	4	4	3	2	3	0	11	9	10	31	15									
10	Число действительных избирательных бюллетеней	4289	595	596	269	132	128	229	83	143	254	76	199	192	85	73	64	246	132	189	303	301									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	50	50	30	20	10	30	10	20	30	10	30	20	10	10	10	30	10	20	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	104	11	10	6	0	2	7	0	4	1	1	10	3	0	0	4	3	7	1	20	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	5	7	1	2	4	2	1	3	4	2	2	4	3	1	3	0	1	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	356	39	40	24	20	8	23	10	16	29	9	20	17	10	10	6	27	3	19	10	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	5	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
