Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Сармановская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598					
1	"Число избирателей, внесенных в списки"	27548	361	212	139	386	239	111	340	344	88	202	491	243	215	155	207	107	231	270	385	394	117	70	259	136	459	168	288	806	167	123	313	131	454	199	197	160	225	323	81	155	478	352	289	286	547	701	654	635	863	698	536	177	165	1238	1632	1643	1239	1335	1337	1371	1421					
2	"Число бюллетеней, полученных участковыми комиссиями"	27477	367	212	139	389	241	112	345	342	88	203	497	251	219	158	209	107	229	273	385	394	117	70	259	136	462	170	288	826	168	123	312	132	459	199	198	163	226	324	81	158	479	354	294	290	565	713	669	635	836	698	536	181	154	1213	1657	1586	1265	1336	1292	1359	1334					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25517	329	198	125	377	209	111	325	303	78	180	465	222	206	137	188	95	219	268	367	361	110	70	221	120	426	158	258	764	158	116	274	119	396	160	179	151	216	312	76	142	442	349	279	267	537	675	639	600	797	651	505	177	147	1110	1541	1522	1147	1193	1262	1262	1226					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1090	30	14	14	9	30	0	15	33	8	22	26	21	9	18	19	12	10	2	18	33	7	0	38	16	33	10	30	40	9	7	38	12	58	39	18	9	6	11	5	12	32	3	10	19	8	11	15	21	20	31	30	0	7	17	14	11	28	19	23	22	8					
6	Число погашенных бюллетеней	870	8	0	0	3	2	1	5	6	2	1	6	8	4	3	2	0	0	3	0	0	0	0	0	0	3	2	0	22	1	0	0	1	5	0	1	3	4	1	0	4	5	2	5	4	20	27	15	14	19	16	1	4	0	86	102	53	90	124	7	75	100					
7	Число бюллетеней в переносных ящиках для голосования	1090	30	14	14	9	30	0	15	33	8	22	26	21	9	18	19	12	10	2	18	33	7	0	38	16	33	10	30	40	9	7	38	12	58	39	18	9	6	11	5	12	32	3	10	19	8	11	15	21	20	31	30	0	7	17	14	11	28	19	23	22	8					
8	Число бюллетеней в стационарных ящиках для голосования	25514	329	198	125	377	209	111	325	303	78	180	465	222	206	137	188	95	219	268	367	359	110	70	221	120	426	158	258	764	158	116	274	119	396	160	179	151	216	312	76	142	442	349	279	267	536	675	639	600	797	651	505	177	147	1110	1541	1522	1147	1193	1262	1262	1226					
9	Число недействительных бюллетеней	325	0	0	0	3	13	3	3	0	0	1	5	2	0	4	11	2	3	0	0	2	0	1	5	3	11	0	5	6	10	9	2	3	43	2	0	0	0	1	1	0	0	2	0	0	0	1	1	3	0	0	0	0	0	18	39	39	9	29	9	10	11					
10	Число действительных бюллетеней	26279	359	212	139	383	226	108	337	336	86	201	486	241	215	151	196	105	226	270	385	390	117	69	254	133	448	168	283	798	157	114	310	128	411	197	197	160	222	322	80	154	474	350	289	286	544	685	653	618	817	682	535	177	154	1109	1516	1494	1166	1183	1276	1274	1223					
