Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Гаринская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345					
1	"Число избирателей, внесенных в список избирателей"	3563	1374	382	573	96	282	51	19	56	103	491	23	51	62					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3600	1370	400	580	105	240	55	30	60	100	520	30	50	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1975	797	197	299	67	174	30	4	14	62	255	17	36	23					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	336	89	39	62	8	30	6	7	3	7	58	0	1	26					
6	Число погашенных избирательных бюллетеней	1289	484	164	219	30	36	19	19	43	31	207	13	13	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	336	89	39	62	8	30	6	7	3	7	58	0	1	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1975	797	197	299	67	174	30	4	14	62	255	17	36	23					
9	Число недействительных избирательных бюллетеней	39	13	6	11	1	2	1	0	1	2	2	0	0	0					
10	Число действительных избирательных бюллетеней	2272	873	230	350	74	202	35	11	16	67	311	17	37	49					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	133	23	15	20	10	10	5	5	5	5	20	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	59	8	3	1	10	6	0	5	5	0	16	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	11	0	3	1	47	0	0	0	0	5	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	74	15	12	19	0	4	5	0	0	5	4	0	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	7	1	7	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	341	131	33	71	2	34	3	1	3	7	46	0	4	6					
		14.76%	14.79%	13.98%	19.67%	2.67%	16.67%	8.33%	9.09%	17.65%	10.14%	14.70%	0.00%	10.81%	12.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	380	150	46	63	11	39	4	2	3	0	51	3	3	5					
		16.44%	16.93%	19.49%	17.45%	14.67%	19.12%	11.11%	18.18%	17.65%	0.00%	16.29%	17.65%	8.11%	10.20%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	8	3	7	2	5	1	0	0	1	2	0	1	0					
		1.30%	0.90%	1.27%	1.94%	2.67%	2.45%	2.78%	0.00%	0.00%	1.45%	0.64%	0.00%	2.70%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	266	109	23	35	20	22	1	0	1	13	37	0	2	3					
		11.51%	12.30%	9.75%	9.70%	26.67%	10.78%	2.78%	0.00%	5.88%	18.84%	11.82%	0.00%	5.41%	6.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	7	5	3	1	5	1	0	0	0	5	0	0	0					
		1.17%	0.79%	2.12%	0.83%	1.33%	2.45%	2.78%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1212	459	118	168	38	96	25	8	9	46	169	14	27	35					
		52.44%	51.81%	50.00%	46.54%	50.67%	47.06%	69.44%	72.73%	52.94%	66.67%	53.99%	82.35%	72.97%	71.43%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	16	9	2	3	0	1	0	0	0	0	1	0	0	0					
		0.69%	1.02%	0.85%	0.83%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
