Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Островская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25459	1578	1690	552	220	117	1522	1856	1527	2026	1786	1489	440	1086	165	1671	2445	299	229	244	119	300	177	230	486	89	103	419	221	190	193	185	470	244	398	93	262	175	163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25130	1620	1700	550	220	100	1540	1800	1500	1900	1800	1450	430	1000	160	1650	2400	300	240	230	200	300	180	220	450	90	100	440	220	190	190	180	450	240	400	100	250	170	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10094	739	1305	149	59	51	413	834	583	788	477	518	116	378	67	641	1061	82	51	68	80	86	59	102	170	34	21	203	81	71	81	55	156	87	168	23	91	61	85									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1606	68	27	26	26	21	23	22	27	77	41	31	107	14	11	19	14	108	83	67	39	76	26	26	34	28	24	23	53	75	24	34	47	32	74	70	47	28	34									
6	Число погашенных избирательных бюллетеней	13430	813	368	375	135	28	1104	944	890	1035	1282	901	207	608	82	990	1325	110	106	95	81	138	95	92	246	28	55	214	86	44	85	91	247	121	158	7	112	81	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1606	68	27	26	26	21	23	22	27	77	41	31	107	14	11	19	14	108	83	67	39	76	26	26	34	28	24	23	53	75	24	34	47	32	74	70	47	28	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10086	739	1305	149	59	51	413	834	583	782	477	518	116	378	67	640	1061	82	51	68	80	86	59	102	170	34	21	203	81	71	81	55	155	87	168	23	91	61	85									
9	Число недействительных избирательных бюллетеней	250	15	23	8	2	2	6	24	12	15	19	13	7	4	0	15	27	4	1	1	3	6	2	3	7	0	0	4	3	0	4	2	10	0	4	0	4	0	0									
10	Число действительных избирательных бюллетеней	11442	792	1309	167	83	70	430	832	598	844	499	536	216	388	78	644	1048	186	133	134	116	156	83	125	197	62	45	222	131	146	101	87	192	119	238	93	134	89	119									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	471	20	30	10	5	5	10	20	20	20	20	20	10	20	10	20	30	16	15	10	10	10	10	5	10	5	5	20	10	10	10	5	10	10	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	235	17	10	1	2	0	10	18	6	9	15	10	7	10	0	9	14	16	13	7	2	2	3	0	3	0	5	20	4	1	0	0	5	3	6	0	2	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	165	6	9	7	2	0	4	16	11	7	6	11	6	5	0	7	2	4	4	3	9	0	1	1	3	0	2	1	2	7	3	2	7	1	4	6	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	236	3	20	9	3	5	0	2	14	11	5	10	3	10	10	11	16	0	2	3	8	8	7	5	7	5	0	0	6	9	10	5	5	7	4	5	3	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	77	25	2	1	0	0	3	11	4	3	0	3	0	0	0	6	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	124	11	13	0	1	0	1	12	5	12	10	4	0	5	0	3	15	3	0	1	5	1	1	4	1	1	0	2	1	3	0	0	2	1	1	0	1	0	4									
		1.06%	1.36%	0.98%	0.00%	1.18%	0.00%	0.23%	1.40%	0.82%	1.40%	1.93%	0.73%	0.00%	1.28%	0.00%	0.46%	1.40%	1.58%	0.00%	0.74%	4.20%	0.62%	1.18%	3.13%	0.49%	1.61%	0.00%	0.88%	0.75%	2.05%	0.00%	0.00%	0.99%	0.84%	0.41%	0.00%	0.72%	0.00%	3.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	347	24	15	13	4	4	17	25	24	26	25	23	4	17	1	26	26	2	7	0	6	3	0	1	6	0	1	10	3	2	6	0	2	7	7	3	5	1	1									
		2.97%	2.97%	1.13%	7.43%	4.71%	5.56%	3.90%	2.92%	3.93%	3.03%	4.83%	4.19%	1.79%	4.34%	1.28%	3.95%	2.42%	1.05%	5.22%	0.00%	5.04%	1.85%	0.00%	0.78%	2.94%	0.00%	2.22%	4.42%	2.24%	1.37%	5.71%	0.00%	0.99%	5.88%	2.89%	3.23%	3.62%	1.12%	0.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	215	12	3	1	5	1	5	18	21	22	13	11	5	16	1	6	16	3	2	3	2	3	1	4	6	0	0	8	4	4	0	3	4	2	3	2	3	1	1									
		1.84%	1.49%	0.23%	0.57%	5.88%	1.39%	1.15%	2.10%	3.44%	2.56%	2.51%	2.00%	2.24%	4.08%	1.28%	0.91%	1.49%	1.58%	1.49%	2.22%	1.68%	1.85%	1.18%	3.13%	2.94%	0.00%	0.00%	3.54%	2.99%	2.74%	0.00%	3.37%	1.98%	1.68%	1.24%	2.15%	2.17%	1.12%	0.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5650	424	984	81	34	32	184	345	224	352	223	233	103	153	43	257	485	86	73	59	49	76	54	66	90	43	32	105	55	45	57	56	107	48	137	64	63	47	81									
		48.32%	52.54%	73.87%	46.29%	40.00%	44.44%	42.20%	40.30%	36.72%	40.98%	43.05%	42.44%	46.19%	39.03%	55.13%	38.99%	45.12%	45.26%	54.48%	43.70%	41.18%	46.91%	63.53%	51.56%	44.12%	69.35%	71.11%	46.46%	41.04%	30.82%	54.29%	62.92%	52.97%	40.34%	56.61%	68.82%	45.65%	52.81%	68.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	3	8	0	1	2	0	4	6	3	9	4	0	1	0	3	7	0	0	2	0	0	1	0	2	1	0	3	0	2	0	1	0	0	0	0	0	0	0									
