Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Читинская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367					
1	"Число избирателей, внесенных в список"	43505	428	135	120	941	1212	593	2788	371	92	95	131	203	985	310	474	864	281	581	152	150	1029	555	1388	366	787	276	1758	2884	578	185	493	186	1160	291	497	267	1076	2756	2574	228	384	1073	2049	2101	959	1498	699	683	329	198	199	255	1285	1553					
2	Число полученных избирательных бюллетеней	41445	408	127	117	907	1168	570	2610	316	80	68	103	193	960	312	480	888	281	582	151	202	970	558	1355	360	765	268	1718	2600	567	185	458	172	1057	281	502	273	990	2450	2400	211	347	975	2020	2020	940	1430	705	632	320	200	196	250	1250	1497					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22322	239	75	70	541	579	286	1391	216	61	68	93	146	492	214	339	321	165	272	84	117	681	332	656	194	398	110	1137	1317	319	92	258	137	609	159	241	143	532	1687	1311	74	299	468	889	802	343	744	289	385	170	143	131	171	513	819					
5	"Число избирательных бюллетеней, выданных вне помещения"	1589	19	7	4	43	76	30	80	17	15	0	7	3	54	9	28	29	64	41	18	33	32	35	73	23	33	33	68	33	31	1	33	0	20	25	21	10	29	51	30	119	4	31	18	34	20	10	24	30	5	12	9	16	68	31					
6	Число погашенных избирательных бюллетеней	17534	150	45	43	323	513	254	1139	83	4	0	3	44	414	89	113	538	52	269	49	52	257	191	626	143	334	125	513	1250	217	92	167	35	428	97	240	120	429	712	1059	18	44	476	1113	1184	577	676	392	217	145	45	56	63	669	647					
7	Число избирательных бюллетеней в переносных ящиках	1589	19	7	4	43	76	30	80	17	15	0	7	3	54	9	28	29	64	41	18	33	32	35	73	23	33	33	68	33	31	1	33	0	20	25	21	10	29	51	30	119	4	31	18	34	20	10	24	30	5	12	9	16	68	31					
8	Число бюллетеней в стационарных ящиках для голосования	22316	239	75	70	541	579	286	1390	216	61	68	93	146	491	214	339	321	165	272	84	117	681	332	656	194	398	110	1137	1315	319	92	258	137	609	159	241	143	532	1685	1311	74	299	468	889	802	343	744	289	385	170	143	131	171	513	819					
9	Число недействительных избирательных бюллетеней	344	4	0	0	6	9	1	6	1	0	0	1	1	6	2	0	4	9	2	1	6	9	5	12	3	4	1	9	10	10	1	6	3	12	1	3	2	7	10	13	0	43	9	13	13	2	13	7	5	7	3	9	4	18	18					
10	Число действительных избирательных бюллетеней	23561	254	82	74	578	646	315	1464	232	76	68	99	148	539	221	367	346	220	311	101	144	704	362	717	214	427	142	1196	1338	340	92	285	134	617	183	259	151	554	1726	1328	193	260	490	894	823	361	741	306	410	168	152	131	183	563	832					
11	Число полученных открепительных  удостоверений	386	5	5	5	5	5	5	20	5	5	5	5	5	5	5	5	10	5	8	5	5	10	5	5	5	8	5	10	10	5	5	10	5	10	5	10	5	5	25	10	5	5	5	10	10	10	10	5	10	5	5	5	5	10	10					
12	Число выданных открепительных удостоверений	185	0	0	0	4	3	5	18	2	0	0	3	0	4	5	4	5	2	6	0	0	10	2	3	1	7	0	4	8	1	0	4	0	8	0	0	1	3	25	10	0	1	0	5	5	5	5	1	6	3	0	3	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	257	3	1	0	2	6	3	9	15	11	0	13	1	2	0	0	3	0	3	7	17	8	1	9	1	4	1	19	28	1	5	5	2	0	2	2	1	3	26	5	0	2	2	4	7	1	4	1	4	0	0	0	1	5	7					
14	Число неиспользованных открепительных удостоверений	201	5	5	5	1	2	0	2	3	5	5	2	5	1	0	1	5	3	2	5	5	0	3	2	4	1	5	6	2	4	5	6	5	2	5	10	4	2	0	0	5	4	5	5	5	5	5	4	4	2	5	2	5	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	3	2	1	0	0	1	1	0	0	0	0	3	2	0	0	1	1	1	1	0	0	0	0	0	0	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	646	7	0	0	5	19	4	41	7	0	0	1	3	2	5	2	8	10	9	4	7	11	18	31	4	16	1	23	72	6	1	6	16	20	0	8	2	13	37	57	7	6	14	35	28	6	18	11	8	1	0	6	4	11	15					
		2.70%	2.71%	0.00%	0.00%	0.86%	2.90%	1.27%	2.79%	3.00%	0.00%	0.00%	1.00%	2.01%	0.37%	2.24%	0.54%	2.29%	4.37%	2.88%	3.92%	4.67%	1.54%	4.90%	4.25%	1.84%	3.71%	0.70%	1.91%	5.34%	1.71%	1.08%	2.06%	11.68%	3.18%	0.00%	3.05%	1.31%	2.32%	2.13%	4.25%	3.63%	1.98%	2.81%	3.86%	3.35%	1.65%	2.39%	3.51%	1.93%	0.57%	0.00%	4.29%	2.14%	1.89%	1.76%					
19	. Малышкин Олег Александрович	746	11	4	0	23	27	4	56	5	1	7	3	2	8	2	6	5	6	11	1	4	24	12	23	7	14	3	21	48	17	3	9	4	17	14	10	3	20	63	49	4	6	21	24	17	7	24	10	13	3	3	9	13	17	28					
		3.12%	4.26%	4.88%	0.00%	3.94%	4.12%	1.27%	3.81%	2.15%	1.32%	10.29%	3.00%	1.34%	1.47%	0.90%	1.63%	1.43%	2.62%	3.51%	0.98%	2.67%	3.37%	3.27%	3.16%	3.23%	3.25%	2.10%	1.74%	3.56%	4.86%	3.23%	3.09%	2.92%	2.70%	7.61%	3.82%	1.96%	3.57%	3.63%	3.65%	2.07%	1.98%	4.21%	2.65%	2.03%	1.93%	3.18%	3.19%	3.13%	1.71%	1.94%	6.43%	6.95%	2.93%	3.29%					
20	. Миронов Сергей Михайлович	210	4	0	0	10	4	2	11	2	0	1	0	1	5	3	2	1	4	1	1	0	6	4	4	1	1	0	7	6	1	0	2	1	11	0	0	0	6	21	15	12	6	5	4	11	3	5	4	1	1	2	0	3	7	8					
		0.88%	1.55%	0.00%	0.00%	1.71%	0.61%	0.63%	0.75%	0.86%	0.00%	1.47%	0.00%	0.67%	0.92%	1.35%	0.54%	0.29%	1.75%	0.32%	0.98%	0.00%	0.84%	1.09%	0.55%	0.46%	0.23%	0.00%	0.58%	0.45%	0.29%	0.00%	0.69%	0.73%	1.75%	0.00%	0.00%	0.00%	1.07%	1.21%	1.12%	6.22%	1.98%	1.00%	0.44%	1.32%	0.83%	0.66%	1.28%	0.24%	0.57%	1.29%	0.00%	1.60%	1.20%	0.94%					
21	. Путин Владимир Владимирович	18166	202	70	68	437	501	281	1159	178	55	47	67	116	405	167	333	278	182	241	74	105	558	267	531	167	339	129	989	1052	268	75	211	91	474	152	203	130	426	1376	967	135	163	374	654	560	287	579	216	281	129	133	89	105	441	649					
		75.99%	78.29%	85.37%	91.89%	74.83%	76.49%	88.92%	78.84%	76.39%	72.37%	69.12%	67.00%	77.85%	74.31%	74.89%	90.74%	79.43%	79.48%	77.00%	72.55%	70.00%	78.26%	72.75%	72.84%	76.96%	78.65%	90.21%	82.07%	78.04%	76.57%	80.65%	72.51%	66.42%	75.36%	82.61%	77.48%	84.97%	75.94%	79.26%	72.11%	69.95%	53.80%	74.95%	72.11%	66.99%	79.06%	76.79%	69.01%	67.71%	73.71%	85.81%	63.57%	56.15%	75.90%	76.35%					
22	. Хакамада Ирина Муцуовна	532	4	2	3	7	16	11	51	8	4	1	4	8	3	4	4	8	5	3	4	4	18	13	30	5	9	0	18	39	2	0	3	1	12	4	5	1	11	38	48	8	7	12	16	21	8	13	6	0	0	1	2	6	7	14					
		2.23%	1.55%	2.44%	4.05%	1.20%	2.44%	3.48%	3.47%	3.43%	5.26%	1.47%	4.00%	5.37%	0.55%	1.79%	1.09%	2.29%	2.18%	0.96%	3.92%	2.67%	2.52%	3.54%	4.12%	2.30%	2.09%	0.00%	1.49%	2.89%	0.57%	0.00%	1.03%	0.73%	1.91%	2.17%	1.91%	0.65%	1.96%	2.19%	3.58%	4.15%	2.31%	2.40%	1.76%	2.51%	2.20%	1.72%	1.92%	0.00%	0.00%	0.65%	1.43%	3.21%	1.20%	1.65%					
23	. Харитонов Николай Михайлович	2789	22	5	3	91	69	13	114	28	16	12	22	18	107	39	7	41	11	42	17	22	75	41	79	28	43	6	110	75	41	12	47	16	74	12	29	13	69	157	162	18	56	48	131	170	49	91	54	105	31	12	23	47	64	102					
		11.67%	8.53%	6.10%	4.05%	15.58%	10.53%	4.11%	7.76%	12.02%	21.05%	17.65%	22.00%	12.08%	19.63%	17.49%	1.91%	11.71%	4.80%	13.42%	16.67%	14.67%	10.52%	11.17%	10.84%	12.90%	9.98%	4.20%	9.13%	5.56%	11.71%	12.90%	16.15%	11.68%	11.76%	6.52%	11.07%	8.50%	12.30%	9.04%	12.08%	9.33%	18.48%	9.62%	14.44%	20.33%	13.50%	12.07%	17.25%	25.30%	17.71%	7.74%	16.43%	25.13%	11.02%	12.00%					
																																																													
24	Против всех	472	4	1	0	5	10	0	32	4	0	0	2	0	9	1	13	5	2	4	0	2	12	7	19	2	5	3	28	46	5	1	7	5	9	1	4	2	9	34	30	9	16	16	30	16	1	11	5	2	3	1	2	5	16	16					
		1.97%	1.55%	1.22%	0.00%	0.86%	1.53%	0.00%	2.18%	1.72%	0.00%	0.00%	2.00%	0.00%	1.65%	0.45%	3.54%	1.43%	0.87%	1.28%	0.00%	1.33%	1.68%	1.91%	2.61%	0.92%	1.16%	2.10%	2.32%	3.41%	1.43%	1.08%	2.41%	3.65%	1.43%	0.54%	1.53%	1.31%	1.60%	1.96%	2.24%	4.66%	5.28%	3.21%	3.31%	1.91%	0.28%	1.46%	1.60%	0.48%	1.71%	0.65%	1.43%	2.67%	2.75%	1.88%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
