Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Шилкинская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899					
1	"Число избирателей, внесенных в списки"	36586	2697	2336	1682	1526	1461	1772	188	1944	503	2862	2288	2035	2289	2103	186	159	204	1724	595	148	394	106	367	249	71	473	90	789	220	454	644	203	94	368	164	182	322	131	110	122	671	97	163	959	301	140					
2	"Число бюллетеней, полученных участковыми комиссиями"	34973	2547	2213	1601	1412	1342	1726	188	1928	531	2792	2365	1816	2230	1783	157	158	201	1500	558	144	398	118	352	238	81	482	91	743	224	450	617	199	86	387	152	189	314	127	109	183	632	106	192	883	292	136					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16245	809	842	645	614	640	524	102	895	300	1015	1000	938	933	794	116	113	103	788	282	81	265	91	174	185	51	318	56	353	143	328	366	93	86	206	70	112	236	96	79	122	365	70	160	464	122	100					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1005	35	27	29	33	16	36	0	40	3	54	81	23	41	25	17	4	5	83	38	9	10	0	9	0	4	23	13	38	13	34	65	55	0	43	19	8	0	0	0	0	22	9	3	14	20	4					
6	Число погашенных бюллетеней	17723	1703	1344	927	765	686	1166	86	993	228	1723	1284	855	1256	964	24	41	93	629	238	54	123	27	169	53	26	141	22	352	68	88	186	51	0	138	63	69	78	31	30	61	245	27	29	405	150	32					
7	Число бюллетеней в переносных ящиках для голосования	1005	35	27	29	33	16	36	0	40	3	54	81	23	41	25	17	4	5	83	38	9	10	0	9	0	4	23	13	38	13	34	65	55	0	43	19	8	0	0	0	0	22	9	3	14	20	4					
8	Число бюллетеней в стационарных ящиках для голосования	16241	809	842	645	614	640	522	102	895	300	1015	1000	938	933	793	116	113	103	788	282	81	265	91	174	185	51	318	56	353	143	328	367	93	86	206	70	112	236	96	79	122	365	70	160	462	122	100					
9	Число недействительных бюллетеней	290	15	21	5	7	6	5	0	17	7	10	22	7	6	16	0	0	4	8	11	0	4	3	3	7	2	3	0	19	2	3	12	0	1	5	1	0	9	6	0	1	7	1	4	11	11	8					
10	Число действительных бюллетеней	16956	829	848	669	640	650	553	102	918	296	1059	1059	954	968	802	133	117	104	863	309	90	271	88	180	178	53	338	69	372	154	359	420	148	85	244	88	120	227	90	79	121	380	78	159	465	131	96					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	140	5	30	6	5	5	6	1	9	1	7	8	7	5	4	2	2	2	6	4	0	2	0	1	0	2	2	2	3	2	3	0	0	0	2	0	0	3	0	0	0	1	0	0	1	1	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	99	2	9	6	4	4	6	0	9	0	7	8	7	5	3	0	2	1	5	4	0	2	0	1	0	0	2	1	3	2	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	2	3	3	10	2	4	0	3	1	4	3	3	2	3	10	0	1	1	2	1	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	1	2	0	0					
14	Число погашенных открепительных удостоверений	41	3	21	0	1	1	0	1	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	214	15	10	2	5	2	4	2	15	3	7	11	9	7	11	2	2	1	19	1	0	4	3	2	7	0	1	1	3	1	10	17	0	1	5	2	1	4	2	0	1	12	2	3	2	2	0					
		1.24%	1.77%	1.15%	0.29%	0.77%	0.30%	0.71%	1.96%	1.60%	0.99%	0.65%	1.01%	0.93%	0.71%	1.34%	1.50%	1.70%	0.92%	2.18%	0.31%	0.0%	1.45%	3.29%	1.09%	3.78%	0.0%	0.29%	1.44%	0.76%	0.64%	2.76%	3.93%	0.0%	1.16%	2.00%	2.24%	0.83%	1.69%	2.08%	0.0%	0.81%	3.10%	2.53%	1.84%	0.42%	1.40%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	158	8	9	5	10	11	8	1	31	3	6	12	10	8	4	0	0	2	6	4	0	0	0	0	3	1	1	0	0	0	3	2	0	0	2	1	2	1	1	0	0	1	0	0	1	1	0					
