Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Лысьвенская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050					
1	"Число избирателей, внесенных в список избирателей"	66167	1413	1445	1789	1070	1126	1223	1642	1109	1583	2236	1910	2541	2447	2528	1618	1806	2099	2510	1590	1738	2032	2019	1176	1213	2238	1384	1860	1443	2545	2286	396	583	806	213	421	351	678	490	236	1549	784	271	265	373	229	1186	513	493	671	2040					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65680	1410	1440	1800	1090	1140	1170	1630	1080	1610	2305	1965	2600	2460	2570	1660	1840	2130	2560	1620	1700	2000	2035	1180	1220	2310	1410	1890	1510	2450	2340	340	480	800	180	340	280	680	420	180	1590	790	220	220	300	190	1180	510	395	540	1920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	15	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30068	684	706	820	437	434	386	713	481	654	1018	885	1315	1271	1212	742	946	1232	1308	872	826	1058	1044	538	509	900	667	870	685	1132	1148	98	226	288	75	176	112	280	206	93	540	287	104	120	108	83	360	212	165	174	868					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2408	35	41	47	27	16	117	27	27	32	45	43	54	47	41	43	48	47	51	23	100	51	53	14	36	60	19	27	24	81	40	58	81	50	32	29	34	64	29	39	44	46	17	35	37	24	131	48	91	68	135					
6	Число погашенных избирательных бюллетеней	33154	691	693	933	626	690	667	890	572	924	1242	1037	1231	1142	1317	875	846	851	1201	725	774	891	938	628	675	1350	724	993	801	1237	1152	184	173	462	73	135	134	336	150	48	1006	457	99	65	155	83	689	250	139	283	917					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2458	35	41	47	27	16	117	27	27	32	45	43	54	47	41	43	48	47	51	23	100	51	53	14	36	60	19	27	24	81	40	58	81	50	32	29	34	64	64	39	44	46	17	35	37	24	131	48	91	83	135					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30010	682	706	819	437	434	386	712	481	654	1018	885	1312	1224	1212	742	945	1232	1308	872	826	1058	1044	538	509	900	667	870	685	1132	1148	98	226	288	75	176	112	280	206	93	540	287	104	120	108	83	360	212	165	174	865					
9	Число недействительных избирательных бюллетеней	769	30	22	18	17	11	5	14	14	17	26	20	21	26	29	16	21	35	31	23	21	23	15	8	15	29	22	22	22	26	25	0	9	4	3	6	10	11	11	4	11	11	3	5	4	3	7	7	3	2	31					
10	Число действительных избирательных бюллетеней	31699	687	725	848	447	439	498	725	494	669	1037	908	1345	1245	1224	769	972	1244	1328	872	905	1086	1082	544	530	931	664	875	687	1187	1163	156	298	334	104	199	136	333	259	128	573	322	118	150	141	104	484	253	253	255	969					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	10	15	15	10	10	5	15	10	10	15	20	35	25	25	15	25	20	30	15	15	25	15	15	10	25	15	15	20	20	20	3	3	3	3	10	5	20	10	15	10	3	5	15	15	10	10	5	10	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	376	4	6	8	6	5	4	7	5	5	7	10	15	17	10	10	17	12	24	11	7	8	15	8	5	10	5	7	6	8	14	0	2	1	2	10	5	10	10	6	3	3	1	15	15	0	2	3	8	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	242	2	6	2	6	3	2	4	6	7	7	11	5	9	9	6	14	7	5	3	8	12	6	6	8	3	0	4	6	3	7	6	3	4	5	4	3	2	1	2	7	5	2	1	1	0	5	6	2	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	329	6	9	7	4	5	1	8	5	5	8	10	20	8	15	5	8	8	6	4	8	17	0	7	5	15	10	8	14	12	6	3	1	2	1	0	0	10	0	9	7	0	4	0	0	10	8	2	2	15	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	1	1	0	0	3	4	4	2	0	0	2	7	2	2	3	2	2	4	2	0	1	2	0	1	1	1	2	0	2	2	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4553	79	93	141	48	40	56	92	73	111	160	124	216	198	214	114	141	184	197	158	139	149	187	67	86	111	102	149	92	185	173	17	30	31	9	16	22	29	27	5	96	27	15	31	16	22	61	36	41	25	118					
		14.02%	11.02%	12.45%	16.28%	10.34%	8.89%	11.13%	12.45%	14.37%	16.18%	15.05%	13.36%	15.81%	15.58%	17.08%	14.52%	14.20%	14.39%	14.50%	17.65%	15.01%	13.44%	17.05%	12.14%	15.78%	11.56%	14.87%	16.61%	12.98%	15.25%	14.56%	10.90%	9.77%	9.17%	8.41%	7.80%	15.07%	8.43%	10.00%	3.79%	16.44%	8.11%	12.40%	20.00%	11.03%	20.56%	12.42%	13.85%	16.02%	9.73%	11.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8417	214	247	242	150	173	150	242	147	173	259	259	326	297	304	223	227	294	347	213	233	240	249	139	148	272	160	241	215	306	314	49	88	104	17	41	32	15	21	12	152	94	32	34	55	11	142	72	89	75	278					
		25.92%	29.85%	33.07%	27.94%	32.33%	38.44%	29.82%	32.75%	28.94%	25.22%	24.37%	27.91%	23.87%	23.37%	24.26%	28.41%	22.86%	22.99%	25.53%	23.80%	25.16%	21.64%	22.70%	25.18%	27.16%	28.33%	23.32%	26.87%	30.32%	25.23%	26.43%	31.41%	28.66%	30.77%	15.89%	20.00%	21.92%	4.36%	7.78%	9.09%	26.03%	28.23%	26.45%	21.94%	37.93%	10.28%	28.92%	27.69%	34.77%	29.18%	27.80%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	274	8	3	5	2	5	2	4	2	4	10	9	11	16	10	5	5	17	13	4	3	12	7	7	4	11	9	4	4	19	12	1	1	1	1	3	0	5	3	4	5	1	0	6	0	2	6	0	1	3	4					
		0.84%	1.12%	0.40%	0.58%	0.43%	1.11%	0.40%	0.54%	0.39%	0.58%	0.94%	0.97%	0.81%	1.26%	0.80%	0.64%	0.50%	1.33%	0.96%	0.45%	0.32%	1.08%	0.64%	1.27%	0.73%	1.15%	1.31%	0.45%	0.56%	1.57%	1.01%	0.64%	0.33%	0.30%	0.93%	1.46%	0.00%	1.45%	1.11%	3.03%	0.86%	0.30%	0.00%	3.87%	0.00%	1.87%	1.22%	0.00%	0.39%	1.17%	0.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5899	128	115	128	49	42	67	95	96	107	202	165	248	241	225	149	207	262	291	179	174	245	259	123	88	192	124	162	117	232	215	9	36	58	15	37	17	101	66	60	92	65	31	22	25	24	79	32	12	31	160					
		18.17%	17.85%	15.39%	14.78%	10.56%	9.33%	13.32%	12.86%	18.90%	15.60%	19.00%	17.78%	18.16%	18.96%	17.96%	18.98%	20.85%	20.48%	21.41%	20.00%	18.79%	22.09%	23.61%	22.28%	16.15%	20.00%	18.08%	18.06%	16.50%	19.13%	18.10%	5.77%	11.73%	17.16%	14.02%	18.05%	11.64%	29.36%	24.44%	45.45%	15.75%	19.52%	25.62%	14.19%	17.24%	22.43%	16.09%	12.31%	4.69%	12.06%	16.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	979	26	13	19	9	10	10	32	14	25	35	23	45	39	49	25	26	50	57	33	37	48	32	23	12	22	35	17	18	46	40	4	3	7	0	5	2	11	2	1	10	8	0	3	1	1	14	0	1	7	29					
		3.02%	3.63%	1.74%	2.19%	1.94%	2.22%	1.99%	4.33%	2.76%	3.64%	3.29%	2.48%	3.29%	3.07%	3.91%	3.18%	2.62%	3.91%	4.19%	3.69%	3.99%	4.33%	2.92%	4.17%	2.20%	2.29%	5.10%	1.90%	2.54%	3.79%	3.37%	2.56%	0.98%	2.07%	0.00%	2.44%	1.37%	3.20%	0.74%	0.76%	1.71%	2.40%	0.00%	1.94%	0.69%	0.93%	2.85%	0.00%	0.39%	2.72%	2.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11360	230	251	308	187	169	212	257	161	246	361	321	493	445	412	247	356	428	414	274	311	381	337	181	186	317	231	294	231	392	402	75	135	131	61	95	63	170	139	46	214	126	38	54	44	44	180	113	108	113	376					
		34.99%	32.08%	33.60%	35.57%	40.30%	37.56%	42.15%	34.78%	31.69%	35.86%	33.96%	34.59%	36.09%	35.01%	32.88%	31.46%	35.85%	33.46%	30.46%	30.61%	33.59%	34.36%	30.72%	32.79%	34.13%	33.02%	33.67%	32.78%	32.58%	32.32%	33.84%	48.08%	43.97%	38.76%	57.01%	46.34%	43.15%	49.42%	51.48%	34.85%	36.64%	37.84%	31.40%	34.84%	30.34%	41.12%	36.66%	43.46%	42.19%	43.97%	37.60%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	217	2	3	5	2	0	1	3	1	3	10	7	6	9	10	6	10	9	9	11	8	11	11	4	6	6	3	8	10	7	7	1	5	2	1	2	0	2	1	0	4	1	2	0	0	0	2	0	1	1	4					
		0.67%	0.28%	0.40%	0.58%	0.43%	0.00%	0.20%	0.41%	0.20%	0.44%	0.94%	0.75%	0.44%	0.71%	0.80%	0.76%	1.01%	0.70%	0.66%	1.23%	0.86%	0.99%	1.00%	0.72%	1.10%	0.63%	0.44%	0.89%	1.41%	0.58%	0.59%	0.64%	1.63%	0.59%	0.93%	0.98%	0.00%	0.58%	0.37%	0.00%	0.68%	0.30%	1.65%	0.00%	0.00%	0.00%	0.41%	0.00%	0.39%	0.39%	0.40%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
