Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Окинская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459					
1	"Число избирателей, внесенных в списки"	3472	726	317	363	289	221	187	279	236	248	251	355					
2	"Число бюллетеней, полученных участковыми комиссиями"	3602	762	332	353	269	232	223	276	227	260	306	362					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	760	159	96	135	0	0	0	0	0	155	72	143					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1810	182	146	119	213	175	178	212	200	65	168	152					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	87	0	14	7	6	14	9	9	16	0	6	6					
6	Число погашенных бюллетеней	945	421	76	92	50	43	36	55	11	40	60	61					
7	Число бюллетеней в переносных ящиках для голосования	847	159	110	142	6	14	9	9	16	155	78	149					
8	Число бюллетеней в стационарных ящиках для голосования	1810	182	146	119	213	175	178	212	200	65	168	152					
9	Число недействительных бюллетеней	88	1	12	9	9	5	9	6	11	6	10	10					
10	Число действительных бюллетеней	2569	340	244	252	210	184	178	215	205	214	236	291					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	5	5	5	5	4	4	5	4	4	5	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	0	0	2	3	0	0	3	1	0	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	25	1	3	1	1	0	0	0	0	2	1					
14	Число погашенных открепительных удостоверений	32	5	5	3	2	4	4	2	3	4	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	84	10	4	0	9	5	7	8	9	15	13	4					
		3.16%	2.93%	1.56%	0.0%	4.10%	2.64%	3.74%	3.61%	4.16%	6.81%	5.28%	1.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	249	16	38	30	29	23	21	20	21	5	11	35					
		9.37%	4.69%	14.84%	11.49%	13.24%	12.16%	11.22%	9.04%	9.72%	2.27%	4.47%	11.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	54	9	4	10	3	4	1	4	9	3	5	2					
		2.03%	2.63%	1.56%	3.83%	1.36%	2.11%	0.53%	1.80%	4.16%	1.36%	2.03%	0.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	22	8	1	4	2	1	3	1	0	0	2	0					
		0.82%	2.34%	0.39%	1.53%	0.91%	0.52%	1.60%	0.45%	0.0%	0.0%	0.81%	0.0%					
22	"5. ""За Русь Святую"""	6	2	1	1	0	0	1	0	1	0	0	0					
		0.22%	0.58%	0.39%	0.38%	0.0%	0.0%	0.53%	0.0%	0.46%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	1	0	0	0	0	0	0	2	0	0	1					
		0.15%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.33%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	5	5	3	0	0	1	1	0	1	1	0					
		0.63%	1.46%	1.95%	1.14%	0.0%	0.0%	0.53%	0.45%	0.0%	0.45%	0.40%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	1	0	2	0	0	1	0	1	0	2	0					
		0.26%	0.29%	0.0%	0.76%	0.0%	0.0%	0.53%	0.0%	0.46%	0.0%	0.81%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	2	0	0	0	0	0	1	0	0	0	1					
		0.15%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.33%					
27	"10. ""Аграрная партия России"""	260	18	25	25	1	7	29	7	5	16	16	111					
		9.78%	5.27%	9.76%	9.57%	0.45%	3.70%	15.50%	3.16%	2.31%	7.27%	6.50%	36.87%					
28	"11. ""Истинные патриоты России"""	3	0	1	1	0	0	0	0	0	0	1	0					
		0.11%	0.0%	0.39%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	51	5	1	2	8	3	3	12	9	4	0	4					
		1.91%	1.46%	0.39%	0.76%	3.65%	1.58%	1.60%	5.42%	4.16%	1.81%	0.0%	1.32%					
30	"13. ""Демократическая партия России"""	6	5	1	0	0	0	0	0	0	0	0	0					
		0.22%	1.46%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	1	0	2	1	0	1	1	1	0	1	1					
		0.33%	0.29%	0.0%	0.76%	0.45%	0.0%	0.53%	0.45%	0.46%	0.0%	0.40%	0.33%					
32	"15. ""Партия СЛОН"""	3	2	0	0	0	0	0	0	1	0	0	0					
		0.11%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	57	17	2	6	3	3	2	3	7	4	5	5					
		2.14%	4.98%	0.78%	2.29%	1.36%	1.58%	1.06%	1.35%	3.24%	1.81%	2.03%	1.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	3	0	2	0	1	2	1	0	0	1	0					
		0.37%	0.87%	0.0%	0.76%	0.0%	0.52%	1.06%	0.45%	0.0%	0.0%	0.40%	0.0%					
35	"18. ""ЛДПР"""	110	62	9	4	8	3	4	5	3	0	3	9					
		4.14%	18.18%	3.51%	1.53%	3.65%	1.58%	2.13%	2.26%	1.38%	0.0%	1.21%	2.99%					
