Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Майкопская 																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46456	2136	2301	2171	2327	661	1219	1119	1556	1071	381	1226	441	477	1090	1596	1549	1404	134	1038	198	199	553	1313	459	2475	2852	1499	713	1279	1056	576	440	1345	1482	366	820	559	1328	1142	1542	363									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45885	2105	2285	2150	2310	645	1215	1105	1530	1050	370	1220	430	465	1075	1570	1545	1395	125	1000	185	185	540	1295	435	2430	2815	1495	705	1260	1045	570	440	1350	1470	365	820	565	1305	1140	1525	355									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18695	995	984	841	955	285	581	455	623	397	165	490	191	205	456	625	518	515	42	392	112	113	241	600	202	995	1109	558	273	536	414	283	216	470	527	157	300	203	574	418	522	157									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1962	153	144	285	165	11	33	13	64	39	20	36	16	22	34	26	47	24	8	69	11	4	21	92	40	59	80	48	37	29	41	26	10	27	24	8	20	17	87	28	36	8									
6	Число погашенных избирательных бюллетеней	25228	957	1157	1024	1190	349	601	637	843	614	185	694	223	238	585	919	980	856	75	539	62	68	278	603	193	1376	1626	889	395	695	590	261	214	853	919	200	500	345	644	694	967	190									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1962	153	144	285	165	11	33	13	64	39	20	36	16	22	34	26	47	24	8	69	11	4	21	92	40	59	80	48	37	29	41	26	10	27	24	8	20	17	87	28	36	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18686	993	984	840	954	285	580	455	623	397	165	487	191	205	456	625	518	515	42	392	111	113	241	600	202	995	1109	558	273	536	414	283	216	470	527	157	300	203	574	418	522	157									
9	Число недействительных избирательных бюллетеней	586	27	33	29	33	8	20	16	26	21	5	21	11	7	9	16	10	8	0	16	4	5	9	14	3	25	18	15	9	9	13	15	8	19	17	6	22	6	20	13	14	6									
10	Число действительных избирательных бюллетеней	20062	1119	1095	1096	1086	288	593	452	661	415	180	502	196	220	481	635	555	531	50	445	118	112	253	678	239	1029	1171	591	301	556	442	294	218	478	534	159	298	214	641	433	544	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	212	12	7	7	7	3	5	5	5	5	2	5	2	2	12	7	7	7	2	5	2	2	5	5	2	8	7	11	5	5	10	2	2	5	5	2	5	5	5	5	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	9	7	7	5	0	5	2	0	2	0	5	1	0	7	7	5	3	0	0	0	0	0	5	0	4	3	7	0	0	7	1	0	0	0	0	0	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	162	4	7	6	9	1	2	0	9	7	2	0	1	1	1	26	1	2	5	15	5	1	4	11	7	4	8	3	4	2	1	1	0	0	0	0	2	0	4	0	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	118	3	0	0	2	3	0	3	5	3	2	0	1	2	5	0	2	4	2	5	2	2	5	0	2	4	4	4	5	5	3	1	2	5	5	2	5	5	3	5	5	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	327	24	20	12	17	1	5	3	7	3	1	2	2	5	5	16	12	12	3	7	3	0	6	8	0	29	33	7	7	13	8	2	1	6	10	3	8	2	11	6	5	2									
		1.58%	2.09%	1.77%	1.07%	1.52%	0.34%	0.82%	0.64%	1.02%	0.69%	0.54%	0.38%	0.97%	2.20%	1.02%	2.46%	2.12%	2.23%	6.00%	1.52%	2.46%	0.00%	2.29%	1.16%	0.00%	2.75%	2.78%	1.16%	2.26%	2.30%	1.76%	0.65%	0.44%	1.21%	1.81%	1.82%	2.50%	0.91%	1.66%	1.35%	0.90%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	657	32	33	32	35	9	14	20	17	13	8	11	0	8	14	26	20	17	1	13	0	4	10	11	3	28	38	21	11	19	14	8	10	25	29	6	22	19	15	12	21	8									
		3.18%	2.79%	2.93%	2.84%	3.13%	3.04%	2.28%	4.27%	2.47%	2.98%	4.32%	2.10%	0.00%	3.52%	2.86%	3.99%	3.54%	3.15%	2.00%	2.82%	0.00%	3.42%	3.82%	1.59%	1.24%	2.66%	3.20%	3.47%	3.55%	3.36%	3.08%	2.59%	4.42%	5.03%	5.26%	3.64%	6.88%	8.64%	2.27%	2.69%	3.76%	4.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	352	24	21	17	17	1	11	7	12	10	2	3	2	2	8	18	14	7	0	5	3	2	5	10	1	21	21	9	12	8	8	4	4	7	7	2	2	2	19	3	16	5									
		1.70%	2.09%	1.86%	1.51%	1.52%	0.34%	1.79%	1.50%	1.75%	2.29%	1.08%	0.57%	0.97%	0.88%	1.63%	2.76%	2.48%	1.30%	0.00%	1.08%	2.46%	1.71%	1.91%	1.45%	0.41%	1.99%	1.77%	1.49%	3.87%	1.42%	1.76%	1.29%	1.77%	1.41%	1.27%	1.21%	0.63%	0.91%	2.87%	0.67%	2.87%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11067	576	541	642	601	162	351	271	402	247	110	319	129	145	189	251	275	259	28	253	78	76	152	457	174	529	564	337	134	252	195	212	114	266	334	111	185	143	364	247	303	89									
		53.60%	50.26%	47.96%	57.07%	53.71%	54.73%	57.26%	57.91%	58.52%	56.65%	59.46%	60.99%	62.32%	63.88%	38.57%	38.56%	48.67%	48.05%	56.00%	54.88%	63.93%	64.96%	58.02%	66.04%	71.90%	50.19%	47.43%	55.61%	43.23%	44.60%	42.86%	68.61%	50.44%	53.52%	60.62%	67.27%	57.81%	65.00%	55.07%	55.38%	54.30%	53.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	152	16	13	11	10	0	2	4	3	6	1	2	1	1	2	3	3	2	0	6	1	2	2	2	1	12	13	4	1	6	5	1	2	3	2	0	1	0	2	1	4	1									
		0.74%	1.40%	1.15%	0.98%	0.89%	0.00%	0.33%	0.85%	0.44%	1.38%	0.54%	0.38%	0.48%	0.44%	0.41%	0.46%	0.53%	0.37%	0.00%	1.30%	0.82%	1.71%	0.76%	0.29%	0.41%	1.14%	1.09%	0.66%	0.32%	1.06%	1.10%	0.32%	0.88%	0.60%	0.36%	0.00%	0.31%	0.00%	0.30%	0.22%	0.72%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	0	3	1	1	1	0	1	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	1	4	1	3	0	1	2	0	0	0	0	1	1	0	0	0	0									
		0.13%	0.00%	0.27%	0.09%	0.09%	0.34%	0.00%	0.21%	0.00%	0.23%	0.00%	0.19%	0.00%	0.00%	0.41%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.09%	0.34%	0.17%	0.97%	0.00%	0.22%	0.65%	0.00%	0.00%	0.00%	0.00%	0.31%	0.45%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2941	156	158	161	151	58	63	50	86	58	22	50	18	26	80	120	90	111	10	44	14	15	17	70	23	211	215	117	58	104	78	26	55	64	61	17	24	10	90	76	64	20									
		14.24%	13.61%	14.01%	14.31%	13.49%	19.59%	10.28%	10.68%	12.52%	13.30%	11.89%	9.56%	8.70%	11.45%	16.33%	18.43%	15.93%	20.59%	20.00%	9.54%	11.48%	12.82%	6.49%	10.12%	9.50%	20.02%	18.08%	19.31%	18.71%	18.41%	17.14%	8.41%	24.34%	12.88%	11.07%	10.30%	7.50%	4.55%	13.62%	17.04%	11.47%	12.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	85	9	4	2	8	1	1	3	1	0	0	1	0	0	1	6	0	5	1	2	0	0	0	3	3	3	8	0	3	4	2	1	0	2	1	0	2	0	3	1	4	0									
		0.41%	0.79%	0.35%	0.18%	0.71%	0.34%	0.16%	0.64%	0.15%	0.00%	0.00%	0.19%	0.00%	0.00%	0.20%	0.92%	0.00%	0.93%	2.00%	0.43%	0.00%	0.00%	0.00%	0.43%	1.24%	0.28%	0.67%	0.00%	0.97%	0.71%	0.44%	0.32%	0.00%	0.40%	0.18%	0.00%	0.63%	0.00%	0.45%	0.22%	0.72%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	114	8	4	6	12	2	5	2	2	2	0	0	0	0	3	4	1	1	0	1	0	1	0	4	0	2	19	2	0	2	3	3	0	8	2	0	1	2	3	4	3	2									
		0.55%	0.70%	0.35%	0.53%	1.07%	0.68%	0.82%	0.43%	0.29%	0.46%	0.00%	0.00%	0.00%	0.00%	0.61%	0.61%	0.18%	0.19%	0.00%	0.22%	0.00%	0.85%	0.00%	0.58%	0.00%	0.19%	1.60%	0.33%	0.00%	0.35%	0.66%	0.97%	0.00%	1.61%	0.36%	0.00%	0.31%	0.91%	0.45%	0.90%	0.54%	1.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	1	0	0	1	0	2	0	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	2	0	1	1	1	0	2	0	0	0	0	1	1	2	1	2	1	0	0									
		0.12%	0.09%	0.00%	0.00%	0.09%	0.00%	0.33%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.31%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.29%	0.00%	0.09%	0.08%	0.17%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.18%	0.61%	0.63%	0.45%	0.30%	0.22%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	129	12	12	9	10	3	5	1	3	1	3	2	0	0	0	5	2	3	0	4	0	0	2	2	1	9	10	2	4	3	6	0	1	1	4	1	2	0	0	2	4	0									
		0.62%	1.05%	1.06%	0.80%	0.89%	1.01%	0.82%	0.21%	0.44%	0.23%	1.62%	0.38%	0.00%	0.00%	0.00%	0.77%	0.35%	0.56%	0.00%	0.87%	0.00%	0.00%	0.76%	0.29%	0.41%	0.85%	0.84%	0.33%	1.29%	0.53%	1.32%	0.00%	0.44%	0.20%	0.73%	0.61%	0.63%	0.00%	0.00%	0.45%	0.72%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3216	183	193	135	149	40	112	74	90	54	30	90	14	21	145	155	122	91	2	90	17	9	54	75	26	141	187	78	55	106	100	25	25	75	65	16	36	28	110	67	104	27									
		15.58%	15.97%	17.11%	12.00%	13.32%	13.51%	18.27%	15.81%	13.10%	12.39%	16.22%	17.21%	6.76%	9.25%	29.59%	23.81%	21.59%	16.88%	4.00%	19.52%	13.93%	7.69%	20.61%	10.84%	10.74%	13.38%	15.73%	12.87%	17.74%	18.76%	21.98%	8.09%	11.06%	15.09%	11.80%	9.70%	11.25%	12.73%	16.64%	15.02%	18.64%	16.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	82	7	8	1	5	1	0	0	5	2	1	3	3	0	2	1	1	2	0	3	1	0	0	3	2	4	6	0	0	3	2	0	1	2	1	0	1	1	2	3	5	0									
		0.40%	0.61%	0.71%	0.09%	0.45%	0.34%	0.00%	0.00%	0.73%	0.46%	0.54%	0.57%	1.45%	0.00%	0.41%	0.15%	0.18%	0.37%	0.00%	0.65%	0.82%	0.00%	0.00%	0.43%	0.83%	0.38%	0.50%	0.00%	0.00%	0.53%	0.44%	0.00%	0.44%	0.40%	0.18%	0.00%	0.31%	0.45%	0.30%	0.67%	0.90%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	888	71	85	67	69	9	22	16	32	18	2	18	27	12	29	28	14	21	5	15	1	3	5	31	4	38	52	12	13	34	20	10	5	19	17	2	11	5	20	10	11	5									
		4.30%	6.20%	7.54%	5.96%	6.17%	3.04%	3.59%	3.42%	4.66%	4.13%	1.08%	3.44%	13.04%	5.29%	5.92%	4.30%	2.48%	3.90%	10.00%	3.25%	0.82%	2.56%	1.91%	4.48%	1.65%	3.61%	4.37%	1.98%	4.19%	6.02%	4.40%	3.24%	2.21%	3.82%	3.09%	1.21%	3.44%	2.27%	3.03%	2.24%	1.97%	3.03%									
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
