Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Белорецкая																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78270	2271	2053	2121	1158	1440	2091	2545	2005	2735	1305	2162	2511	1147	1605	1341	2617	1012	1240	766	1720	382	2574	2452	1877	1442	2599	1172	1584	1010	150	315	294	390	264	592	527	328	290	754	875	204	1796	354	367	604	348	1170	492	930	675	202	487	251	175	429	343	796	1965	355	258	262	201	1337	724	278	752	708	707	642	746	589	571	343	529	374	598	490	502									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79410	2300	2000	2100	1200	1500	2100	2600	2000	2700	1300	2100	2600	1100	1600	1300	2700	1100	1200	800	1800	400	2600	2500	1800	1500	2600	1200	1600	1000	200	320	300	400	300	600	600	400	300	700	900	220	1800	400	400	600	350	1200	500	950	700	200	500	250	200	450	370	800	2000	400	300	270	200	1400	730	300	700	700	700	650	750	600	600	350	550	400	600	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45695	1304	917	1054	667	1010	1765	1331	635	1176	1179	1906	850	635	666	1042	1328	415	336	345	701	177	1209	1885	1304	1310	1665	567	559	511	135	157	158	303	211	478	382	247	206	220	310	167	1208	190	215	432	326	851	383	730	365	120	359	184	131	178	326	214	1402	245	183	222	154	915	429	161	299	321	273	339	313	415	460	256	371	321	376	311	294									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5272	216	85	123	108	80	126	105	20	42	72	67	139	105	133	40	90	210	287	42	45	18	102	150	346	60	241	200	117	17	10	31	21	4	17	0	14	0	6	90	74	5	112	30	35	0	0	93	42	54	55	38	51	20	18	139	3	147	110	15	12	3	14	39	24	8	70	63	77	69	17	61	36	28	56	19	20	30	6									
6	Число погашенных избирательных бюллетеней	28443	780	998	923	425	410	209	1164	1345	1482	49	127	1611	360	801	218	1282	475	577	413	1054	205	1289	465	150	130	694	433	924	472	55	132	121	93	72	122	204	153	88	390	516	48	480	180	150	168	24	256	75	166	280	42	90	46	51	133	41	439	488	140	105	45	32	446	277	131	331	316	350	242	420	124	104	66	123	60	204	159	200									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5272	216	85	123	108	80	126	105	20	42	72	67	139	105	133	40	90	210	287	42	45	18	102	150	346	60	241	200	117	17	10	31	21	4	17	0	14	0	6	90	74	5	112	30	35	0	0	93	42	54	55	38	51	20	18	139	3	147	110	15	12	3	14	39	24	8	70	63	77	69	17	61	36	28	56	19	20	30	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45685	1304	917	1054	667	1010	1765	1331	635	1176	1170	1906	850	635	666	1042	1328	415	336	345	701	177	1208	1885	1304	1310	1665	567	559	511	135	157	158	303	211	478	382	247	206	220	310	167	1208	190	215	432	326	851	383	730	365	120	359	184	131	178	326	214	1402	245	183	222	154	915	429	161	299	321	273	339	313	415	460	256	371	321	376	311	294									
9	Число недействительных избирательных бюллетеней	885	21	9	27	9	20	3	9	23	33	2	14	15	3	22	5	23	9	18	6	11	3	24	6	103	5	0	15	10	10	3	2	7	2	0	13	14	3	9	4	26	4	42	7	10	3	0	12	10	4	10	2	20	17	1	4	6	4	34	3	7	4	3	35	8	0	12	11	7	5	13	11	9	0	10	2	5	6	3									
10	Число действительных избирательных бюллетеней	50072	1499	993	1150	766	1070	1888	1427	632	1185	1240	1959	974	737	777	1077	1395	616	605	381	735	192	1286	2029	1547	1365	1906	752	666	518	142	186	172	305	228	465	382	244	203	306	358	168	1278	213	240	429	326	932	415	780	410	156	390	187	148	313	323	357	1478	257	188	221	165	919	445	169	357	373	343	403	317	465	487	284	417	338	391	335	297									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	259	4	7	6	8	6	4	3	3	10	5	5	10	0	5	2	2	5	5	5	7	0	5	4	5	1	3	4	3	3	0	3	5	3	0	0	5	0	0	3	4	1	4	0	0	0	0	5	10	6	5	0	0	0	0	2	10	10	3	2	1	0	0	20	1	0	3	2	0	0	0	1	3	0	5	7	0	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	219	4	7	6	8	5	4	3	3	9	5	5	10	0	5	0	2	5	5	5	7	0	5	4	2	1	3	4	3	0	0	0	5	1	0	0	1	0	0	0	4	1	4	0	0	0	0	5	10	6	5	0	0	0	0	2	4	1	3	1	0	0	0	20	1	0	3	1	0	0	0	1	3	0	5	7	0	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	234	1	5	1	5	0	2	3	0	4	12	6	8	0	1	1	4	3	2	2	1	0	4	4	1	2	7	0	4	15	0	4	2	1	2	7	31	0	0	11	3	0	5	0	5	2	0	4	0	0	8	2	2	3	0	6	2	5	0	0	0	0	1	3	2	0	3	0	1	4	2	5	2	2	2	0	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	40	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	3	0	2	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	2	7	2	2	2	2	3	4	1	3	7	5	2	1	2	5	3	2	1	1	1	3	6	1	3	5	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	3	0	0	0	0	1	0	0	1	0	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	413	14	17	20	5	6	7	17	6	12	5	12	11	7	5	3	9	7	4	7	8	3	12	11	12	3	10	8	8	2	0	1	0	5	6	6	5	4	1	0	6	0	9	1	2	1	3	4	4	4	4	0	5	0	1	1	8	2	5	3	0	2	0	9	5	1	11	0	5	4	6	11	3	0	1	1	4	4	4									
		0.81%	0.92%	1.70%	1.70%	0.65%	0.55%	0.37%	1.18%	0.92%	0.99%	0.40%	0.61%	1.11%	0.95%	0.63%	0.28%	0.63%	1.12%	0.64%	1.81%	1.07%	1.54%	0.92%	0.54%	0.73%	0.22%	0.52%	1.04%	1.18%	0.38%	0.00%	0.53%	0.00%	1.63%	2.63%	1.26%	1.26%	1.62%	0.47%	0.00%	1.56%	0.00%	0.68%	0.45%	0.80%	0.23%	0.92%	0.42%	0.94%	0.51%	0.95%	0.00%	1.22%	0.00%	0.67%	0.32%	2.43%	0.55%	0.33%	1.15%	0.00%	0.89%	0.00%	0.94%	1.10%	0.59%	2.98%	0.00%	1.43%	0.98%	1.82%	2.31%	0.60%	0.00%	0.23%	0.29%	1.01%	1.17%	1.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1631	41	37	35	20	48	25	30	26	47	13	33	29	40	15	4	30	18	12	21	21	11	40	48	43	48	38	19	25	22	6	16	6	30	22	12	26	14	18	0	19	12	53	15	21	28	6	42	10	13	34	2	15	15	7	13	18	13	20	11	9	7	17	39	17	8	19	17	14	21	14	32	5	0	0	10	14	18	14									
		3.20%	2.70%	3.69%	2.97%	2.58%	4.40%	1.32%	2.09%	3.97%	3.86%	1.05%	1.67%	2.93%	5.41%	1.88%	0.37%	2.12%	2.88%	1.93%	5.43%	2.82%	5.64%	3.05%	2.36%	2.61%	3.50%	1.99%	2.48%	3.70%	4.17%	4.14%	8.51%	3.35%	9.77%	9.65%	2.51%	6.57%	5.67%	8.49%	0.00%	4.95%	6.98%	4.02%	6.82%	8.40%	6.48%	1.84%	4.45%	2.35%	1.66%	8.10%	1.27%	3.66%	7.35%	4.70%	4.10%	5.47%	3.60%	1.32%	4.23%	4.62%	3.11%	10.12%	4.09%	3.75%	4.73%	5.15%	4.43%	4.00%	5.15%	4.24%	6.72%	1.01%	0.00%	0.00%	2.94%	3.54%	5.28%	4.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1116	35	17	25	14	18	15	42	27	26	7	25	35	9	25	3	92	7	13	9	22	2	38	20	20	73	16	14	15	9	2	4	3	6	5	12	7	9	2	0	5	0	28	2	7	8	3	14	7	8	10	0	4	0	100	6	6	11	13	9	0	0	7	18	20	3	10	6	5	5	15	22	5	4	3	2	12	7	8									
