Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N2"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, внесенных в списки избирателей"	95761	1513	1513	1263	2226	1853	1997	1940	2712	2592	2691	2850	2567	1947	2669	2151	2197	2459	2294	1778	1580	1871	2034	2027	1863	1703	1774	2626	2787	2335	2295	2733	2759	2805	2733	2211	2352	2422	1994	1542	2031	1640	163	1594	2505	1093	473	604					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91110	1450	1450	1200	2130	1760	1900	1860	2600	2480	2570	2700	2460	1850	2540	2030	2090	2320	2180	1680	1490	1790	1940	1940	1770	1620	1700	2500	2660	2250	2200	2600	2630	2670	2540	2070	2240	2300	1900	1460	1930	1550	150	1500	2400	1040	440	580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	51883	928	865	747	1329	1086	1056	1041	1413	1489	1460	1601	1438	1082	1551	1281	1192	1280	1302	840	869	1085	1097	1084	1016	954	1015	1348	1440	1236	1379	1479	1456	1622	1566	1191	1277	1319	919	564	955	721	80	876	1217	567	221	349					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1144	26	26	15	17	24	32	9	31	10	22	45	35	28	20	10	19	50	28	5	30	28	30	26	31	27	32	48	55	44	27	20	23	18	14	16	18	8	19	28	13	25	10	32	39	9	2	20					
6	Число погашенных избирательных бюллетеней	38083	496	559	438	784	650	812	810	1156	981	1088	1054	987	740	969	739	879	990	850	835	591	677	813	830	723	639	653	1104	1165	970	794	1101	1151	1030	960	863	945	973	962	868	962	804	60	592	1144	464	217	211					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1144	26	26	15	17	24	32	9	31	10	22	45	35	28	20	10	19	50	28	5	30	28	30	26	31	27	32	48	55	44	27	20	23	18	14	16	18	8	19	28	13	25	10	32	39	9	2	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51860	928	865	747	1328	1086	1055	1041	1413	1489	1460	1601	1435	1080	1548	1281	1192	1280	1302	840	869	1085	1097	1084	1016	952	1015	1343	1440	1236	1377	1479	1456	1622	1566	1191	1277	1319	915	564	955	721	80	876	1217	567	221	349					
9	Число недействительных избирательных бюллетеней	460	2	4	4	17	5	3	11	15	14	15	14	9	10	15	8	8	12	17	9	8	7	15	17	15	8	15	9	21	13	6	9	19	16	20	8	8	7	5	7	10	3	1	0	15	4	1	1					
10	Число действительных избирательных бюллетеней	52544	952	887	758	1328	1105	1084	1039	1429	1485	1467	1632	1461	1098	1553	1283	1203	1318	1313	836	891	1106	1112	1093	1032	971	1032	1382	1474	1267	1398	1490	1460	1624	1560	1199	1287	1320	929	585	958	743	89	908	1241	572	222	368					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1590	30	30	30	40	30	40	27	28	25	40	24	27	29	30	40	20	40	40	40	30	40	40	40	40	40	40	30	30	31	29	50	50	50	50	40	40	40	40	30	40	30	10	30	40	30	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	939	24	14	11	35	12	18	22	28	25	29	23	24	22	29	20	16	22	17	10	16	28	22	16	14	16	20	28	30	29	28	33	28	23	32	22	29	24	25	7	9	10	1	20	17	6	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	505	7	5	9	13	11	10	3	5	14	12	18	8	9	19	10	8	13	15	8	17	4	10	5	5	14	8	25	15	5	11	20	15	18	29	16	18	16	4	7	9	9	3	6	9	9	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	651	6	16	19	5	18	22	5	0	0	11	1	3	7	1	20	4	18	23	30	14	12	18	24	26	24	20	2	0	2	1	17	22	27	18	18	11	16	15	23	31	20	9	10	23	24	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	1334	36	21	28	40	36	26	17	39	43	27	45	48	35	38	35	39	40	37	23	31	36	37	25	30	29	24	31	31	21	36	31	28	46	26	44	29	20	5	15	15	10	1	24	38	9	2	7					
		2.52%	3.77%	2.36%	3.67%	2.97%	3.24%	2.39%	1.62%	2.70%	2.87%	1.82%	2.73%	3.27%	3.16%	2.42%	2.71%	3.22%	3.01%	2.78%	2.72%	3.45%	3.23%	3.28%	2.25%	2.87%	2.96%	2.29%	2.23%	2.07%	1.64%	2.56%	2.07%	1.89%	2.80%	1.65%	3.65%	2.24%	1.51%	0.54%	2.53%	1.55%	1.34%	1.11%	2.64%	3.03%	1.56%	0.90%	1.90%					
19	2.Всероссийская политическая партия «Гражданская Сила»	596	18	10	8	15	7	17	17	19	23	20	25	10	7	10	21	20	17	11	18	8	15	13	7	6	5	19	10	16	13	18	27	25	17	22	10	21	18	3	3	13	2	0	7	3	1	1	0					
