Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N2"																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943					
1	"Число избирателей, внесенных в список избирателей"	96741	2316	2210	2163	1822	2097	2026	2412	2104	2465	2718	2453	2741	1847	2514	1942	2413	1660	2212	1936	1734	1799	2111	1713	1652	1793	2006	2250	2085	2083	1906	2329	1593	2164	2260	2397	2312	2782	2745	2414	2570	1825	1585	158	1627	2352	1232	494	719					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79200	1900	1800	1800	1500	1700	1650	1950	1750	2000	2200	2000	2250	1500	2050	1600	2000	1350	1850	1600	1450	1450	1700	1400	1350	1450	1650	1850	1700	1700	1550	1900	1300	1750	1850	1950	1900	2250	2250	2050	2100	1500	1300	150	1350	1900	1000	400	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49011	1252	1108	1125	1062	1071	1080	1219	1052	1338	1416	1329	1497	961	1348	1105	1247	846	1086	852	973	985	1074	845	873	966	1104	1129	1034	1015	961	1098	854	1211	1166	1273	1229	1330	1377	1195	1052	728	482	65	792	1105	528	217	356					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	859	30	39	24	12	21	18	14	15	12	12	14	26	16	26	12	16	11	18	10	12	16	17	19	8	10	11	47	30	46	20	20	7	11	15	11	9	15	22	21	26	27	16	6	27	25	5	3	11					
6	Число погашенных избирательных бюллетеней	29330	618	653	651	426	608	552	717	683	650	772	657	727	523	676	483	737	493	746	738	465	449	609	536	469	474	535	674	636	639	569	782	439	528	669	666	662	905	851	834	1022	745	802	79	531	770	467	180	233					
7	Число избирательных бюллетеней в переносных ящиках для голосования	859	30	39	24	12	21	18	14	15	12	12	14	26	16	26	12	16	11	18	10	12	16	17	19	8	10	11	47	30	46	20	20	7	11	15	11	9	15	22	21	26	27	16	6	27	25	5	3	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48919	1252	1108	1125	1062	1071	1079	1217	1051	1338	1416	1329	1497	911	1347	1105	1246	846	1086	852	973	969	1074	845	872	965	1104	1128	1034	1015	961	1098	854	1211	1166	1273	1229	1330	1377	1194	1052	728	466	65	792	1105	528	217	356					
9	Число недействительных избирательных бюллетеней	793	20	29	20	16	13	20	28	13	21	18	22	18	12	17	13	19	16	13	20	20	15	23	9	16	14	15	22	15	17	8	18	13	27	19	17	20	29	20	21	13	13	15	2	13	17	10	2	2					
10	Число действительных избирательных бюллетеней	48985	1262	1118	1129	1058	1079	1077	1203	1053	1329	1410	1321	1505	915	1356	1104	1243	841	1091	842	965	970	1068	855	864	961	1100	1153	1049	1044	973	1100	848	1195	1162	1267	1218	1316	1379	1194	1065	742	467	69	806	1113	523	218	365					
