Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Мелекесская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в список избирателей"	31043	2524	1098	1672	190	2198	1346	1536	445	292	83	767	488	302	1054	576	349	129	1504	487	121	2508	259	264	264	257	397	275	603	1125	861	754	136	173	60	229	785	181	266	477	193	98	61	1014	77	805	801	498	258	203					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27540	2200	1000	1500	180	1820	1050	1200	400	250	80	670	450	250	1000	500	300	120	1330	400	115	2085	250	250	250	250	350	250	550	1100	800	720	130	160	60	220	750	175	255	420	175	95	55	900	75	750	750	450	250	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18670	1756	662	983	158	1072	693	819	254	131	45	497	285	171	555	337	268	96	815	301	97	1306	182	200	190	167	238	187	361	832	716	402	93	137	44	101	493	119	199	265	102	65	40	587	67	545	389	342	161	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2265	179	104	126	11	101	47	33	37	30	15	59	47	16	82	60	18	9	147	90	3	139	17	12	11	23	40	35	46	46	37	70	15	3	5	48	51	17	20	60	16	12	4	100	8	86	73	30	12	15					
6	Число погашенных избирательных бюллетеней	6605	265	234	391	11	647	310	348	109	89	20	114	118	63	363	103	14	15	368	9	15	640	51	38	49	60	72	28	143	222	47	248	22	20	11	71	206	39	36	95	57	18	11	213	0	119	288	78	77	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2265	179	104	126	11	101	47	33	37	30	15	59	47	16	82	60	18	9	147	90	3	139	17	12	11	23	40	35	46	46	37	70	15	3	5	48	51	17	20	60	16	12	4	100	8	86	73	30	12	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18664	1756	662	983	158	1070	693	819	254	131	45	497	285	171	555	337	268	96	815	301	97	1306	182	200	190	167	237	187	361	832	713	402	93	137	44	101	493	119	199	265	102	65	40	587	67	545	389	342	161	145					
9	Число недействительных избирательных бюллетеней	255	14	4	15	0	22	12	11	4	0	2	4	8	4	9	5	0	0	14	4	10	23	1	1	0	4	5	1	2	18	13	6	0	0	0	3	5	2	2	0	6	0	1	9	0	4	2	3	1	1					
10	Число действительных избирательных бюллетеней	20674	1921	762	1094	169	1149	728	841	287	161	58	552	324	183	628	392	286	105	948	387	90	1422	198	211	201	186	272	221	405	860	737	466	108	140	49	146	539	134	217	325	112	77	43	678	75	627	460	369	172	159					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1100	50	30	55	30	18	25	20	10	20	15	30	10	10	69	15	15	5	80	50	27	105	10	10	5	10	5	10	22	50	50	20	5	10	5	15	20	5	5	10	1	5	5	28	5	25	20	15	10	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1100	50	30	55	30	18	25	20	10	20	15	30	10	10	69	15	15	5	80	50	27	105	10	10	5	10	5	10	22	50	50	20	5	10	5	15	20	5	5	10	1	5	5	28	5	25	20	15	10	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	376	6	6	10	7	14	10	10	4	10	3	7	3	3	12	8	7	5	32	12	3	27	2	5	3	7	3	3	2	8	47	7	3	15	2	1	6	3	1	6	8	3	5	8	4	6	7	5	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	2	0	3	0	2	0	2	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2490	242	108	111	14	145	98	107	21	22	13	51	30	22	79	43	27	14	187	43	10	137	17	17	43	35	17	18	47	129	92	75	16	25	1	35	42	18	18	28	15	11	3	78	0	44	61	49	21	11					
		11.90%	12.51%	14.10%	10.01%	8.28%	12.38%	13.24%	12.56%	7.22%	13.66%	21.67%	9.17%	9.04%	11.76%	12.40%	10.83%	9.44%	13.33%	19.44%	10.99%	10.00%	9.48%	8.54%	8.02%	21.39%	18.42%	6.14%	8.11%	11.55%	14.69%	12.27%	15.89%	14.81%	17.86%	2.04%	23.49%	7.72%	13.24%	8.22%	8.62%	12.71%	14.29%	6.82%	11.35%	0.00%	6.97%	13.20%	13.17%	12.14%	6.88%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2546	241	118	112	20	165	106	119	23	19	11	84	11	19	82	55	50	21	169	38	21	163	28	37	37	23	12	8	30	90	59	84	15	17	1	22	56	15	4	22	19	6	6	75	7	77	70	34	19	26					
		12.16%	12.45%	15.40%	10.10%	11.83%	14.09%	14.32%	13.97%	7.90%	11.80%	18.33%	15.11%	3.31%	10.16%	12.87%	13.85%	17.48%	20.00%	17.57%	9.72%	21.00%	11.28%	14.07%	17.45%	18.41%	12.11%	4.33%	3.60%	7.37%	10.25%	7.87%	17.80%	13.89%	12.14%	2.04%	14.77%	10.29%	11.03%	1.83%	6.77%	16.10%	7.79%	13.64%	10.92%	9.33%	12.20%	15.15%	9.14%	10.98%	16.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	164	13	13	4	0	5	8	10	3	3	0	5	1	3	4	3	0	2	6	2	1	13	2	2	1	6	0	1	3	6	3	3	1	1	0	0	6	2	0	1	1	0	0	10	0	6	2	0	4	4					
		0.78%	0.67%	1.70%	0.36%	0.00%	0.43%	1.08%	1.17%	1.03%	1.86%	0.00%	0.90%	0.30%	1.60%	0.63%	0.76%	0.00%	1.90%	0.62%	0.51%	1.00%	0.90%	1.01%	0.94%	0.50%	3.16%	0.00%	0.45%	0.74%	0.68%	0.40%	0.64%	0.93%	0.71%	0.00%	0.00%	1.10%	1.47%	0.00%	0.31%	0.85%	0.00%	0.00%	1.46%	0.00%	0.95%	0.43%	0.00%	2.31%	2.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4818	459	175	329	28	272	177	254	100	39	6	112	81	33	223	118	66	40	165	88	26	497	31	49	36	31	80	41	107	206	151	60	11	22	13	21	81	25	45	91	30	16	9	85	6	75	85	72	34	17					
