Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Анучинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26					
1	"Число избирателей, внесенных в списки"	11439	2289	1181	448	179	51	125	496	140	224	183	475	102	309	129	293	151	265	1190	793	299	183	345	97	887	577	28					
2	"Число бюллетеней, полученных участковыми комиссиями"	11000	2095	1130	440	200	50	115	470	140	210	185	510	110	320	180	230	145	270	1165	693	280	180	325	105	840	555	57					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6464	1150	634	209	108	32	79	286	90	134	112	310	62	224	100	157	123	188	620	440	216	108	223	62	470	303	24					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	522	37	27	51	11	7	3	9	15	7	6	15	5	8	29	73	0	18	38	25	0	21	10	19	46	38	4					
6	Число погашенных бюллетеней	4014	908	469	180	81	11	33	175	35	69	67	185	43	88	51	0	22	64	507	228	64	51	92	24	324	214	29					
7	Число бюллетеней в переносных ящиках для голосования	522	37	27	51	11	7	3	9	15	7	6	15	5	8	29	73	0	18	38	25	0	21	10	19	46	38	4					
8	Число бюллетеней в стационарных ящиках для голосования	6464	1150	634	209	108	32	79	286	90	134	112	310	62	224	100	157	123	188	620	440	216	108	223	62	470	303	24					
9	Число недействительных бюллетеней	155	19	17	3	1	5	0	6	0	4	6	7	2	8	3	4	10	2	22	4	0	0	14	0	10	8	0					
10	Число действительных бюллетеней	6831	1168	644	257	118	34	82	289	105	137	112	318	65	224	126	226	113	204	636	461	216	129	219	81	506	333	28					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	15	15	13	5	5	5	10	5	5	5	15	10	5	5	5	5	5	10	10	5	5	10	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	67	9	4	1	3	5	0	9	0	4	0	4	1	4	0	1	0	2	3	4	4	0	1	1	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	15	0	3	1	1	2	2	7	1	2	0	1	3	1	0	1	1	3	1	8	2	3	5	11	1	1					
14	Число погашенных открепительных удостоверений	131	6	11	12	2	0	5	1	5	1	5	11	9	1	5	4	5	3	7	6	1	5	9	4	3	5	5					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	102	14	9	7	2	2	0	6	1	7	2	3	0	4	4	2	0	7	13	2	3	5	1	0	6	2	0					
		1.46%	1.17%	1.36%	2.69%	1.68%	5.12%	0.0%	2.03%	0.95%	4.96%	1.69%	0.92%	0.0%	1.72%	3.10%	0.86%	0.0%	3.39%	1.97%	0.43%	1.38%	3.87%	0.42%	0.0%	1.16%	0.58%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	60	11	6	6	0	0	0	0	2	0	2	4	0	2	4	0	0	2	5	3	0	2	1	1	4	5	0					
		0.85%	0.92%	0.90%	2.30%	0.0%	0.0%	0.0%	0.0%	1.90%	0.0%	1.69%	1.23%	0.0%	0.86%	3.10%	0.0%	0.0%	0.97%	0.75%	0.64%	0.0%	1.55%	0.42%	1.23%	0.77%	1.46%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	149	30	12	5	1	0	2	4	5	3	2	9	3	5	4	0	0	7	9	14	4	2	7	3	14	4	0					
		2.13%	2.52%	1.81%	1.92%	0.84%	0.0%	2.43%	1.35%	4.76%	2.12%	1.69%	2.76%	4.47%	2.15%	3.10%	0.0%	0.0%	3.39%	1.36%	3.01%	1.85%	1.55%	3.00%	3.70%	2.71%	1.17%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	125	35	7	3	4	0	2	7	6	1	6	2	2	3	2	1	2	6	13	6	2	2	4	2	6	1	0					
		1.78%	2.94%	1.05%	1.15%	3.36%	0.0%	2.43%	2.37%	5.71%	0.70%	5.08%	0.61%	2.98%	1.29%	1.55%	0.43%	1.62%	2.91%	1.97%	1.29%	0.92%	1.55%	1.71%	2.46%	1.16%	0.29%	0.0%					
22	"5. ""За Русь Святую"""	33	3	3	2	0	0	0	1	1	1	2	0	0	2	0	0	0	1	6	3	0	0	1	0	3	4	0					
		0.47%	0.25%	0.45%	0.76%	0.0%	0.0%	0.0%	0.33%	0.95%	0.70%	1.69%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.48%	0.91%	0.64%	0.0%	0.0%	0.42%	0.0%	0.58%	1.17%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	1	3	0	1	0	0	1	0	0	1	1	0	2	0	1	0	3	2	0	1	0	1	2	2	2	0					
		0.34%	0.08%	0.45%	0.0%	0.84%	0.0%	0.0%	0.33%	0.0%	0.0%	0.84%	0.30%	0.0%	0.86%	0.0%	0.43%	0.0%	1.45%	0.30%	0.0%	0.46%	0.0%	0.42%	2.46%	0.38%	0.58%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	57	12	1	2	2	0	3	4	0	0	0	6	0	1	0	1	1	1	2	5	1	5	3	0	6	1	0					
		0.81%	1.01%	0.15%	0.76%	1.68%	0.0%	3.65%	1.35%	0.0%	0.0%	0.0%	1.84%	0.0%	0.43%	0.0%	0.43%	0.81%	0.48%	0.30%	1.07%	0.46%	3.87%	1.28%	0.0%	1.16%	0.29%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	1	0					
		0.15%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.15%	0.21%	0.0%	0.0%	1.28%	0.0%	0.0%	0.29%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	1	4	0	0	0	0	0	0	0	1	1	0	1	0	1	0	2	3	3	0	0	0	0	0	1	0					
		0.25%	0.08%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.30%	0.0%	0.43%	0.0%	0.43%	0.0%	0.97%	0.45%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%					
27	"10. ""Аграрная партия России"""	218	17	16	4	7	1	0	21	4	11	3	14	0	10	6	11	0	6	25	7	2	6	15	1	16	15	0					
		3.12%	1.43%	2.42%	1.53%	5.88%	2.56%	0.0%	7.11%	3.80%	7.80%	2.54%	4.30%	0.0%	4.31%	4.65%	4.78%	0.0%	2.91%	3.79%	1.50%	0.92%	4.65%	6.43%	1.23%	3.10%	4.39%	0.0%					
28	"11. ""Истинные патриоты России"""	7	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0					
		0.10%	0.25%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	57	7	4	0	0	0	0	4	1	1	3	3	0	1	1	0	0	2	6	5	3	1	3	0	5	7	0					
		0.81%	0.58%	0.60%	0.0%	0.0%	0.0%	0.0%	1.35%	0.95%	0.70%	2.54%	0.92%	0.0%	0.43%	0.77%	0.0%	0.0%	0.97%	0.91%	1.07%	1.38%	0.77%	1.28%	0.0%	0.96%	2.05%	0.0%					
30	"13. ""Демократическая партия России"""	23	5	3	2	0	0	0	1	2	0	0	2	1	0	0	0	1	0	0	1	0	0	3	0	2	0	0					
		0.32%	0.42%	0.45%	0.76%	0.0%	0.0%	0.0%	0.33%	1.90%	0.0%	0.0%	0.61%	1.49%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.21%	0.0%	0.0%	1.28%	0.0%	0.38%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	2	0	0	0	1	0	3	2	0					
		0.24%	0.16%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.84%	0.0%	1.49%	0.0%	0.0%	0.0%	0.81%	0.97%	0.30%	0.0%	0.0%	0.0%	0.42%	0.0%	0.58%	0.58%	0.0%					
32	"15. ""Партия СЛОН"""	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0					
		0.07%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	237	57	18	6	4	2	1	12	9	6	2	11	0	3	2	2	3	4	26	21	3	7	13	3	10	11	1					
		3.39%	4.80%	2.72%	2.30%	3.36%	5.12%	1.21%	4.06%	8.57%	4.25%	1.69%	3.38%	0.0%	1.29%	1.55%	0.86%	2.43%	1.94%	3.95%	4.51%	1.38%	5.42%	5.57%	3.70%	1.93%	3.22%	3.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	1	1	0	1	0	1	0	0	1	1	2	0	2	2	0	0	2	2	3	1	2	0	1	2	2	0					
		0.38%	0.08%	0.15%	0.0%	0.84%	0.0%	1.21%	0.0%	0.0%	0.70%	0.84%	0.61%	0.0%	0.86%	1.55%	0.0%	0.0%	0.97%	0.30%	0.64%	0.46%	1.55%	0.0%	1.23%	0.38%	0.58%	0.0%					
35	"18. ""ЛДПР"""	1401	219	161	53	26	0	19	42	15	22	21	53	28	42	10	44	23	59	128	140	44	21	36	22	103	67	3					
		20.05%	18.44%	24.35%	20.38%	21.84%	0.0%	23.17%	14.23%	14.28%	15.60%	17.79%	16.30%	41.79%	18.10%	7.75%	19.13%	18.69%	28.64%	19.45%	30.10%	20.37%	16.27%	15.45%	27.16%	19.96%	19.64%	10.71%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	166	29	14	14	0	2	3	10	3	0	1	7	1	2	1	3	2	7	23	7	2	8	4	3	12	6	2					
		2.37%	2.44%	2.11%	5.38%	0.0%	5.12%	3.65%	3.38%	2.85%	0.0%	0.84%	2.15%	1.49%	0.86%	0.77%	1.30%	1.62%	3.39%	3.49%	1.50%	0.92%	6.20%	1.71%	3.70%	2.32%	1.75%	7.14%					
37	"20. ""Политическая партия ""Единая Россия"""	2499	376	234	73	32	18	30	102	41	46	37	132	24	109	77	131	69	76	203	146	103	30	74	12	188	116	20					
		35.77%	31.67%	35.40%	28.07%	26.89%	46.15%	36.58%	34.57%	39.04%	32.62%	31.35%	40.61%	35.82%	46.98%	59.68%	56.95%	56.09%	36.89%	30.85%	31.39%	47.68%	23.25%	31.75%	14.81%	36.43%	34.01%	71.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	2	0	1	0	2	1	0	0	0	0	2	0	0	1	2	0	2	0	1	1	1	1	0	2	0	0					
		0.27%	0.16%	0.0%	0.38%	0.0%	5.12%	1.21%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.77%	0.86%	0.0%	0.97%	0.0%	0.21%	0.46%	0.77%	0.42%	0.0%	0.38%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	15	4	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	2	2	0	0					
		0.21%	0.33%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	2.46%	0.38%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1299	290	120	71	30	5	16	60	13	33	24	50	5	32	4	24	9	10	131	78	37	29	34	24	95	74	1					
		18.59%	24.43%	18.15%	27.30%	25.21%	12.82%	19.51%	20.33%	12.38%	23.40%	20.33%	15.38%	7.46%	13.79%	3.10%	10.43%	7.31%	4.85%	19.90%	16.77%	17.12%	22.48%	14.59%	29.62%	18.41%	21.70%	3.57%					
																																	
41	Против всех	262	45	27	6	8	2	4	13	1	4	3	16	0	3	6	3	2	4	31	12	9	8	12	5	25	12	1					
		3.75%	3.79%	4.08%	2.30%	6.72%	5.12%	4.87%	4.40%	0.95%	2.83%	2.54%	4.92%	0.0%	1.29%	4.65%	1.30%	1.62%	1.94%	4.71%	2.58%	4.16%	6.20%	5.15%	6.17%	4.84%	3.51%	3.57%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
