Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Гафурийская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25674	1193	664	1748	1465	1157	698	1240	896	793	532	1066	396	209	156	359	257	450	1000	545	260	266	410	109	314	310	467	598	358	690	724	186	293	594	571	484	533	258	176	207	392	174	467	284	427	328	598	372									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25310	1100	670	1590	1300	1190	700	1100	900	800	550	1050	400	210	160	360	260	450	1000	560	260	270	410	110	320	320	480	600	370	690	700	190	300	600	580	490	550	260	180	200	390	170	470	290	440	340	600	380									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19286	833	582	1253	1239	354	572	975	751	704	464	886	346	174	78	278	209	335	754	462	190	212	285	82	239	220	385	463	291	339	385	118	240	545	525	267	286	209	134	188	353	147	375	219	353	277	477	233									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2075	95	35	250	19	86	28	90	20	61	25	63	39	7	60	42	25	67	126	59	34	14	24	9	17	19	26	50	21	34	56	13	15	15	20	76	46	15	30	5	19	15	65	46	52	18	83	41									
6	Число погашенных избирательных бюллетеней	3949	172	53	87	42	750	100	35	129	35	61	101	15	29	22	40	26	48	120	39	36	44	101	19	64	81	69	87	58	317	259	59	45	40	35	147	218	36	16	7	18	8	30	25	35	45	40	106									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2075	95	35	250	19	86	28	90	20	61	25	63	39	7	60	42	25	67	126	59	34	14	24	9	17	19	26	50	21	34	56	13	15	15	20	76	46	15	30	5	19	15	65	46	52	18	83	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19286	833	582	1253	1239	354	572	975	751	704	464	886	346	174	78	278	209	335	754	462	190	212	285	82	239	220	385	463	291	339	385	118	240	545	525	267	286	209	134	188	353	147	375	219	353	277	477	233									
9	Число недействительных избирательных бюллетеней	220	0	0	0	11	6	11	15	4	8	0	0	0	0	5	0	13	0	7	57	0	0	3	0	0	2	0	0	2	13	0	0	0	0	0	0	36	9	0	0	0	10	0	0	0	5	0	3									
10	Число действительных избирательных бюллетеней	21141	928	617	1503	1247	434	589	1050	767	757	489	949	385	181	133	320	221	402	873	464	224	226	306	91	256	237	411	513	310	360	441	131	255	560	545	343	296	215	164	193	372	152	440	265	405	290	560	271									
