Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
Наименование Избирательной комиссии:    Павловская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944					
1	"Число избирателей, внесенных в список избирателей"	53375	2892	1533	977	583	850	1303	1787	1900	293	1709	436	163	247	2172	1029	981	1520	1937	2178	1347	2059	2498	2057	2219	1691	1802	1060	1717	997	1500	270	234	837	173	347	1235	464	789	159	209	231	545	2562	1883					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53659	2900	1500	1000	600	850	1300	1800	1900	300	1842	450	175	250	2200	1050	988	1550	1950	2200	1200	2100	2500	2100	2300	1700	1800	1050	1690	1000	1500	270	210	850	185	340	1230	470	810	159	210	240	540	2550	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	33766	1684	1207	808	449	589	611	1110	1286	135	1348	296	129	227	1557	623	471	1014	1138	1266	717	1101	1381	1095	1230	1238	1284	593	965	633	792	178	176	513	120	186	841	322	530	149	145	148	415	1874	1192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4490	288	88	37	49	125	349	300	279	87	49	76	13	12	172	57	145	112	63	143	203	126	130	119	67	154	71	118	270	63	137	36	18	49	10	88	96	49	81	10	23	18	35	27	48					
6	Число погашенных избирательных бюллетеней	15403	928	205	155	102	136	340	390	335	78	445	78	33	11	471	370	372	424	749	791	280	873	989	886	1003	308	445	339	455	304	571	56	16	288	55	66	293	99	199	0	42	74	90	649	610					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4489	288	88	37	49	125	349	300	279	87	49	76	13	12	172	57	145	112	63	143	203	125	130	119	67	154	71	118	270	63	137	36	18	49	10	88	96	49	81	10	23	18	35	27	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33762	1684	1207	808	449	589	611	1108	1286	135	1348	296	129	227	1557	623	471	1013	1138	1266	717	1101	1380	1095	1230	1238	1284	593	965	633	792	178	176	513	120	186	841	322	530	149	145	148	415	1874	1192					
9	Число недействительных избирательных бюллетеней	589	20	24	15	7	15	2	18	12	2	21	3	2	56	27	18	9	14	12	14	6	20	20	21	28	11	18	16	20	4	19	0	5	7	1	7	1	6	0	0	4	12	7	45	20					
10	Число действительных избирательных бюллетеней	37662	1952	1271	830	491	699	958	1390	1553	220	1376	369	140	183	1702	662	607	1111	1189	1395	914	1206	1490	1193	1269	1381	1337	695	1215	692	910	214	189	555	129	267	936	365	611	159	164	154	443	1856	1220					
