Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
"Наименование Избирательной комиссии:    Махачкала, Ленинская"																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051					
1	"Число избирателей, внесенных в списки избирателей"	66430	1847	1879	1644	1486	2189	2102	1389	1951	1828	1331	1814	2648	1642	1391	1540	2124	1901	2316	2495	1654	1500	2272	2338	2192	1163	2177	2112	2438	2248	1739	1955	2490	713	1868	2054					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62558	1725	1788	1500	1379	2080	1997	1364	1731	1642	1151	1712	2516	1560	1321	1461	2025	1806	2158	2370	1570	1392	2357	2219	2084	1104	2050	2006	2316	2069	1652	1857	2363	675	1623	1935					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60363	1699	1734	1417	1302	2058	1988	1276	1515	1482	1125	1655	2516	1518	1307	1461	1985	1776	2093	2370	1365	1320	2099	2214	2044	1039	2050	1938	2262	2038	1566	1761	2272	645	1623	1850					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	422	0	2	60	58	22	9	6	95	30	26	57	0	0	0	0	0	0	14	0	5	4	15	5	0	1	0	5	0	3	0	0	1	0	0	4					
6	Число погашенных избирательных бюллетеней	1710	26	52	23	19	0	0	82	121	130	0	0	0	42	14	0	40	30	51	0	200	68	243	0	40	64	0	0	54	28	86	96	90	30	0	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	422	0	2	60	58	22	9	6	95	30	26	57	0	0	0	0	0	0	14	0	5	4	15	5	0	1	0	5	0	3	0	0	1	0	0	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60363	1699	1734	1417	1302	2058	1988	1276	1515	1482	1125	1655	2516	1518	1307	1461	1985	1776	2093	2370	1365	1320	2099	2214	2044	1039	2050	1938	2262	2038	1566	1761	2272	645	1623	1850					
9	Число недействительных избирательных бюллетеней	149	0	2	0	2	0	0	1	4	2	2	58	22	0	19	0	0	0	0	0	10	4	0	0	0	4	4	0	0	1	0	0	7	3	4	0					
10	Число действительных избирательных бюллетеней	60636	1699	1734	1477	1358	2080	1997	1281	1606	1510	1149	1654	2494	1518	1288	1461	1985	1776	2107	2370	1360	1320	2114	2219	2044	1036	2046	1943	2262	2040	1566	1761	2266	642	1619	1854					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1225	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	54	6	6	2	0	2	1	1	0	6	3	1	0	0	0	0	0	1	4	1	1	3	2	0	4	2	0	1	0	1	1	0	1	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	121	1	1	1	1	0	0	0	0	2	2	2	0	0	2	0	0	1	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	100	1					
14	Число погашенных неиспользованных открепительных удостоверений	1171	29	29	33	35	33	34	34	35	29	32	34	35	35	35	35	35	34	31	34	34	32	33	35	31	33	35	34	35	34	34	35	34	35	32	34					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	26	5	3	0	0	0	0	0	4	2	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0					
		0.04%	0.29%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.13%	0.00%	0.00%	0.00%	0.00%	0.08%	0.07%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	23	2	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0					
		0.04%	0.12%	0.00%	0.07%	0.00%	0.00%	0.25%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.28%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6630	165	172	162	145	233	219	151	176	179	131	185	343	152	130	168	216	218	211	261	136	201	230	235	225	109	235	172	244	225	156	194	248	9	189	205					
		10.91%	9.71%	9.91%	10.97%	10.66%	11.20%	10.97%	11.78%	10.93%	11.84%	11.38%	10.81%	13.63%	10.01%	9.95%	11.50%	10.88%	12.27%	10.01%	11.01%	9.93%	15.18%	10.88%	10.59%	11.01%	10.48%	11.46%	8.85%	10.79%	11.02%	9.96%	11.02%	10.91%	1.40%	11.65%	11.06%					
