Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Мясниковская - 150																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №1251	УИК №1252	УИК №1259	УИК №1260	УИК №1261	УИК №1262									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6916	1609	1543	774	1185	408	1397									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6550	1500	1500	750	1200	300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3470	1049	609	371	543	246	652									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	196	51	32	14	60	20	19									
6	Число погашенных избирательных бюллетеней	2884	400	859	365	597	34	629									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	196	51	32	14	60	20	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3470	1049	609	371	543	246	652									
9	Число недействительных избирательных бюллетеней	88	20	23	9	11	6	19									
10	Число действительных избирательных бюллетеней	3578	1080	618	376	592	260	652									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	40	40	30	30	28	28									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	22	6	10	2	2	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	1	0	2	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	174	34	30	28	28	28	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	2	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	49	9	15	3	7	3	12									
		1.34%	0.82%	2.34%	0.78%	1.16%	1.13%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	136	19	26	13	24	10	44									
		3.71%	1.73%	4.06%	3.38%	3.98%	3.76%	6.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	18	6	6	2	4	10									
		1.25%	1.64%	0.94%	1.56%	0.33%	1.50%	1.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2258	791	357	215	377	161	357									
		61.59%	71.91%	55.69%	55.84%	62.52%	60.53%	53.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	9	3	1	4	2	4									
		0.63%	0.82%	0.47%	0.26%	0.66%	0.75%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	3	0	1	0	1									
		0.16%	0.09%	0.47%	0.00%	0.17%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	423	102	89	49	58	29	96									
		11.54%	9.27%	13.88%	12.73%	9.62%	10.90%	14.31%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	7	5	6	6	4	1									
		0.79%	0.64%	0.78%	1.56%	0.99%	1.50%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	29	9	5	2	1	4	8									
		0.79%	0.82%	0.78%	0.52%	0.17%	1.50%	1.19%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	1	1	0									
		0.05%	0.00%	0.00%	0.00%	0.17%	0.38%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	6	5	8	1	1	3									
		0.65%	0.55%	0.78%	2.08%	0.17%	0.38%	0.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	463	84	84	60	98	35	102									
		12.63%	7.64%	13.10%	15.58%	16.25%	13.16%	15.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	3	3	1	0	1	1									
		0.25%	0.27%	0.47%	0.26%	0.00%	0.38%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	81	22	17	12	12	5	13									
		2.21%	2.00%	2.65%	3.12%	1.99%	1.88%	1.94%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
