Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Краснозерская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27749	217	972	747	270	519	979	108	582	130	103	517	527	53	564	472	244	67	356	101	2004	1996	2351	2157	156	532	367	40	301	958	367	683	39	705	514	805	251	60	68	887	522	748	38	114	255	529	181	59	67	760	863	518	326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28180	220	980	750	280	530	990	110	600	130	100	530	530	60	590	490	250	70	360	100	2030	2000	2400	2180	160	550	370	45	300	970	380	690	40	730	520	800	250	60	70	900	530	770	40	120	260	540	190	55	70	770	870	520	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11477	126	340	300	130	223	357	33	299	69	43	214	231	38	236	247	112	53	176	60	726	736	836	690	116	219	187	21	125	376	168	304	18	355	186	347	115	35	22	335	189	292	18	61	145	263	113	35	39	343	391	239	145									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1279	8	52	23	16	28	50	11	28	6	1	45	38	0	62	32	13	0	14	3	85	92	44	66	3	16	9	2	28	35	22	4	0	54	38	22	12	6	0	14	40	34	0	6	21	21	10	2	4	50	56	38	15									
6	Число погашенных избирательных бюллетеней	15424	86	588	427	134	279	583	66	273	55	56	271	261	22	292	211	125	17	170	37	1219	1172	1520	1424	41	315	174	22	147	559	190	382	22	321	296	431	123	19	48	551	301	444	22	53	94	256	67	18	27	377	423	243	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1279	8	52	23	16	28	50	11	28	6	1	45	38	0	62	32	13	0	14	3	85	92	44	66	3	16	9	2	28	35	22	4	0	54	38	22	12	6	0	14	40	34	0	6	21	21	10	2	4	50	56	38	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11477	126	340	300	130	223	357	33	299	69	43	214	231	38	236	247	112	53	176	60	726	736	836	690	116	219	187	21	125	376	168	304	18	355	186	347	115	35	22	335	189	292	18	61	145	263	113	35	39	343	391	239	145									
9	Число недействительных избирательных бюллетеней	396	0	24	7	4	4	11	0	2	1	1	7	13	0	4	14	5	0	10	0	25	25	40	28	1	9	2	0	5	11	7	9	0	7	5	4	2	1	1	13	6	9	0	0	2	11	5	1	1	16	20	19	4									
10	Число действительных избирательных бюллетеней	12360	134	368	316	142	247	396	44	325	74	43	252	256	38	294	265	120	53	180	63	786	803	840	728	118	226	194	23	148	400	183	299	18	402	219	365	125	40	21	336	223	317	18	67	164	273	118	36	42	377	427	258	156									
