Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618					
1	"Число избирателей, внесенных в списки"	98548	1338	1263	869	1078	1076	1427	1472	1274	1180	2101	2032	2612	2045	1311	1703	2743	1737	1953	1795	1510	2270	2486	2740	1975	1115	2616	2934	2104	2409	1937	1780	1877	1641	2060	2318	1503	2231	2293	1797	2636	1819	3026	2568	2428	1473	907	2516	2318	873	242	266	159	840	183	179	201	151	686	488	1984					
2	"Число бюллетеней, полученных участковыми комиссиями"	91842	1200	1100	800	1000	1000	1300	1300	1150	1100	2050	1800	2500	1900	1200	1500	2500	1650	1800	1700	1350	2050	2200	2500	1850	1900	2400	2750	1900	2200	1800	1650	1700	1500	1850	2150	1350	2050	2050	1550	2400	1400	2700	2400	2400	1350	900	2300	2150	800	300	280	180	900	190	180	210	300	700	500	2002					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	50894	703	765	493	451	611	770	829	594	666	1052	1028	1494	1246	638	853	1613	853	1003	834	690	1356	1008	1435	1104	1055	1253	1455	861	1011	939	946	1093	763	1154	1172	659	1123	1113	945	1373	977	1374	1168	1155	532	269	1205	988	275	131	151	119	629	136	131	197	104	416	432	1501					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4022	47	81	22	31	50	40	23	55	43	65	88	52	54	18	28	67	65	50	89	40	58	103	64	34	60	33	47	56	43	47	41	59	81	56	106	34	62	72	49	40	37	31	57	76	120	192	70	56	145	109	114	40	211	47	48	4	46	270	56	140					
6	Число погашенных бюллетеней	36899	450	254	285	518	339	490	448	501	391	933	684	954	600	544	619	820	732	747	777	620	636	1089	1001	712	785	1114	1248	983	1146	814	663	548	656	640	872	657	865	865	556	987	386	1295	1174	1169	698	439	1025	1106	380	60	15	21	60	7	1	9	150	14	12	335					
7	Число бюллетеней в переносных ящиках для голосования	4018	47	81	22	31	50	40	23	55	43	65	88	52	54	18	28	67	65	50	89	40	58	103	64	34	60	33	47	56	43	47	41	59	81	53	106	34	62	72	49	40	37	31	57	76	120	192	70	56	145	109	114	40	211	47	48	4	46	270	56	139					
8	Число бюллетеней в стационарных ящиках для голосования	50796	703	765	493	451	609	766	826	594	666	1052	1028	1482	1245	638	853	1610	853	996	834	690	1356	1000	1431	1104	1055	1253	1453	861	1010	936	946	1093	763	1154	1170	659	1123	1113	943	1373	977	1374	1168	1155	531	269	1168	956	275	131	151	119	629	136	131	197	104	415	432	1528					
9	Число недействительных бюллетеней	774	2	4	2	0	4	3	8	2	5	1	12	2	12	7	7	17	17	9	14	10	8	10	20	10	10	12	9	18	9	10	5	18	7	22	9	8	10	14	22	11	8	8	10	24	18	16	10	18	2	12	18	0	143	5	22	8	1	12	50	9					
10	Число действительных бюллетеней	54040	748	842	513	482	655	803	841	647	704	1116	1104	1532	1287	649	874	1660	901	1037	909	720	1406	1093	1475	1128	1105	1274	1491	899	1044	973	982	1134	837	1185	1267	685	1175	1171	970	1402	1006	1397	1215	1207	633	445	1228	994	418	228	247	159	697	178	157	193	149	673	438	1658					
