Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Уфа, Демская"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №3454	УИК №3455									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48281	1243	1717	1331	1167	1389	1150	1595	1558	1689	1283	1111	1275	1298	1355	1415	1643	1539	1754	1286	1453	1417	1482	1834	1403	1922	1550	1830	1779	1673	1509	230	1543	1858									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41680	1100	1500	1100	1000	1200	1000	1400	1400	1500	1150	1000	1100	1100	1200	1200	1400	1300	1500	1100	1200	1200	1200	1600	1200	1700	1300	1600	1500	1500	1300	230	1300	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27934	236	1172	712	671	861	473	1050	898	906	593	429	755	480	814	749	1048	932	1038	780	967	855	990	1262	852	1177	707	1100	1067	1215	919	172	948	1106									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1627	359	23	99	74	28	21	7	58	25	141	87	17	39	51	5	13	6	59	13	21	96	9	16	19	17	36	141	61	5	1	58	15	7									
6	Число погашенных избирательных бюллетеней	12119	505	305	289	255	311	506	343	444	569	416	484	328	581	335	446	339	362	403	307	212	249	201	322	329	506	557	359	372	280	380	0	337	487									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1623	359	23	99	74	28	17	7	58	25	141	87	17	39	51	5	13	6	59	13	21	96	9	16	19	17	36	141	61	5	1	58	15	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27921	236	1172	712	671	861	469	1050	898	906	593	429	755	480	814	749	1048	932	1038	780	967	855	981	1262	852	1177	707	1100	1067	1215	919	172	948	1106									
9	Число недействительных избирательных бюллетеней	244	9	18	5	5	0	16	0	4	1	19	14	0	22	11	7	13	0	0	4	1	4	40	3	2	9	7	8	0	0	0	6	1	15									
10	Число действительных избирательных бюллетеней	29300	586	1177	806	740	889	470	1057	952	930	715	502	772	497	854	747	1048	938	1097	789	987	947	950	1275	869	1185	736	1233	1128	1220	920	224	962	1098									
