Выборы Президента Российской Федерации																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Краснодар, Прикубанская"																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
1	"Число избирателей, внесенных в список"	176879	2736	3074	387	2074	2568	2018	2551	2712	2922	2867	2054	2035	3989	3098	2693	3618	3113	1815	3176	2898	2978	831	763	2213	2038	1760	2800	1191	1589	2818	2705	2964	2250	3578	2745	2476	2391	2744	2157	2335	2236	2273	2238	2050	2724	2230	2242	2161	2067	2306	1580	2697	2502	2581	2834	2858	4488	3812	3568	2616	2512	2949	2698	2153	1982	2207	2683	2612	2084	1235	2520	121	499	194	374	269					
2	Число полученных избирательных бюллетеней	162495	2650	2700	380	1800	2350	1800	2300	2400	2650	2650	1850	1900	3750	2750	2450	3000	2900	1650	2850	2750	2700	1200	700	1900	1900	1550	2550	1050	1450	2600	2600	2800	2050	3300	2600	2300	2200	2500	2000	2150	2050	2100	2100	1900	2600	2100	2100	2050	1950	2100	1400	2500	2300	2550	2650	2500	3750	3500	3000	2450	2300	2700	2450	2000	1900	2050	2450	2450	1950	1200	2300	100	471	192	375	327					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	105288	1928	1874	257	1027	1557	1075	1577	1325	1748	1710	1400	1172	2402	1744	1469	2030	1767	1112	2038	1642	1692	817	476	1399	1166	1150	1548	727	893	1763	1898	1694	1357	2433	2034	1571	1536	1749	1437	1528	1397	1326	1483	1266	1392	1305	1370	1248	1199	1313	982	1399	1441	1337	1585	1591	3115	2293	2055	1425	1319	1477	1465	1183	1003	1220	1550	1433	1391	812	1112	78	316	161	295	229					
5	"Число избирательных бюллетеней, выданных вне помещения"	3246	37	41	14	55	22	44	35	77	23	10	6	29	25	76	27	43	51	27	22	56	18	14	49	57	21	48	133	33	82	9	18	57	70	100	45	37	25	20	51	38	34	26	19	30	42	50	48	50	48	24	11	70	48	49	37	52	0	27	45	35	100	64	48	50	66	56	61	50	33	18	66	20	133	0	77	14					
6	Число погашенных избирательных бюллетеней	53961	685	785	109	718	771	681	688	998	879	930	444	699	1323	930	954	927	1082	511	790	1052	990	369	175	444	713	352	869	290	475	828	684	1049	623	767	521	692	639	731	512	584	619	748	598	604	1166	745	682	752	703	763	407	1031	811	1164	1028	857	635	1180	900	990	881	1159	937	767	831	774	839	967	526	370	1122	2	22	31	3	84					
7	Число избирательных бюллетеней в переносных ящиках	3246	37	41	14	55	22	44	35	77	23	10	6	29	25	76	27	43	51	27	22	56	18	14	49	57	21	48	133	33	82	9	18	57	70	100	45	37	25	20	51	38	34	26	19	30	42	50	48	50	48	24	11	70	48	49	37	52	0	27	45	35	100	64	48	50	66	56	61	50	33	18	66	20	133	0	77	14					
8	Число бюллетеней в стационарных ящиках для голосования	105089	1918	1874	257	1025	1557	1074	1577	1325	1748	1710	1398	1172	2402	1744	1469	2030	1767	1107	2035	1637	1692	817	476	1399	1166	1150	1548	727	893	1763	1898	1694	1357	2361	2034	1571	1536	1729	1437	1490	1397	1326	1481	1266	1392	1305	1370	1248	1199	1313	982	1399	1425	1335	1585	1591	3111	2290	2055	1425	1319	1473	1465	1183	1003	1214	1550	1431	1389	812	1112	78	316	161	295	229					
9	Число недействительных избирательных бюллетеней	729	2	5	5	11	9	10	6	16	9	5	6	7	15	13	13	14	18	12	10	19	14	8	4	8	11	23	12	3	7	6	6	16	12	10	11	6	4	8	5	10	10	6	16	10	8	10	4	5	11	6	4	12	7	10	16	13	4	13	11	9	4	14	15	7	11	18	16	16	6	3	12	2	2	1	28	0					
10	Число действительных избирательных бюллетеней	107606	1953	1910	266	1069	1570	1108	1606	1386	1762	1715	1398	1194	2412	1807	1483	2059	1800	1122	2047	1674	1696	823	521	1448	1176	1175	1669	757	968	1766	1910	1735	1415	2451	2068	1602	1557	1741	1483	1518	1421	1346	1484	1286	1426	1345	1414	1293	1236	1331	989	1457	1466	1374	1606	1630	3107	2304	2089	1451	1415	1523	1498	1226	1058	1252	1595	1465	1416	827	1166	96	447	160	344	243					
