Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Улетовская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
1	"Число избирателей, внесенных в список избирателей"	16049	154	585	135	113	734	311	1017	258	250	321	683	492	114	670	417	1966	2122	1082	757	438	535	2548	222	125					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16290	154	593	136	117	760	316	1025	260	257	332	693	497	117	682	425	1997	2140	1105	771	445	536	2585	225	122					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6933	94	256	80	88	419	125	415	158	96	139	289	254	63	296	224	827	924	440	314	194	200	906	80	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	552	13	11	13	0	25	32	51	2	8	20	36	38	10	13	23	49	46	17	40	11	10	60	20	4					
6	Число погашенных избирательных бюллетеней	8805	47	326	43	29	316	159	559	100	153	173	368	205	44	373	178	1121	1170	648	417	240	326	1619	125	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	552	13	11	13	0	25	32	51	2	8	20	36	38	10	13	23	49	46	17	40	11	10	60	20	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6925	94	256	80	88	419	125	415	158	96	139	289	254	63	296	224	827	922	434	314	194	200	906	80	52					
9	Число недействительных избирательных бюллетеней	109	0	3	2	4	14	1	5	0	1	1	2	2	1	3	1	7	23	8	9	4	7	10	1	0					
10	Число действительных избирательных бюллетеней	7368	107	264	91	84	430	156	461	160	103	158	323	290	72	306	246	869	945	443	345	201	203	956	99	56					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	10	10	10	10	20	10	20	10	10	20	20	20	10	10	20	25	25	19	10	10	20	30	10	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	92	0	0	0	0	0	3	2	0	1	1	4	3	1	7	7	16	13	4	8	2	2	13	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	2	2	1	0	0	0	1	1	0	2	2	3	0	3	3	9	17	1	3	0	3	7	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	278	10	10	10	10	20	7	18	10	9	19	16	17	9	3	13	9	12	15	2	8	18	17	7	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1051	11	26	13	12	63	19	77	13	6	29	37	46	4	45	32	122	147	45	30	34	44	176	13	7					
		14.06%	10.28%	9.74%	13.98%	13.64%	14.19%	12.10%	16.52%	8.13%	5.77%	18.24%	11.38%	15.75%	5.48%	14.56%	12.96%	13.93%	15.19%	9.98%	8.47%	16.59%	20.95%	18.22%	13.00%	12.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1366	15	32	17	30	106	31	83	25	15	28	40	45	8	75	38	141	150	110	62	38	37	205	21	14					
