Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Бичурская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18229	953	840	999	638	641	541	1290	1303	607	232	232	229	672	101	838	124	288	312	59	343	303	101	484	221	449	171	135	400	1013	389	341	466	330	730	213	337	625	279									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15700	850	700	900	550	550	450	1100	1100	550	200	225	200	600	100	700	100	250	250	50	300	275	75	450	175	375	150	100	350	850	350	300	400	275	600	200	300	500	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5612	269	177	246	135	162	115	300	288	156	68	83	80	210	62	212	73	168	87	28	130	105	48	136	81	166	47	68	139	222	106	73	213	137	301	148	188	164	221									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1055	26	21	33	52	28	55	48	63	41	10	11	17	50	3	60	9	19	18	3	28	10	7	30	16	20	9	16	59	59	25	26	46	22	38	12	28	28	9									
6	Число погашенных избирательных бюллетеней	9033	555	502	621	363	360	280	752	749	353	122	131	103	340	35	428	18	63	145	19	142	160	20	284	78	189	94	16	152	569	219	201	141	116	261	40	84	308	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1055	26	21	33	52	28	55	48	63	41	10	11	17	50	3	60	9	19	18	3	28	10	7	30	16	20	9	16	59	59	25	26	46	22	38	12	28	28	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5612	269	177	246	135	162	115	300	288	156	68	83	80	210	62	212	73	168	87	28	130	105	48	136	81	166	47	68	139	222	106	73	213	137	301	148	188	164	221									
9	Число недействительных избирательных бюллетеней	146	11	10	2	8	5	6	7	13	8	2	1	2	6	0	7	0	1	2	0	1	3	1	2	5	5	3	0	7	5	3	3	3	1	7	1	0	5	0									
10	Число действительных избирательных бюллетеней	6521	284	188	277	179	185	164	341	338	189	76	93	95	254	65	265	82	186	103	31	157	112	54	164	92	181	53	84	191	276	128	96	256	158	332	159	216	187	230									
