Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Цимлянская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28792	1543	1834	948	961	1794	1632	1418	1578	487	529	935	599	358	2506	1796	541	415	1480	471	157	785	178	244	680	772	349	184	1375	646	1209	388									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24427	1300	1500	800	800	1500	1400	1200	1300	400	450	800	500	300	2200	1600	450	350	1300	400	157	700	188	200	550	650	300	182	1100	500	1000	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10660	679	800	394	411	665	621	583	515	228	184	272	175	134	840	633	207	183	543	146	62	241	49	100	236	354	114	89	391	158	505	148									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1008	79	40	17	10	49	25	12	39	4	19	103	18	15	45	84	20	8	39	11	18	46	19	6	52	12	27	5	109	14	35	28									
6	Число погашенных избирательных бюллетеней	12759	542	660	389	379	786	754	605	746	168	247	425	307	151	1315	883	223	159	718	243	77	413	120	94	262	284	159	88	600	328	460	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1008	79	40	17	10	49	25	12	39	4	19	103	18	15	45	84	20	8	39	11	18	46	19	6	52	12	27	5	109	14	35	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10656	677	800	394	411	665	621	583	515	228	184	272	175	134	838	633	207	183	543	146	62	241	49	100	236	354	114	89	391	158	505	148									
9	Число недействительных избирательных бюллетеней	366	19	33	18	9	17	23	21	18	9	7	12	4	5	20	20	6	10	26	8	0	7	3	7	7	10	10	3	12	6	16	0									
10	Число действительных избирательных бюллетеней	11298	737	807	393	412	697	623	574	536	223	196	363	189	144	863	697	221	181	556	149	80	280	65	99	281	356	131	91	488	166	524	176									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	30	30	20	15	25	25	30	30	10	10	15	10	10	30	20	5	5	15	5	5	10	5	5	10	10	5	5	20	10	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	130	8	17	6	3	10	10	6	9	0	5	9	0	0	2	7	5	2	7	1	0	0	3	1	4	10	1	2	0	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	124	7	5	4	0	6	4	2	5	5	5	5	5	3	9	3	8	2	0	2	1	7	6	1	8	1	4	4	6	1	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	320	22	13	14	12	15	15	24	21	10	5	6	10	10	28	13	0	3	8	4	5	10	2	4	6	0	4	3	20	9	19	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	1	3	1	2	5	1	2	1	4	0	0	0	0	0	1	1	0	0	0	0	1	1	0	9	1	1	0	4	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	186	22	10	5	11	16	10	12	5	5	1	2	2	1	12	10	2	2	11	3	2	3	1	1	5	5	2	2	7	4	12	0									
		1.59%	2.91%	1.19%	1.22%	2.61%	2.24%	1.55%	2.02%	0.90%	2.16%	0.49%	0.53%	1.04%	0.67%	1.36%	1.39%	0.88%	1.05%	1.89%	1.91%	2.50%	1.05%	1.47%	0.94%	1.74%	1.37%	1.42%	2.13%	1.40%	2.33%	2.22%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	382	27	27	14	12	22	28	8	24	12	7	13	7	3	26	25	6	9	16	3	2	5	0	2	7	9	8	3	21	10	21	5									
		3.28%	3.57%	3.21%	3.41%	2.85%	3.08%	4.33%	1.34%	4.33%	5.17%	3.45%	3.47%	3.63%	2.01%	2.94%	3.49%	2.64%	4.71%	2.75%	1.91%	2.50%	1.74%	0.00%	1.89%	2.43%	2.46%	5.67%	3.19%	4.20%	5.81%	3.89%	2.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	232	24	18	7	8	19	14	12	10	5	2	17	2	4	13	11	2	5	6	0	2	11	0	1	6	7	0	0	10	2	9	5									
		1.99%	3.17%	2.14%	1.70%	1.90%	2.66%	2.17%	2.02%	1.81%	2.16%	0.99%	4.53%	1.04%	2.68%	1.47%	1.53%	0.88%	2.62%	1.03%	0.00%	2.50%	3.83%	0.00%	0.94%	2.08%	1.91%	0.00%	0.00%	2.00%	1.16%	1.67%	2.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5014	260	325	149	171	259	245	220	223	85	81	167	102	88	376	316	114	87	287	71	45	148	32	49	151	175	63	46	251	77	262	89									
		42.99%	34.39%	38.69%	36.25%	40.62%	36.27%	37.93%	36.97%	40.25%	36.64%	39.90%	44.53%	52.85%	59.06%	42.58%	44.07%	50.22%	45.55%	49.31%	45.22%	56.25%	51.57%	47.06%	46.23%	52.43%	47.81%	44.68%	48.94%	50.20%	44.77%	48.52%	50.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	5	10	7	2	9	10	3	0	0	1	1	1	0	5	6	1	2	7	0	0	0	0	0	1	2	2	0	3	1	0	1									
