Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Муслюмовская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027					
1	"Число избирателей, внесенных в список избирателей"	16875	855	842	967	1065	1014	1149	448	262	369	405	146	369	229	292	509	175	226	160	237	596	538	440	557	328	311	235	377	423	296	223	905	679	345	387	451	65					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16940	866	842	968	1067	1014	1160	451	262	372	406	146	369	232	293	513	175	226	162	241	602	538	440	557	326	312	235	377	420	298	223	918	679	347	386	451	66					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16392	801	780	922	1015	984	1118	442	245	369	405	146	366	219	292	502	175	224	158	229	590	525	421	545	326	311	234	362	373	289	218	894	669	345	386	447	65					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	335	41	53	26	37	9	17	6	17	0	0	0	3	9	0	0	0	0	0	6	6	10	14	5	0	0	0	10	47	6	5	4	0	0	0	4	0					
6	Число погашенных избирательных бюллетеней	213	24	9	20	15	21	25	3	0	3	1	0	0	4	1	11	0	2	4	6	6	3	5	7	0	1	1	5	0	3	0	20	10	2	0	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	335	41	53	26	37	9	17	6	17	0	0	0	3	9	0	0	0	0	0	6	6	10	14	5	0	0	0	10	47	6	5	4	0	0	0	4	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16392	801	780	922	1015	984	1118	442	245	369	405	146	366	219	292	502	175	224	158	229	590	525	421	545	326	311	234	362	373	289	218	894	669	345	386	447	65					
9	Число недействительных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	16716	842	833	948	1052	993	1135	448	262	369	404	146	369	228	292	501	175	224	158	235	596	535	435	550	326	311	234	372	420	293	223	891	669	345	386	451	65					
