Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																											
Дата голосования: 02.12.2007																																											
																																											
Наименование Избирательной комиссии:    Муслюмовская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046					
1	"Число избирателей, внесенных в списки избирателей"	15561	473	938	821	983	899	707	394	266	365	400	146	352	234	313	496	159	197	165	217	580	499	403	582	291	309	222	405	433	301	206	895	642	339	417	437	75					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15401	445	916	804	953	821	672	393	268	367	400	151	352	239	313	499	163	201	169	221	580	495	406	580	291	312	227	406	431	306	209	895	643	344	417	437	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14804	417	823	787	918	806	645	388	245	361	380	146	346	224	312	493	159	197	165	212	484	489	388	567	288	309	222	378	362	296	201	895	642	339	417	428	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	490	28	54	17	35	15	27	5	21	4	20	0	6	10	0	0	0	0	0	5	96	6	15	12	3	0	0	26	69	5	5	0	0	0	0	6	0					
6	Число погашенных избирательных бюллетеней	107	0	39	0	0	0	0	0	2	2	0	5	0	5	1	6	4	4	4	4	0	0	3	1	0	3	5	2	0	5	3	0	1	5	0	3	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	490	28	54	17	35	15	27	5	21	4	20	0	6	10	0	0	0	0	0	5	96	6	15	12	3	0	0	26	69	5	5	0	0	0	0	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14804	417	823	787	918	806	645	388	245	361	380	146	346	224	312	493	159	197	165	212	484	489	388	567	288	309	222	378	362	296	201	895	642	339	417	428	75					
9	Число недействительных избирательных бюллетеней	51	1	5	0	1	1	0	1	1	5	0	0	5	0	0	1	1	0	4	7	0	0	6	0	0	0	0	2	0	0	0	10	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	15243	444	872	804	952	820	672	392	265	360	400	146	347	234	312	492	158	197	161	210	580	495	397	579	291	309	222	402	431	301	206	885	642	339	417	434	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	350	30	30	31	35	31	30	5	5	5	15	5	5	5	5	5	5	5	5	5	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	350	30	30	31	35	31	30	5	5	5	15	5	5	5	5	5	5	5	5	5	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
