Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Среднеахтубинская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3751	УИК №3752	УИК №3753	УИК №3754	УИК №3755	УИК №3756									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42914	1370	1633	1765	1807	1116	1342	1163	915	434	429	1089	1198	1481	1264	800	645	1413	1640	1390	323	833	374	304	638	695	165	779	405	564	375	210	288	219	1543	484	354	561	352	365	316	504	320	227	1031	731	595	239	1795	450	511	147	1057	897	906	302	161									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42300	1200	1400	1700	1700	1000	1200	1200	900	400	400	1200	1200	1500	1300	900	600	1400	1600	1300	300	800	200	300	700	700	200	800	400	500	400	200	300	200	1600	500	400	600	300	300	300	500	400	300	1000	700	700	300	1900	400	600	200	1000	900	900	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14707	399	445	522	526	286	382	380	308	133	171	377	412	466	546	310	228	462	575	476	115	368	177	140	200	250	74	284	101	166	113	54	123	112	806	205	95	218	107	97	86	152	116	119	361	228	181	51	768	167	161	59	351	209	321	109	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1783	11	64	114	102	27	25	31	67	40	51	23	19	27	12	16	51	29	42	30	20	47	9	36	14	10	11	32	37	17	8	21	7	12	23	25	59	8	8	15	17	55	25	5	34	26	44	72	33	50	78	34	32	18	42	11	7									
6	Число погашенных избирательных бюллетеней	25810	790	891	1064	1072	687	793	789	525	227	178	800	769	1007	742	574	321	909	983	794	165	385	14	124	486	440	115	484	262	317	279	125	170	76	771	270	246	374	185	188	197	293	259	176	605	446	475	177	1099	183	361	107	617	673	537	180	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1783	11	64	114	102	27	25	31	67	40	51	23	19	27	12	16	51	29	42	30	20	47	9	36	14	10	11	32	37	17	8	21	7	12	23	25	59	8	8	15	17	55	25	5	34	26	44	72	33	50	78	34	32	18	42	11	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14703	399	445	522	526	286	382	380	308	133	171	377	412	466	546	310	228	462	575	476	115	368	177	140	200	250	74	283	101	166	113	54	123	112	803	205	95	218	107	97	86	152	116	119	361	228	181	51	768	167	161	59	351	209	321	109	59									
9	Число недействительных избирательных бюллетеней	258	5	7	17	7	3	2	7	4	3	5	13	6	10	5	6	6	1	13	3	2	8	1	6	2	8	2	3	0	5	1	2	6	4	18	3	1	4	1	2	3	0	0	3	5	2	1	1	15	3	2	4	4	7	1	4	1									
10	Число действительных избирательных бюллетеней	16228	405	502	619	621	310	405	404	371	170	217	387	425	483	553	320	273	490	604	503	133	407	185	170	212	252	83	312	138	178	120	73	124	120	808	227	153	222	114	110	100	207	141	121	390	252	224	122	786	214	237	89	379	220	362	116	65									
