Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    территориальная избирательная комиссия Киржачского района																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в списки избирателей"	35499	462	1145	1179	873	1108	1166	1271	1301	564	1473	2776	2790	2514	1332	2403	1373	690	369	934	485	389	522	539	536	522	732	1074	412	847	1325	951	244	1198					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27420	350	870	910	660	860	940	940	1030	430	1140	2190	2230	1980	1020	1860	1020	520	300	680	340	290	380	410	400	380	570	830	310	670	1050	750	190	920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16881	218	530	580	412	597	608	612	568	268	717	1249	1188	1190	600	1279	638	366	140	420	231	185	159	255	135	263	348	506	187	434	697	564	186	551					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1570	9	37	31	57	37	35	51	46	25	66	54	45	5	11	28	34	30	46	65	39	65	154	66	98	56	115	87	57	40	44	15	2	20					
6	Число погашенных избирательных бюллетеней	8969	123	303	299	191	226	297	277	416	137	357	887	997	785	409	553	348	124	114	195	70	40	67	89	167	61	107	237	66	196	309	171	2	349					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1570	9	37	31	57	37	35	51	46	25	66	54	45	5	11	28	34	30	46	65	39	65	154	66	98	56	115	87	57	40	44	15	2	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16861	218	530	580	412	587	608	612	568	268	717	1249	1188	1187	600	1275	636	365	140	420	231	185	159	255	135	263	348	506	187	434	697	564	186	551					
9	Число недействительных избирательных бюллетеней	233	4	10	6	5	7	9	4	9	1	6	30	14	8	6	19	11	3	4	10	3	5	3	5	3	6	3	6	2	5	10	4	5	7					
10	Число действительных избирательных бюллетеней	18198	223	557	605	464	617	634	659	605	292	777	1273	1219	1184	605	1284	659	392	182	475	267	245	310	316	230	313	460	587	242	469	731	575	183	564					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	455	10	15	10	10	10	10	10	10	10	15	25	40	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	248	4	11	8	6	7	7	7	10	0	13	20	35	12	10	13	6	6	1	10	2	1	2	1	5	2	3	1	1	16	7	18	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	170	10	7	5	6	2	7	3	6	0	11	3	5	4	4	5	8	1	2	4	5	14	2	3	5	4	10	7	0	9	7	7	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	207	6	4	2	4	3	3	3	0	10	2	5	5	8	10	7	14	4	9	0	8	9	8	9	5	8	7	9	9	4	3	2	20	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	1	1	2	0	4	0	0	0	1	1	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	566	5	16	14	27	24	36	16	16	9	21	41	29	30	20	50	17	9	16	17	10	8	12	5	6	9	13	20	3	16	19	15	4	13					
		3.07%	2.20%	2.82%	2.29%	5.76%	3.85%	5.60%	2.41%	2.61%	3.07%	2.68%	3.15%	2.35%	2.52%	3.27%	3.84%	2.54%	2.28%	8.60%	3.51%	3.70%	3.20%	3.83%	1.56%	2.58%	2.82%	2.81%	3.37%	1.23%	3.38%	2.56%	2.59%	2.13%	2.28%					
19	2.Всероссийская политическая партия «Гражданская Сила»	111	1	2	4	1	5	7	5	5	1	6	10	15	5	8	6	6	5	0	0	0	1	0	1	0	1	1	1	0	3	5	3	0	3					
		0.60%	0.44%	0.35%	0.65%	0.21%	0.80%	1.09%	0.75%	0.81%	0.34%	0.77%	0.77%	1.22%	0.42%	1.31%	0.46%	0.90%	1.27%	0.00%	0.00%	0.00%	0.40%	0.00%	0.31%	0.00%	0.31%	0.22%	0.17%	0.00%	0.63%	0.67%	0.52%	0.00%	0.53%					
20	3.Политическая партия «Демократическая партия России»	15	1	0	0	0	0	1	1	0	1	0	2	0	0	2	1	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	1	0	0					
		0.08%	0.44%	0.00%	0.00%	0.00%	0.00%	0.16%	0.15%	0.00%	0.34%	0.00%	0.15%	0.00%	0.00%	0.33%	0.08%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.62%	0.00%	0.31%	0.00%	0.00%	0.41%	0.00%	0.00%	0.17%	0.00%	0.00%					
