Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Оленекская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2320	1138	399	612	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2662	1290	505	681	186									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	389	82	22	285	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1495	831	253	243	168									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	88	37	37	11	3									
6	Число погашенных избирательных бюллетеней	690	340	193	142	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	477	119	59	296	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1495	831	253	243	168									
9	Число недействительных избирательных бюллетеней	21	9	4	8	0									
10	Число действительных избирательных бюллетеней	1951	941	308	531	171									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	55	35	15	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	55	35	15	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	35	5	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	195	103	39	42	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	9	1	16	4									
		1.52%	0.95%	0.32%	2.97%	2.34%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	64	21	15	24	4									
		3.25%	2.21%	4.81%	4.45%	2.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	29	12	7	8	2									
		1.47%	1.26%	2.24%	1.48%	1.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1141	598	203	250	90									
		57.86%	62.95%	65.06%	46.38%	52.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	6	0	6	0									
		0.61%	0.63%	0.00%	1.11%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	5	0									
		0.30%	0.00%	0.32%	0.93%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	43	22	5	15	1									
		2.18%	2.32%	1.60%	2.78%	0.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	2	0	1	0									
		0.15%	0.21%	0.00%	0.19%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	10	3	0	7	0									
		0.51%	0.32%	0.00%	1.30%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	2	2	0									
		0.20%	0.00%	0.64%	0.37%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	6	1	2	1									
		0.51%	0.63%	0.32%	0.37%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	332	169	42	80	41									
		16.84%	17.79%	13.46%	14.84%	23.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	2	2	0	1									
		0.25%	0.21%	0.64%	0.00%	0.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	262	91	29	115	27									
		13.29%	9.58%	9.29%	21.34%	15.79%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
