Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Минераловодская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788					
1	"Число избирателей, внесенных в списки избирателей"	97510	896	1373	1695	1687	1435	1157	1981	2694	2505	1370	2219	2488	1726	1305	2264	2129	1759	1925	2249	2055	2421	2500	1530	1566	1804	1213	1637	1953	1257	534	2472	2117	2206	1945	979	2035	609	306	1082	707	1741	346	243	722	608	1824	943	1735	1779	2161	1340	2372	338	1932	2710	190	1336	1352	862	1373	1520	438	100	101	649	695	315					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	99845	900	1400	1650	1700	1400	1150	2000	2700	2500	1400	2200	2450	1700	1300	2250	2200	1800	1900	2250	2100	2350	2800	1500	1550	1600	1200	1600	1900	1250	500	2550	2150	2200	1950	1000	2100	600	350	1050	700	1700	350	250	1100	800	2050	1050	1700	1800	2200	1350	2450	350	2050	2750	170	1500	1550	1000	1450	1700	500	125	150	750	750	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	58046	838	849	699	1047	1005	750	1300	1780	1051	928	1568	1226	1131	900	1103	1503	1214	1565	1422	1219	1633	1806	1140	956	1213	529	1036	1392	903	312	1266	1390	1474	1299	633	1328	231	170	536	316	877	163	187	631	450	908	471	856	782	1382	633	1594	210	848	771	138	509	843	476	703	694	228	88	90	304	385	164					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4227	58	44	29	93	44	62	47	73	33	33	127	43	129	15	40	40	93	36	28	73	24	11	38	60	55	45	70	60	63	83	85	90	71	63	53	97	7	32	12	63	67	45	17	91	38	84	59	77	121	132	43	68	17	123	69	7	213	170	120	60	147	36	6	3	90	57	45					
6	Число погашенных избирательных бюллетеней	37572	4	507	922	560	351	338	653	847	1416	439	505	1181	440	385	1107	657	493	299	800	808	693	983	322	534	332	626	494	448	284	105	1199	670	655	588	314	675	362	148	502	321	756	142	46	378	312	1058	520	767	897	686	674	788	123	1079	1910	25	778	537	404	687	859	236	31	57	356	308	191					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4227	58	44	29	93	44	62	47	73	33	33	127	43	129	15	40	40	93	36	28	73	24	11	38	60	55	45	70	60	63	83	85	90	71	63	53	97	7	32	12	63	67	45	17	91	38	84	59	77	121	132	43	68	17	123	69	7	213	170	120	60	147	36	6	3	90	57	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58013	838	849	699	1047	1005	750	1300	1780	1049	928	1568	1226	1131	900	1103	1503	1214	1558	1422	1219	1621	1806	1140	956	1213	528	1036	1392	903	312	1266	1390	1474	1299	633	1328	231	170	536	316	877	163	187	631	450	907	471	846	782	1382	633	1594	210	848	771	138	509	843	476	703	694	228	88	90	304	385	164					
9	Число недействительных избирательных бюллетеней	497	5	5	8	5	8	0	10	11	7	11	3	20	1	0	5	17	7	13	11	4	18	7	8	4	9	7	7	12	7	3	11	30	17	14	4	2	0	1	5	5	12	1	3	5	9	14	6	0	43	11	8	7	1	7	10	0	4	7	2	7	7	1	3	0	1	3	3					
10	Число действительных избирательных бюллетеней	61743	891	888	720	1135	1041	812	1337	1842	1075	950	1692	1249	1259	915	1138	1526	1300	1581	1439	1288	1627	1810	1170	1012	1259	566	1099	1440	959	392	1340	1450	1528	1348	682	1423	238	201	543	374	932	207	201	717	479	977	524	923	860	1503	668	1655	226	964	830	145	718	1006	594	756	834	263	91	93	393	439	206					
