Выборы Президента Российской Федерации																																	
																																	
"Наименование Избирательной комиссии:    Тверь, Центральная"																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1193	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1214					
1	"Число избирателей, внесенных в список"	49432	2562	2561	2325	1004	1557	1798	1853	1743	2143	2292	2052	1966	2396	2228	2366	2168	2155	2694	2189	1888	2617	2746	1969	48	56	56					
2	Число полученных избирательных бюллетеней	49396	2540	2540	2310	1015	1540	1790	1840	1750	2130	2260	2050	1950	2390	2260	2380	2170	2160	2720	2190	1880	2640	2755	1970	48	63	55					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23868	1255	1217	948	497	800	849	999	869	1019	1067	1037	881	1126	1025	1199	1144	967	1342	1079	1028	1156	1260	1006	19	36	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	610	17	12	32	21	26	42	21	20	24	31	20	27	33	18	30	20	22	10	10	22	44	27	26	29	17	9					
6	Число погашенных избирательных бюллетеней	24918	1268	1311	1330	497	714	899	820	861	1087	1162	993	1042	1231	1217	1151	1006	1171	1368	1101	830	1440	1468	938	0	10	3					
7	Число избирательных бюллетеней в переносных ящиках	610	17	12	32	21	26	42	21	20	24	31	20	27	33	18	30	20	22	10	10	22	44	27	26	29	17	9					
8	Число бюллетеней в стационарных ящиках для голосования	23819	1254	1216	947	497	798	849	997	869	1019	1067	1034	881	1094	1025	1199	1144	967	1340	1076	1027	1155	1260	1006	19	36	43					
9	Число недействительных избирательных бюллетеней	90	3	4	3	1	1	4	2	4	3	3	4	4	5	8	9	8	3	7	3	3	1	4	3	0	0	0					
10	Число действительных избирательных бюллетеней	24339	1268	1224	976	517	823	887	1016	885	1040	1095	1050	904	1122	1035	1220	1156	986	1343	1083	1046	1198	1283	1029	48	53	52					
11	Число полученных открепительных  удостоверений	1600	100	60	70	40	60	60	60	60	50	50	60	170	70	150	70	60	60	60	50	70	70	60	40	0	0	0					
12	Число выданных открепительных удостоверений	409	16	12	13	9	18	18	17	17	12	9	14	15	14	52	25	13	14	27	13	14	28	19	20	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	422	19	28	11	5	27	14	23	13	12	9	22	20	8	15	14	16	16	20	6	10	6	16	8	36	37	11					
14	Число неиспользованных открепительных удостоверений	1191	84	48	57	31	42	42	43	43	38	41	46	155	56	98	45	47	46	33	37	56	42	41	20	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	56	1	8	2	1	2	2	1	3	1	2	2	2	2	3	4	4	5	2	0	2	1	5	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1549	93	69	68	32	44	51	89	67	73	61	66	43	78	58	74	71	49	99	70	82	51	81	73	6	1	0					
		6.34%	7.32%	5.62%	6.95%	6.18%	5.34%	5.72%	8.74%	7.54%	7.00%	5.56%	6.26%	4.74%	6.92%	5.56%	6.02%	6.10%	4.95%	7.33%	6.45%	7.82%	4.25%	6.29%	7.07%	12.50%	1.89%	0.00%					
19	. Малышкин Олег Александрович	287	21	15	20	5	9	8	5	13	4	13	11	14	14	12	21	11	18	8	11	11	13	18	10	1	0	1					
		1.17%	1.65%	1.22%	2.04%	0.97%	1.09%	0.90%	0.49%	1.46%	0.38%	1.18%	1.04%	1.54%	1.24%	1.15%	1.71%	0.95%	1.82%	0.59%	1.01%	1.05%	1.08%	1.40%	0.97%	2.08%	0.00%	1.92%					
20	. Миронов Сергей Михайлович	158	7	14	4	4	8	2	5	4	14	8	4	3	11	9	3	10	5	10	3	9	7	9	5	0	0	0					
		0.65%	0.55%	1.14%	0.41%	0.77%	0.97%	0.22%	0.49%	0.45%	1.34%	0.73%	0.38%	0.33%	0.98%	0.86%	0.24%	0.86%	0.51%	0.74%	0.28%	0.86%	0.58%	0.70%	0.48%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	15807	790	849	584	329	512	558	621	560	663	671	698	628	740	716	805	775	632	882	721	673	769	876	635	35	42	43					
		64.71%	62.16%	69.14%	59.65%	63.51%	62.14%	62.63%	61.00%	62.99%	63.57%	61.11%	66.22%	69.16%	65.66%	68.65%	65.50%	66.58%	63.90%	65.33%	66.39%	64.16%	64.14%	68.07%	61.53%	72.92%	79.25%	82.69%					
22	. Хакамада Ирина Муцуовна	1997	113	88	98	54	99	91	107	76	115	104	70	63	92	59	85	70	74	107	94	87	89	74	85	0	1	2					
		8.17%	8.89%	7.17%	10.01%	10.42%	12.01%	10.21%	10.51%	8.55%	11.03%	9.47%	6.64%	6.94%	8.16%	5.66%	6.92%	6.01%	7.48%	7.93%	8.66%	8.29%	7.42%	5.75%	8.24%	0.00%	1.89%	3.85%					
23	. Харитонов Николай Михайлович	3324	169	139	145	72	101	118	144	110	115	183	143	123	143	121	170	173	160	169	125	128	227	165	174	6	1	0					
		13.61%	13.30%	11.32%	14.81%	13.90%	12.26%	13.24%	14.15%	12.37%	11.03%	16.67%	13.57%	13.55%	12.69%	11.60%	13.83%	14.86%	16.18%	12.52%	11.51%	12.20%	18.93%	12.82%	16.86%	12.50%	1.89%	0.00%					
																																	
24	Против всех	1217	75	50	57	21	50	59	45	55	56	55	58	30	44	60	62	46	48	68	59	56	42	60	47	0	8	6					
		4.98%	5.90%	4.07%	5.82%	4.05%	6.07%	6.62%	4.42%	6.19%	5.37%	5.01%	5.50%	3.30%	3.90%	5.75%	5.04%	3.95%	4.85%	5.04%	5.43%	5.34%	3.50%	4.66%	4.55%	0.00%	15.09%	11.54%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
