Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																															
Дата голосования: 02.12.2007																																																																															
																																																																															
Наименование Избирательной комиссии:    Коломенская городская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942					
1	"Число избирателей, внесенных в списки избирателей"	125377	1985	1084	1247	1614	1396	2664	2359	1677	2805	1207	2111	1565	1301	2012	1518	1712	1645	2313	1983	1079	786	1042	2189	1813	2409	1035	2560	1462	2092	2053	2116	2431	2717	1461	2815	1719	2041	1497	1527	1690	1940	2096	1753	1677	2244	1850	1828	1002	2426	2407	1193	2542	1459	2325	2006	2319	2453	2772	2002	1455	2125	1064	327	133	230	51	77	70	1381	2586	2641	2211					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	120413	1750	1000	1100	1400	1490	2500	2300	1500	2700	1200	2000	1500	1200	1900	1300	1600	1600	2200	1800	1000	700	1000	2100	1700	2300	1000	2500	1400	2000	2000	2000	2400	2600	1400	2700	1700	2000	1400	1500	1600	1900	2000	1700	1600	2100	1800	1800	900	2400	2400	1900	2200	1400	2300	2000	2300	2200	2750	1900	1450	2100	900	240	140	200	51	70	72	1300	2500	2600	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	67257	1433	576	669	875	484	1671	1367	729	1535	640	1060	847	733	1045	729	1008	757	1275	1063	537	393	488	1120	847	1268	529	1410	738	1023	1091	1065	1354	1381	936	1569	869	1014	794	908	831	1055	1214	956	838	1203	927	940	516	1267	1261	1088	1345	744	1279	1031	1220	1170	1795	1096	885	1057	477	225	131	200	51	0	68	701	1306	1352	1198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3945	118	33	58	59	533	61	29	48	66	123	72	39	37	58	67	53	32	64	23	30	48	23	36	21	43	24	60	64	72	66	54	33	48	16	31	72	85	58	35	90	46	23	44	51	65	56	48	28	39	23	38	28	29	49	27	103	117	40	70	51	59	98	0	0	0	0	68	0	26	23	74	40					
6	Число погашенных избирательных бюллетеней	49211	199	391	373	466	473	768	904	723	1099	437	868	614	430	797	504	539	811	861	714	433	259	489	944	832	989	447	1030	598	905	843	881	1013	1171	448	1100	759	901	548	557	679	799	763	700	711	832	817	812	356	1094	1116	774	827	627	972	942	977	913	915	734	514	984	325	15	9	0	0	2	4	573	1171	1174	962					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3945	118	33	58	59	533	61	29	48	66	123	72	39	37	58	67	53	32	64	23	30	48	23	36	21	43	24	60	64	72	66	54	33	48	16	31	72	85	58	35	90	46	23	44	51	65	56	48	28	39	23	38	28	29	49	27	103	117	40	70	51	59	98	0	0	0	0	68	0	26	23	74	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	67215	1433	576	669	873	484	1671	1367	729	1533	640	1060	847	733	1045	729	1008	757	1274	1063	536	393	488	1120	847	1268	528	1410	738	1023	1091	1063	1352	1381	936	1567	865	1014	794	908	831	1055	1214	956	838	1203	923	938	516	1267	1261	1088	1345	744	1278	1031	1220	1170	1791	1083	885	1057	477	225	131	200	51	0	68	701	1306	1352	1197					
9	Число недействительных избирательных бюллетеней	860	21	7	8	15	38	48	12	5	13	10	15	6	6	12	7	11	12	19	16	6	5	9	8	8	15	10	22	4	14	23	16	11	15	11	26	8	11	8	21	12	7	12	14	9	10	10	5	7	24	9	13	14	12	15	5	21	17	20	10	7	15	0	1	1	2	0	1	0	13	16	14	12					
10	Число действительных избирательных бюллетеней	70300	1530	602	719	917	979	1684	1384	772	1586	753	1117	880	764	1091	789	1050	777	1319	1070	560	436	502	1148	860	1296	542	1448	798	1081	1134	1101	1374	1414	941	1572	929	1088	844	922	909	1094	1225	986	880	1258	969	981	537	1282	1275	1113	1359	761	1312	1053	1302	1270	1811	1143	929	1101	575	224	130	198	51	67	68	714	1313	1412	1225					
