Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																
Дата голосования: 04.12.2011																																																																																
																																																																																
Наименование Избирательной комиссии:    Коломенская городская																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967					
1	"Число избирателей, внесенных в список избирателей"	121816	1613	1010	1315	1455	1421	1616	2593	2239	2662	1356	2057	1458	1451	1867	1141	2420	1361	2195	1996	1105	731	1079	2057	1915	2326	962	2540	1434	2013	1989	1989	2548	2429	1683	2768	1603	1956	1414	1449	1551	1924	2037	1654	1778	2252	2106	1748	618	2239	2209	1856	2609	1751	2198	1893	1307	2415	2069	2462	2141	616	1945	2229	2009	1113	1967	1198	238	119	224	30	42	53					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	119502	1200	1000	1300	1400	1000	1600	2400	2200	2698	1300	2000	1400	1400	1800	1100	2400	1300	2100	2000	1100	700	1000	2000	1900	2300	900	2500	1400	2000	1900	1900	2500	2400	1600	2700	1600	1900	1300	1400	1500	1900	2000	1600	1799	3700	2100	1700	500	2200	2200	1800	2600	1700	2100	2100	1300	2400	2100	2400	2100	500	1700	2100	2000	1100	1900	1100	200	120	250	30	50	55					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56333	950	443	583	596	423	672	1410	893	1269	572	953	680	716	850	402	1236	474	1098	1000	467	309	394	1021	808	1074	453	1191	626	885	902	896	1249	1134	960	1448	725	796	662	752	635	931	1023	823	831	1102	939	773	286	1028	1015	909	1195	845	1041	911	505	1012	1013	1112	854	273	785	1345	758	494	914	438	196	115	183	30	0	47					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2877	105	17	56	24	447	22	72	42	38	48	45	28	27	45	34	41	10	20	22	12	26	20	24	12	26	16	49	54	46	60	41	38	44	8	21	33	46	27	42	66	41	51	29	37	29	35	45	42	16	17	35	22	8	20	15	12	16	19	34	53	54	47	48	87	38	49	83	0	0	0	0	41	0					
6	Число погашенных избирательных бюллетеней	60288	145	540	660	780	130	906	918	1265	1391	680	1002	692	657	905	664	1123	816	982	978	621	365	586	955	1080	1200	431	1260	720	1069	936	963	1213	1222	632	1231	842	1058	611	606	799	928	926	748	931	2569	1126	882	172	1156	1168	856	1383	847	1039	1173	783	1372	1068	1254	1193	173	868	707	1155	568	937	579	4	5	67	0	9	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2874	105	17	56	24	445	22	72	42	38	48	44	28	27	45	34	41	10	20	22	12	26	20	24	12	26	16	49	54	46	60	41	38	44	8	21	33	46	27	42	66	41	51	29	37	29	35	45	42	16	17	35	22	8	20	15	12	16	19	34	53	54	47	48	87	38	49	83	0	0	0	0	41	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56276	950	443	583	595	422	671	1410	893	1263	572	953	678	716	850	402	1236	474	1098	1000	453	309	394	1021	808	1074	452	1191	626	885	899	895	1246	1134	960	1448	725	794	662	749	635	929	1023	823	825	1102	938	773	286	1028	1015	909	1195	845	1041	910	503	1012	1013	1112	854	273	785	1342	756	492	914	438	196	115	183	30	0	47					
9	Число недействительных избирательных бюллетеней	1535	34	11	20	9	51	15	29	17	27	14	24	12	18	17	7	36	21	26	12	12	7	13	22	13	15	17	30	8	17	89	21	22	44	25	40	21	16	20	19	14	34	33	32	19	21	24	28	12	20	44	22	27	20	31	19	14	20	24	32	33	12	15	31	19	9	18	7	10	9	4	2	0	5					
10	Число действительных избирательных бюллетеней	57615	1021	449	619	610	816	678	1453	918	1274	606	973	694	725	878	429	1241	463	1092	1010	453	328	401	1023	807	1085	451	1210	672	914	870	915	1262	1134	943	1429	737	824	669	772	687	936	1041	820	843	1110	949	790	316	1024	988	922	1190	833	1030	906	501	1008	1008	1114	874	315	817	1359	824	521	945	514	186	106	179	28	41	42					
