Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Мокроусовская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9439	277	439	668	617	245	391	301	333	328	259	98	111	289	116	257	290	306	353	103	561	274	141	298	127	315	91	117	499	281	167	251	256	280									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9450	280	430	650	610	240	390	300	320	320	250	110	110	290	120	280	310	300	350	100	540	280	140	310	130	310	90	110	500	290	180	250	270	290									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4351	129	179	286	258	114	157	135	166	150	97	56	47	108	71	171	209	115	148	51	250	107	63	151	89	126	45	47	163	160	94	146	163	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	752	14	17	34	20	7	17	11	32	11	20	18	14	54	9	18	17	31	12	1	39	19	16	17	11	30	3	22	111	16	31	23	20	37									
6	Число погашенных избирательных бюллетеней	4347	137	234	330	332	119	216	154	122	159	133	36	49	128	40	91	84	154	190	48	251	154	61	142	30	154	42	41	226	114	55	81	87	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	752	14	17	34	20	7	17	11	32	11	20	18	14	54	9	18	17	31	12	1	39	19	16	17	11	30	3	22	111	16	31	23	20	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4351	129	179	286	258	114	157	135	166	150	97	56	47	108	71	171	209	115	148	51	250	107	63	151	89	126	45	47	163	160	94	146	163	100									
9	Число недействительных избирательных бюллетеней	80	5	4	3	2	2	6	2	3	1	1	2	1	4	2	1	4	1	4	0	3	1	0	0	3	2	0	5	3	3	2	6	4	0									
10	Число действительных избирательных бюллетеней	5023	138	192	317	276	119	168	144	195	160	116	72	60	158	78	188	222	145	156	52	286	125	79	168	97	154	48	64	271	173	123	163	179	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	405	5	15	20	20	10	15	15	10	10	10	15	0	15	5	20	20	10	20	7	15	20	5	10	5	10	3	5	15	15	15	15	15	15									
