Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    район Чертаново Северное																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64228	2561	2581	2347	2583	2325	2342	1976	2683	2242	1961	1736	2497	2163	2461	2444	2123	2279	2222	1721	2272	1995	1885	1672	2240	2563	1430	2368	2005	2551									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53000	2000	2000	2000	2000	2000	2000	1500	2000	2000	1500	1400	2000	2000	2000	2000	2000	2000	2000	1400	2000	1500	1500	1400	2000	2000	1200	2000	1600	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23531	923	937	828	853	849	794	818	1097	872	695	618	921	791	797	863	809	809	724	661	798	827	741	556	737	917	377	983	838	1098									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	679	24	27	24	24	14	31	22	17	12	15	17	25	23	17	50	24	20	21	14	31	18	45	33	31	28	1	22	17	32									
6	Число погашенных избирательных бюллетеней	28789	1053	1036	1148	1123	1137	1175	660	886	1116	790	765	1054	1186	1186	1087	1167	1171	1255	725	1171	655	714	810	1232	1055	822	995	745	870									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	679	24	27	24	24	14	31	22	17	12	15	17	25	23	17	50	24	20	21	14	31	18	45	33	31	28	1	22	17	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23398	921	936	820	853	844	792	810	1096	860	686	609	921	791	797	863	809	809	720	661	791	821	741	556	726	914	376	974	811	1090									
9	Число недействительных избирательных бюллетеней	412	15	17	42	17	12	16	11	29	14	12	11	35	14	19	6	14	16	6	0	11	14	8	4	12	25	3	5	17	7									
10	Число действительных избирательных бюллетеней	23665	930	946	802	860	846	807	821	1084	858	689	615	911	800	795	907	819	813	735	675	811	825	778	585	745	917	374	991	811	1115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	795	30	30	30	30	30	30	30	30	30	20	20	30	30	30	30	30	30	30	20	30	20	20	20	30	30	15	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	410	10	10	21	17	7	20	20	7	13	13	11	19	15	16	17	10	12	16	10	15	10	15	16	12	17	8	17	19	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	319	27	24	10	6	21	19	16	31	6	8	5	2	13	9	6	13	11	4	0	8	15	7	14	10	9	3	10	7	5									
14	Число погашенных неиспользованных открепительных удостоверений	385	20	20	9	13	23	10	10	23	17	7	9	11	15	14	13	20	18	14	10	15	10	5	4	18	13	7	13	11	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	7	10	4	1	2	4	3	4	1	1	3	2	5	3	3	0	1	1	0	2	1	1	2	0	1	3	2	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	799	45	54	22	27	28	30	32	34	17	27	20	30	11	28	19	37	26	22	14	28	32	23	16	32	15	18	35	42	35									
