Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Козьмодемьянская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265					
1	"Число избирателей, внесенных в списки"	18919	928	1344	921	1166	1297	1358	1018	1121	1010	1060	941	1137	563	733	1081	870	1479	892					
2	"Число бюллетеней, полученных участковыми комиссиями"	17310	850	1200	850	1050	1200	1250	950	1010	950	950	870	1000	510	670	1000	800	1400	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9511	511	667	481	659	683	772	598	685	556	471	434	598	205	299	432	385	663	412					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	467	20	19	27	19	33	21	28	25	33	33	42	39	20	12	40	10	34	12					
6	Число погашенных бюллетеней	7332	319	514	342	372	484	457	324	300	361	446	394	363	285	359	528	405	703	376					
7	Число бюллетеней в переносных ящиках для голосования	467	20	19	27	19	33	21	28	25	33	33	42	39	20	12	40	10	34	12					
8	Число бюллетеней в стационарных ящиках для голосования	9507	511	666	481	659	681	772	598	685	556	470	434	598	205	299	432	385	663	412					
9	Число недействительных бюллетеней	152	5	5	8	4	9	13	14	7	7	12	5	11	9	9	8	8	14	4					
10	Число действительных бюллетеней	9822	526	680	500	674	705	780	612	703	582	491	471	626	216	302	464	387	683	420					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10	10	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	7	2	2	3	1	4	5	1	3	2	3	2	3	3	0	2	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	2	1	4	1	0	3	9	2	0	4	0	33	4	2	1	0	0	0					
14	Число погашенных открепительных удостоверений	139	3	8	8	7	9	11	5	9	7	8	7	8	7	7	10	8	9	8					
15	Число открепительных удостоверений выданных ТИК	10	1	0	1	0	0	0	1	0	1	1	1	0	0	1	2	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
