Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Троснянская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №668	УИК №669	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8127	2342	328	290	311	523	341	364	444	156	310	367	513	613	241	341	364	279									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8300	2370	338	296	327	537	352	379	460	158	321	379	508	631	242	346	373	283									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4043	1217	83	141	144	315	76	193	265	49	205	180	209	481	122	106	163	94									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1623	93	146	91	103	127	189	85	82	64	30	59	188	33	73	115	91	54									
6	Число погашенных избирательных бюллетеней	2634	1060	109	64	80	95	87	101	113	45	86	140	111	117	47	125	119	135									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1623	93	146	91	103	127	189	85	82	64	30	59	188	33	73	115	91	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4043	1217	83	141	144	315	76	193	265	49	205	180	209	481	122	106	163	94									
9	Число недействительных избирательных бюллетеней	51	30	3	0	1	0	0	0	1	0	3	1	6	2	0	0	0	4									
10	Число действительных избирательных бюллетеней	5615	1280	226	232	246	442	265	278	346	113	232	238	391	512	195	221	254	144									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	30	15	5	5	10	5	5	10	5	5	5	10	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	22	1	2	4	2	0	4	3	0	3	2	2	8	0	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	6	0	1	1	1	0	1	1	0	1	5	0	0	0	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	84	8	14	3	1	8	5	1	7	5	2	3	8	2	5	5	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	10	0	2	1	1	0	0	1	0	0	2	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	29	1	0	0	1	0	4	1	0	2	2	0	2	0	0	0	0									
		0.74%	2.21%	0.44%	0.00%	0.00%	0.23%	0.00%	1.44%	0.29%	0.00%	0.85%	0.84%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	155	31	4	8	10	3	12	1	7	3	15	12	17	2	6	11	4	9									
		2.74%	2.37%	1.75%	3.45%	4.05%	0.68%	4.53%	0.36%	2.02%	2.65%	6.38%	5.02%	4.28%	0.39%	3.08%	4.98%	1.57%	6.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	17	4	1	2	2	1	1	1	0	0	0	2	3	1	3	0	0									
		0.67%	1.30%	1.75%	0.43%	0.81%	0.45%	0.38%	0.36%	0.29%	0.00%	0.00%	0.00%	0.50%	0.58%	0.51%	1.36%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4053	779	172	167	158	356	209	216	259	84	169	154	278	444	165	151	208	84									
		71.53%	59.47%	75.11%	71.98%	63.97%	80.54%	78.87%	77.70%	74.64%	74.34%	71.91%	64.44%	70.03%	86.38%	84.62%	68.33%	81.89%	56.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	4	0	1	0	3	1	5	1	0	1	2	2	0	0	0	0	1									
		0.37%	0.31%	0.00%	0.43%	0.00%	0.68%	0.38%	1.80%	0.29%	0.00%	0.43%	0.84%	0.50%	0.00%	0.00%	0.00%	0.00%	0.68%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.08%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	510	155	27	27	35	44	21	36	27	8	11	34	26	18	4	16	11	10									
		9.00%	11.83%	11.79%	11.64%	14.17%	9.95%	7.92%	12.95%	7.78%	7.08%	4.68%	14.23%	6.55%	3.50%	2.05%	7.24%	4.33%	6.76%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	13	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0									
		0.32%	0.99%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.45%	0.39%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.14%	0.46%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0									
