Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Ульчская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755					
1	"Число избирателей, внесенных в список"	16476	566	85	506	49	331	656	249	112	721	1607	639	354	67	352	337	964	483	678	706	399	89	1446	1477	508	306	127	238	254	1249	768	153					
2	Число полученных избирательных бюллетеней	16978	600	85	560	50	380	665	280	113	735	1530	645	355	70	390	320	980	530	665	695	465	100	1490	1560	525	325	125	230	260	1380	720	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	169	0	0	0	0	0	54	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11729	406	84	357	43	261	406	196	112	504	1129	416	287	57	315	211	644	365	473	524	323	75	949	868	338	206	118	205	230	877	627	123					
5	"Число избирательных бюллетеней, выданных вне помещения"	1555	65	1	72	3	25	85	37	0	47	181	79	35	6	24	17	123	61	62	41	76	4	61	65	85	42	4	17	8	159	59	11					
6	Число погашенных избирательных бюллетеней	3525	129	0	131	4	94	120	47	1	184	220	150	33	7	51	19	213	104	130	130	66	21	480	585	102	77	3	8	22	344	34	16					
7	Число избирательных бюллетеней в переносных ящиках	1724	65	1	72	3	25	139	37	0	47	181	79	35	6	24	90	123	61	62	41	76	4	61	107	85	42	4	17	8	159	59	11					
8	Число бюллетеней в стационарных ящиках для голосования	11728	406	84	357	43	261	406	196	112	504	1129	416	287	57	315	211	644	365	473	524	323	75	949	868	338	206	118	205	230	877	626	123					
9	Число недействительных избирательных бюллетеней	168	3	2	8	0	2	5	2	0	8	13	8	3	1	0	5	14	1	5	3	5	0	19	14	1	2	1	3	4	13	18	5					
10	Число действительных избирательных бюллетеней	13284	468	83	421	46	284	540	231	112	543	1297	487	319	62	339	296	753	425	530	562	394	79	991	961	422	246	121	219	234	1023	667	129					
11	Число полученных открепительных  удостоверений	291	10	5	10	5	5	15	10	0	20	35	10	10	5	5	5	10	10	10	10	10	5	10	10	10	5	5	5	5	21	10	5					
12	Число выданных открепительных удостоверений	186	0	2	3	0	0	12	10	0	18	35	10	10	3	0	0	10	2	5	4	5	0	9	8	8	4	1	0	0	20	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	3	1	6	1	76	4	2	1	2	19	1	5	2	2	2	4	2	3	1	6	2	12	9	1	1	2	3	1	9	9	2					
