Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																																																																														
																																																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																														
																																																																																																																														
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №188	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №199	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №211	УИК №213	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №237	УИК №238	УИК №240	УИК №241	УИК №242	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №251	УИК №252	УИК №254	УИК №255	УИК №256	УИК №257	УИК №259	УИК №263	УИК №264	УИК №267	УИК №272	УИК №273	УИК №274	УИК №275	УИК №280	УИК №281	УИК №285	УИК №288	УИК №294	УИК №295	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №311	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №330	УИК №333	УИК №336	УИК №337	УИК №338	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №350	УИК №352	УИК №357	УИК №359	УИК №360					
1	"Число избирателей, внесенных в списки"	4412	27	27	26	27	27	28	28	27	28	27	26	50	49	55	53	54	30	27	29	14	14	71	30	4	23	23	16	31	32	47	23	47	20	19	15	60	52	28	29	17	18	87	87	38	25	30	15	16	26	20	41	28	28	85	85	80	81	75	42	44	91	54	28	28	15	26	26	29	25	24	31	24	26	24	34	26	29	28	91	83	19	22	28	29	28	20	21	20	20	25	25	29	28	82	31	42	19	15	24	142	86	56	21	26	19	20	18	15	20	18	26	79	28	55	80	117	26	47	33					
2	"Число бюллетеней, полученных участковыми комиссиями"	4770	29	29	29	27	29	29	29	29	29	27	29	70	70	70	70	70	32	30	32	18	18	82	30	4	23	23	16	31	36	56	23	54	21	21	18	74	60	28	29	19	24	90	87	43	30	32	18	18	26	20	46	28	31	85	85	80	81	77	45	46	91	58	28	29	17	26	26	29	26	26	42	29	26	26	40	29	29	28	91	90	19	22	29	32	32	24	24	24	20	31	32	29	28	82	31	52	20	20	27	152	89	58	22	26	19	25	20	17	20	21	28	79	32	57	80	117	29	47	33					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4370	27	27	25	27	27	28	24	27	28	27	26	50	49	55	53	53	27	27	29	14	14	66	29	4	23	23	16	31	32	47	22	47	20	19	15	60	52	28	29	17	18	87	87	38	25	30	14	16	26	20	41	28	28	85	85	80	81	75	39	39	91	54	28	28	15	25	26	29	24	23	31	24	22	24	33	26	29	28	91	83	19	22	28	29	28	20	21	20	20	25	25	29	28	82	31	41	19	15	24	142	84	56	21	26	19	20	18	15	20	18	26	73	28	55	80	117	26	47	33					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	400	2	2	4	0	2	1	5	2	1	0	3	20	21	15	17	17	5	3	3	4	4	16	1	0	0	0	0	0	4	9	1	7	1	2	3	14	8	0	0	2	6	3	0	5	5	2	4	2	0	0	5	0	3	0	0	0	0	2	6	7	0	4	0	1	2	1	0	0	2	3	11	5	4	2	7	3	0	0	0	7	0	0	1	3	4	4	3	4	0	6	7	0	0	0	0	11	1	5	3	10	5	2	1	0	0	5	2	2	0	3	2	6	4	2	0	0	3	0	0					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	4370	27	27	25	27	27	28	24	27	28	27	26	50	49	55	53	53	27	27	29	14	14	66	29	4	23	23	16	31	32	47	22	47	20	19	15	60	52	28	29	17	18	87	87	38	25	30	14	16	26	20	41	28	28	85	85	80	81	75	39	39	91	54	28	28	15	25	26	29	24	23	31	24	22	24	33	26	29	28	91	83	19	22	28	29	28	20	21	20	20	25	25	29	28	82	31	41	19	15	24	142	84	56	21	26	19	20	18	15	20	18	26	73	28	55	80	117	26	47	33					
9	Число недействительных бюллетеней	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3					
10	Число действительных бюллетеней	4355	27	27	25	27	27	28	24	27	28	27	26	50	49	55	53	53	27	27	29	14	14	66	29	4	23	23	15	31	32	47	22	47	20	19	15	60	52	28	29	17	18	87	87	38	25	30	14	16	26	20	41	28	28	85	85	80	81	75	39	39	86	54	28	28	15	25	26	29	24	23	31	24	22	23	33	26	29	28	91	83	19	22	28	29	28	20	21	20	20	24	25	29	28	82	31	40	19	15	24	142	84	56	21	25	19	20	18	15	20	18	26	73	26	55	80	117	26	47	30					
