Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Сибайская городская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
1	"Число избирателей, внесенных в списки"	39582	1652	1624	2182	1827	1935	2110	1853	1973	1956	1929	1445	1663	1737	1677	1920	2442	1935	1990	2058	1251	1390	2000	1354	816	754					
2	"Число бюллетеней, полученных участковыми комиссиями"	35680	1500	1500	1800	1600	1800	1700	1600	1600	1700	1700	1350	1500	1500	1700	1800	2100	0	1900	1700	1700	1300	1600	1330	700	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27349	1179	1155	1465	1223	1267	1455	1327	1409	1296	1277	970	1090	1307	1201	1387	1498	0	1370	1384	1209	973	1193	892	586	532					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	815	23	42	41	23	47	40	47	73	57	66	31	33	40	36	42	26	0	42	34	42	29	21	13	9	15					
6	Число погашенных бюллетеней	7509	298	297	293	354	486	205	226	118	347	357	349	377	153	463	371	576	0	488	282	449	298	386	425	105	153					
7	Число бюллетеней в переносных ящиках для голосования	815	23	42	41	23	47	40	47	73	57	66	31	33	40	36	42	26	0	42	34	42	29	21	13	9	15					
8	Число бюллетеней в стационарных ящиках для голосования	27294	1179	1155	1465	1223	1267	1455	1327	1409	1296	1277	939	1090	1302	1189	1380	1498	0	1370	1384	1209	973	1193	892	586	532					
9	Число недействительных бюллетеней	517	0	37	26	27	24	28	12	47	38	21	16	26	15	20	21	17	0	15	35	20	16	30	15	27	22					
10	Число действительных бюллетеней	27592	1202	1160	1480	1219	1290	1467	1362	1435	1315	1322	954	1097	1327	1205	1401	1507	0	1397	1383	1231	986	1184	890	568	525					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	457	17	15	21	23	15	17	26	16	10	20	20	14	16	40	17	41	0	21	15	13	10	15	22	28	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	425	15	15	21	20	15	17	26	16	10	20	17	13	15	40	17	41	0	21	15	13	10	15	20	8	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	438	1	3	9	66	5	11	24	171	8	15	13	3	4	12	13	7	0	20	6	9	11	3	7	15	10					
14	Число погашенных открепительных удостоверений	32	2	0	0	3	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	2	20	0					
15	Число открепительных удостоверений выданных ТИК	14	0	0	1	0	2	0	0	0	0	0	0	1	0	1	3	3	0	0	1	0	2	0	0	0	0					
16	Число утраченных бюллетеней	7	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	474	21	24	23	13	15	19	10	21	19	18	17	17	20	41	10	31	0	24	25	33	12	32	10	19	19					
		1.68%	1.74%	2.00%	1.52%	1.04%	1.14%	1.27%	0.72%	1.41%	1.40%	1.34%	1.75%	1.51%	1.49%	3.34%	0.70%	2.03%	NaN%	1.69%	1.76%	2.63%	1.19%	2.63%	1.10%	3.19%	3.47%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	570	26	21	37	23	31	34	32	30	27	29	14	23	42	25	22	37	0	38	23	20	19	17	6	12	9					
		2.02%	2.16%	1.75%	2.45%	1.84%	2.35%	2.27%	2.32%	2.02%	1.99%	2.15%	1.44%	2.04%	3.12%	2.04%	1.54%	2.42%	NaN%	2.69%	1.62%	1.59%	1.89%	1.40%	0.66%	2.01%	1.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	810	24	42	40	30	43	49	33	59	67	49	39	37	32	40	40	20	0	39	47	40	34	29	21	10	13					
