Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																														
																																																																														
Наименование Избирательной комиссии:    Ишимбайская городская																																																																														
																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																														
																																																																														
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908					
1	"Число избирателей, внесенных в списки"	68824	1180	1432	1569	1268	1292	1210	811	1582	1248	1475	1277	1158	1463	1944	1523	1122	1991	1128	1120	196	1304	1260	1853	1882	1576	1829	1471	1520	1516	1249	1610	1293	1410	1725	1523	1440	1013	392	660	548	636	625	336	812	1829	349	179	252	505	344	614	291	613	86	306	965	678	490	204	1061	445	413	586	193	476	686	410	355	335	607	80					
2	"Число бюллетеней, полученных участковыми комиссиями"	66900	1050	1450	1580	1230	1220	1120	730	1540	1190	1420	1300	1080	1440	1840	1480	1120	1910	1120	1050	190	1310	1260	1800	1690	1530	1830	1420	1430	1480	1160	1520	1260	1370	1650	1530	1390	920	400	640	520	610	670	350	800	1790	350	180	260	490	340	620	290	620	80	320	960	670	490	220	1050	450	420	580	200	490	660	400	350	340	600	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	48519	779	1078	1166	863	818	796	541	1088	803	1066	886	777	996	1358	1103	790	1397	789	654	127	960	886	1132	1423	1212	1202	986	969	1038	866	1047	1037	988	1235	1119	1022	572	322	440	492	566	525	164	629	1350	221	117	184	411	245	475	210	521	71	262	442	533	436	163	839	376	316	481	144	338	469	282	209	254	413	50					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2435	10	18	21	34	21	27	8	14	19	34	24	38	11	22	18	31	41	56	59	0	10	20	32	40	31	42	42	45	30	60	42	51	17	40	42	16	22	12	14	23	24	39	27	98	44	15	14	11	46	54	23	21	21	0	0	395	57	14	14	34	25	30	45	10	39	59	35	28	27	29	20					
6	Число погашенных бюллетеней	15941	261	354	393	333	381	297	181	438	368	320	390	265	433	460	359	299	472	275	337	63	340	354	636	227	287	585	392	416	412	234	431	172	365	375	369	348	326	66	186	5	20	106	159	73	396	114	49	65	33	41	122	59	78	9	58	123	80	40	43	177	49	74	54	46	113	132	83	113	59	158	10					
7	Число бюллетеней в переносных ящиках для голосования	2435	10	18	21	34	21	27	8	14	19	34	24	38	11	22	18	31	41	56	59	0	10	20	32	40	31	42	42	45	30	60	42	51	17	40	42	16	22	12	14	23	24	39	27	98	44	15	14	11	46	54	23	21	21	0	0	395	57	14	14	34	25	30	45	10	39	59	35	28	27	29	20					
8	Число бюллетеней в стационарных ящиках для голосования	48372	779	1078	1061	861	819	796	541	1088	800	1066	886	777	996	1357	1103	790	1397	785	654	127	960	886	1132	1420	1211	1202	986	969	1037	858	1045	1037	988	1234	1119	1009	560	322	448	492	566	525	164	629	1350	221	117	184	411	245	475	210	521	71	262	442	533	436	163	839	376	316	481	144	338	469	282	209	254	413	50					
9	Число недействительных бюллетеней	1363	7	18	8	9	27	22	20	16	21	26	39	18	20	27	19	11	28	20	15	5	16	10	47	32	38	43	26	32	33	15	51	17	12	32	17	21	23	16	15	1	43	14	14	20	41	32	0	14	7	8	20	5	31	6	4	0	21	34	24	54	11	3	11	8	5	10	9	12	11	17	1					
10	Число действительных бюллетеней	49444	782	1078	1074	886	813	801	529	1086	798	1074	871	797	987	1352	1102	810	1410	821	698	122	954	896	1117	1428	1204	1201	1002	982	1034	903	1036	1071	993	1242	1144	1004	559	318	447	514	547	550	177	707	1353	204	131	181	450	291	478	226	511	65	258	837	569	416	153	819	390	343	515	146	372	518	308	225	270	425	69					
