Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Воркутинская городская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56					
1	"Число избирателей, внесенных в списки"	97843	279	542	564	2390	1886	2016	1766	2051	1841	1989	1761	2209	1803	1818	2419	2127	2019	2082	2180	2394	1838	2337	2296	2149	1994	2208	1971	1621	2074	1818	2043	1766	2192	1634	1850	1767	1258	1888	1828	1921	1970	1736	1968	1958	1654	894	516	1764	2120	2210	1811	1721	724	1868	257	83					
2	"Число бюллетеней, полученных участковыми комиссиями"	95440	250	500	550	2300	1900	1900	1700	2000	1800	2000	1700	2100	1800	1800	2400	2100	2000	2000	2100	2400	1800	2200	2200	2100	1900	2200	2000	1600	2000	1800	2000	1700	2100	1600	1800	1700	1200	1900	1800	1800	1900	1700	1900	1900	1600	900	500	1800	2100	2100	1700	1700	700	1900	257	83					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44850	125	231	238	907	709	903	797	959	810	880	912	1074	842	892	1108	1055	1037	960	1051	1017	888	1102	925	1025	951	1026	938	742	842	812	829	787	950	806	868	797	536	940	893	885	984	746	891	932	687	311	187	944	1000	1118	819	786	253	838	257	48					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	650	0	40	12	11	5	22	8	10	8	9	21	22	18	4	7	16	9	10	19	12	7	60	5	13	9	13	6	11	12	5	15	1	5	5	8	6	12	3	7	10	4	10	10	6	15	5	1	21	14	4	14	12	6	17	0	35					
6	Число погашенных бюллетеней	49939	125	229	300	1382	1186	975	895	1031	982	1111	767	1004	940	904	1285	1029	954	1030	1030	1371	905	1038	1270	1061	940	1161	1056	847	1146	983	1156	912	1145	789	924	897	652	957	900	905	912	944	999	962	898	584	312	835	1086	978	867	902	441	1045	0	0					
7	Число бюллетеней в переносных ящиках для голосования	650	0	40	12	11	5	22	8	10	8	9	21	22	18	4	7	16	9	10	19	12	7	60	5	13	9	13	6	11	12	5	15	1	5	5	8	6	12	3	7	10	4	10	10	6	15	5	1	21	14	4	14	12	6	17	0	35					
8	Число бюллетеней в стационарных ящиках для голосования	44816	125	231	238	906	709	903	797	958	810	878	912	1074	840	891	1108	1054	1037	960	1050	1016	888	1101	925	1022	949	1024	938	740	842	811	828	786	949	806	868	795	536	940	893	883	983	746	891	932	687	311	187	944	1000	1118	819	782	253	837	257	48					
9	Число недействительных бюллетеней	399	4	3	2	12	5	8	7	10	5	3	7	7	8	10	7	5	7	6	10	2	5	9	8	7	3	3	3	8	5	12	9	11	13	5	19	9	3	10	3	5	11	7	11	6	4	3	3	7	10	9	12	12	5	10	9	2					
10	Число действительных бюллетеней	45067	121	268	248	905	709	917	798	958	813	884	926	1089	850	885	1108	1065	1039	964	1059	1026	890	1152	922	1028	955	1034	941	743	849	804	834	776	941	806	857	792	545	933	897	888	976	749	890	932	698	313	185	958	1004	1113	821	782	254	844	248	81					
