Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Курганинская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756					
1	"Число избирателей, внесенных в список"	75527	1929	2571	2263	2219	1871	2320	2539	2304	1532	2671	2172	2802	2634	2649	2679	572	466	1411	1425	1630	1144	114	148	157	948	1018	1115	1542	1315	737	506	1162	1493	1088	1144	1173	1304	485	1076	132	142	255	91	776	328	355	202	1552	949	2086	1287	1015	1492	2567	1950	2020					
2	Число полученных избирательных бюллетеней	79320	2200	2650	2340	2280	1900	2450	2600	2350	1550	2700	2130	2650	2750	2650	2350	680	500	1540	1480	1730	1280	120	140	160	960	1060	1160	1570	1330	830	530	1250	1650	1500	1200	1200	1500	500	1160	130	140	270	100	880	360	420	240	1770	1000	2200	1500	1100	1680	2750	2050	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43918	1067	1312	1244	1172	964	1044	1239	1040	808	1316	1153	1459	1409	1200	1499	366	309	774	686	704	540	93	121	136	547	454	550	836	770	508	347	603	818	1033	709	755	1019	357	826	112	136	139	91	618	285	310	151	1172	482	1219	1036	718	1157	1858	1340	1307					
5	"Число избирательных бюллетеней, выданных вне помещения"	5911	173	70	158	100	83	215	176	283	126	116	104	202	144	169	37	35	37	112	157	379	178	0	12	0	117	213	195	144	134	112	43	103	127	55	87	102	128	56	33	0	0	74	0	15	19	15	8	59	188	267	36	150	110	75	81	99					
6	Число погашенных избирательных бюллетеней	29491	960	1268	938	1008	853	1191	1185	1027	616	1268	873	989	1197	1281	814	279	154	654	637	647	562	27	7	24	296	393	415	590	426	210	140	544	705	412	404	343	353	87	301	18	4	57	9	247	56	95	81	539	330	714	428	232	413	817	629	744					
7	Число избирательных бюллетеней в переносных ящиках	5911	173	70	158	100	83	215	176	283	126	116	104	202	144	169	37	35	37	112	157	379	178	0	12	0	117	213	195	144	134	112	43	103	127	55	87	102	128	56	33	0	0	74	0	15	19	15	8	59	188	267	36	150	110	75	81	99					
8	Число бюллетеней в стационарных ящиках для голосования	43916	1067	1312	1242	1172	964	1044	1239	1040	808	1316	1153	1459	1409	1200	1499	366	309	774	686	704	540	93	121	136	547	454	550	836	770	508	347	603	818	1033	709	755	1019	357	826	112	136	139	91	618	285	310	151	1172	482	1219	1036	718	1157	1858	1340	1307					
9	Число недействительных избирательных бюллетеней	398	12	0	12	3	4	12	10	5	1	13	10	0	8	2	25	2	3	6	8	12	0	0	4	1	2	6	4	0	10	6	4	1	8	8	8	1	3	0	14	2	0	0	1	2	1	4	3	18	0	23	9	11	19	46	13	18					
10	Число действительных избирательных бюллетеней	49429	1228	1382	1388	1269	1043	1247	1405	1318	933	1419	1247	1661	1545	1367	1511	399	343	880	835	1071	718	93	129	135	662	661	741	980	894	614	386	705	937	1080	788	856	1144	413	845	110	136	213	90	631	303	321	156	1213	670	1463	1063	857	1248	1887	1408	1388					
