Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Зубцовская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13701	628	1731	1585	654	1176	137	377	311	432	158	137	344	121	371	291	444	379	710	184	224	391	179	238	247	138	1000	349	186	202	377									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12065	550	1500	1400	600	950	105	300	300	400	150	150	255	100	350	250	400	350	650	150	200	350	150	200	200	105	900	350	150	200	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5092	246	764	695	246	405	48	153	108	148	66	66	99	42	159	127	150	149	237	40	57	116	41	64	50	39	409	148	45	56	119									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1238	7	22	35	11	31	18	25	41	44	18	12	29	22	60	32	64	77	42	62	64	70	24	31	74	40	91	23	46	45	78									
6	Число погашенных избирательных бюллетеней	5735	297	714	670	343	514	39	122	151	208	66	72	127	36	131	91	186	124	371	48	79	164	85	105	76	26	400	179	59	99	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1238	7	22	35	11	31	18	25	41	44	18	12	29	22	60	32	64	77	42	62	64	70	24	31	74	40	91	23	46	45	78									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5091	246	763	695	246	405	48	153	108	148	66	66	99	42	159	127	150	149	237	40	57	116	41	64	50	39	409	148	45	56	119									
9	Число недействительных избирательных бюллетеней	114	4	19	19	4	7	1	8	3	0	1	5	0	0	2	1	5	5	7	0	1	0	0	0	1	0	12	6	0	0	3									
10	Число действительных избирательных бюллетеней	6215	249	766	711	253	429	65	170	146	192	83	73	128	64	217	158	209	221	272	102	120	186	65	95	123	79	488	165	91	101	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	10	15	10	10	10	10	15	15	15	10	10	15	10	15	15	15	15	15	10	20	15	10	10	10	10	20	15	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	224	3	14	10	3	6	6	6	5	15	4	10	15	1	8	4	5	1	2	0	2	1	10	10	6	10	20	15	9	11	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	113	8	19	11	6	6	0	12	4	1	7	1	3	0	4	2	1	3	2	1	2	2	0	0	0	2	11	3	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	166	7	1	0	7	4	4	9	10	0	6	0	0	9	7	11	10	14	13	10	18	14	0	0	4	0	0	0	1	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	1	9	7	4	3	1	7	0	0	2	0	0	0	5	0	5	3	1	0	0	4	0	0	0	0	2	2	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	1	8	9	8	6	1	1	0	0	0	0	1	0	3	1	3	9	4	0	0	3	2	0	1	0	8	3	3	0	3									
		1.23%	0.40%	1.02%	1.23%	3.11%	1.38%	1.52%	0.56%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	1.37%	0.63%	1.40%	3.98%	1.43%	0.00%	0.00%	1.61%	3.08%	0.00%	0.81%	0.00%	1.60%	1.75%	3.30%	0.00%	1.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	141	12	16	18	0	6	1	3	3	7	3	1	1	0	9	3	5	2	8	3	4	1	1	2	3	4	9	7	5	1	3									
		2.23%	4.74%	2.04%	2.47%	0.00%	1.38%	1.52%	1.69%	2.01%	3.65%	3.57%	1.28%	0.78%	0.00%	4.11%	1.89%	2.34%	0.88%	2.87%	2.94%	3.31%	0.54%	1.54%	2.11%	2.42%	5.06%	1.80%	4.09%	5.49%	0.99%	1.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	3	23	19	5	8	2	8	2	0	0	1	1	2	0	10	2	2	8	2	3	2	1	2	2	3	8	3	1	1	4									
		2.02%	1.19%	2.93%	2.60%	1.95%	1.83%	3.03%	4.49%	1.34%	0.00%	0.00%	1.28%	0.78%	3.13%	0.00%	6.29%	0.93%	0.88%	2.87%	1.96%	2.48%	1.08%	1.54%	2.11%	1.61%	3.80%	1.60%	1.75%	1.10%	0.99%	2.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2893	99	293	273	113	161	25	108	83	96	46	56	59	51	91	48	99	112	134	53	49	124	35	61	67	41	257	56	38	65	100									
		45.71%	39.13%	37.32%	37.40%	43.97%	36.93%	37.88%	60.67%	55.70%	50.00%	54.76%	71.79%	46.09%	79.69%	41.55%	30.19%	46.26%	49.56%	48.03%	51.96%	40.50%	66.67%	53.85%	64.21%	54.03%	51.90%	51.40%	32.75%	41.76%	64.36%	50.76%									
