Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Гремячинская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в список избирателей"	12851	2040	954	1770	854	919	1104	579	627	346	257	416	505	1327	1102	51					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11700	1870	880	1600	780	840	1000	530	570	310	210	380	460	1220	1000	50					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5562	905	367	849	397	382	397	228	280	92	119	167	289	560	496	34					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	780	55	51	94	60	49	70	64	62	19	17	25	56	97	51	10					
6	Число погашенных избирательных бюллетеней	5329	910	462	657	323	409	533	238	228	199	74	188	115	563	424	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	809	55	51	94	60	49	70	64	62	19	17	25	56	97	80	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5562	905	367	849	397	382	397	228	280	92	119	167	289	560	496	34					
9	Число недействительных избирательных бюллетеней	155	19	14	26	10	11	8	2	9	1	0	7	2	25	21	0					
10	Число действительных избирательных бюллетеней	6216	941	404	917	447	420	459	290	333	110	136	185	343	632	555	44					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	40	20	30	15	15	20	10	15	5	5	10	10	35	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	111	15	5	21	13	7	8	5	2	2	0	2	6	14	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	9	4	8	8	1	0	4	5	5	8	5	7	6	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	149	25	15	9	2	8	12	5	13	3	5	8	4	21	19	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1181	209	90	159	84	83	97	52	69	29	22	19	53	110	98	7					
		18.54%	21.77%	21.53%	16.86%	18.38%	19.26%	20.77%	17.81%	20.18%	26.13%	16.18%	9.90%	15.36%	16.74%	17.01%	15.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	977	163	64	146	72	69	67	43	41	16	30	52	61	73	72	8					
		15.34%	16.98%	15.31%	15.48%	15.75%	16.01%	14.35%	14.73%	11.99%	14.41%	22.06%	27.08%	17.68%	11.11%	12.50%	18.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	10	7	7	3	5	2	3	3	1	1	1	3	4	5	0					
		0.86%	1.04%	1.67%	0.74%	0.66%	1.16%	0.43%	1.03%	0.88%	0.90%	0.74%	0.52%	0.87%	0.61%	0.87%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	764	85	50	103	62	57	67	28	36	14	18	22	36	91	89	6					
		11.99%	8.85%	11.96%	10.92%	13.57%	13.23%	14.35%	9.59%	10.53%	12.61%	13.24%	11.46%	10.43%	13.85%	15.45%	13.64%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	139	38	11	17	8	4	7	5	6	1	2	7	4	17	11	1					
		2.18%	3.96%	2.63%	1.80%	1.75%	0.93%	1.50%	1.71%	1.75%	0.90%	1.47%	3.65%	1.16%	2.59%	1.91%	2.27%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3069	430	180	480	216	199	216	158	177	49	62	83	185	335	278	21					
		48.17%	44.79%	43.06%	50.90%	47.26%	46.17%	46.25%	54.11%	51.75%	44.14%	45.59%	43.23%	53.62%	50.99%	48.26%	47.73%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	31	6	2	5	2	3	3	1	1	0	1	1	1	2	2	1					
		0.49%	0.63%	0.48%	0.53%	0.44%	0.70%	0.64%	0.34%	0.29%	0.00%	0.74%	0.52%	0.29%	0.30%	0.35%	2.27%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
