Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Савеловский район																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №3157	УИК №3158					
1	"Число избирателей, внесенных в списки избирателей"	38675	2724	2138	2347	2505	2408	2522	2600	2571	2206	2758	2884	2777	2345	2712	2857	101	220					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30750	2200	1700	1800	2000	1900	2000	2100	2100	1800	2200	2000	2200	1800	2200	2300	200	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19652	1383	1095	1110	1231	1148	1109	1302	1081	1183	1350	1843	1382	1285	1328	1501	101	220					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	693	53	50	60	37	32	50	45	54	34	41	42	67	37	49	42	0	0					
6	Число погашенных избирательных бюллетеней	10405	764	555	630	732	720	841	753	965	583	809	115	751	478	823	757	99	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	685	52	50	60	37	32	50	45	53	34	38	39	67	37	49	42	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19543	1382	1083	1110	1227	1147	1092	1281	1077	1177	1335	1831	1381	1282	1327	1490	101	220					
9	Число недействительных избирательных бюллетеней	380	21	37	15	15	28	24	21	13	20	25	45	20	21	42	32	1	0					
10	Число действительных избирательных бюллетеней	19848	1413	1096	1155	1249	1151	1118	1305	1117	1191	1348	1825	1428	1298	1334	1500	100	220					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	750	50	60	40	50	30	60	40	60	30	60	90	40	30	50	60	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	665	45	60	32	42	28	57	39	52	29	51	80	33	18	46	53	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	920	58	34	54	40	28	50	34	33	25	36	313	17	96	30	53	8	11					
14	Число погашенных неиспользованных открепительных удостоверений	85	5	0	8	8	2	3	1	8	1	9	10	7	12	4	7	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	4	1	5	2	3	1	0	3	2	2	5	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	561	34	35	34	26	45	28	21	32	32	37	36	57	40	48	50	1	5					
		2.77%	2.37%	3.09%	2.91%	2.06%	3.82%	2.45%	1.58%	2.83%	2.64%	2.69%	1.93%	3.94%	3.03%	3.49%	3.26%	0.99%	2.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	580	40	32	36	45	41	23	51	23	32	28	38	53	28	44	58	6	2					
		2.87%	2.79%	2.82%	3.08%	3.56%	3.48%	2.01%	3.85%	2.04%	2.64%	2.04%	2.03%	3.66%	2.12%	3.20%	3.79%	5.94%	0.91%					
20	3.Политическая партия «Демократическая партия России»	45	3	3	2	2	3	3	4	2	3	2	2	2	8	2	3	0	1					
		0.22%	0.21%	0.26%	0.17%	0.16%	0.25%	0.26%	0.30%	0.18%	0.25%	0.15%	0.11%	0.14%	0.61%	0.15%	0.20%	0.00%	0.45%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3208	227	177	168	195	175	193	210	162	180	275	243	276	217	220	264	5	21					
		15.86%	15.83%	15.62%	14.36%	15.43%	14.84%	16.90%	15.84%	14.34%	14.86%	20.03%	12.99%	19.06%	16.45%	15.99%	17.23%	4.95%	9.55%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	749	64	44	41	66	56	33	48	48	42	44	33	39	58	51	80	1	1					
		3.70%	4.46%	3.88%	3.50%	5.22%	4.75%	2.89%	3.62%	4.25%	3.47%	3.20%	1.76%	2.69%	4.40%	3.71%	5.22%	0.99%	0.45%					
