Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Березовская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №903	УИК №904	УИК №905	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №915	УИК №916									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8328	1296	1553	2012	212	589	752	512	414	256	202	134	396									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7700	1200	1500	1900	200	450	700	500	400	200	170	130	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2107	374	415	448	43	84	186	182	134	56	55	47	83									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	133	3	10	8	0	0	10	4	10	22	31	4	31									
6	Число погашенных избирательных бюллетеней	5460	823	1075	1444	157	366	504	314	256	122	84	79	236									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	133	3	10	8	0	0	10	4	10	22	31	4	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2107	374	415	448	43	84	186	182	134	56	55	47	83									
9	Число недействительных избирательных бюллетеней	49	13	6	15	0	1	3	2	4	1	1	1	2									
10	Число действительных избирательных бюллетеней	2191	364	419	441	43	83	193	184	140	77	85	50	112									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	35	30	40	10	10	25	10	10	10	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	3	8	12	0	4	2	3	1	1	3	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	2	2	8	1	3	3	3	4	2	11	3	6									
14	Число погашенных неиспользованных открепительных удостоверений	161	32	22	28	10	6	23	7	9	9	2	5	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	4	9	15	0	2	3	1	2	0	2	1	0									
		1.74%	1.06%	2.12%	3.29%	0.00%	2.38%	1.53%	0.54%	1.39%	0.00%	2.33%	1.96%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	13	13	14	3	5	8	6	8	1	5	1	6									
		3.71%	3.45%	3.06%	3.07%	6.98%	5.95%	4.08%	3.23%	5.56%	1.28%	5.81%	1.96%	5.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	10	6	4	1	0	2	5	1	1	2	3	3									
		1.70%	2.65%	1.41%	0.88%	2.33%	0.00%	1.02%	2.69%	0.69%	1.28%	2.33%	5.88%	2.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	979	159	186	215	22	29	90	72	47	47	38	34	40									
		43.71%	42.18%	43.76%	47.15%	51.16%	34.52%	45.92%	38.71%	32.64%	60.26%	44.19%	66.67%	35.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	1	8	3	0	2	3	2	1	0	0	0	0									
		0.89%	0.27%	1.88%	0.66%	0.00%	2.38%	1.53%	1.08%	0.69%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	1	1	0	0	0	0	1	0	0	1	0									
		0.18%	0.00%	0.24%	0.22%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.96%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	468	99	89	93	11	17	29	25	38	13	16	5	33									
		20.89%	26.26%	20.94%	20.39%	25.58%	20.24%	14.80%	13.44%	26.39%	16.67%	18.60%	9.80%	28.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	3	3	5	0	4	0	0	0	1	1	0	1									
		0.80%	0.80%	0.71%	1.10%	0.00%	4.76%	0.00%	0.00%	0.00%	1.28%	1.16%	0.00%	0.88%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	1	2	0	0	0	1	0	2	0	0	2									
		0.40%	0.27%	0.24%	0.44%	0.00%	0.00%	0.00%	0.54%	0.00%	2.56%	0.00%	0.00%	1.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	1	1	0	0	1	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.54%	0.00%	0.00%	1.16%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	3	9	5	0	1	1	3	0	0	1	0	2									
		1.12%	0.80%	2.12%	1.10%	0.00%	1.19%	0.51%	1.61%	0.00%	0.00%	1.16%	0.00%	1.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	306	38	54	52	3	15	37	35	26	10	14	4	18									
		13.66%	10.08%	12.71%	11.40%	6.98%	17.86%	18.88%	18.82%	18.06%	12.82%	16.28%	7.84%	15.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	142	22	29	23	2	6	10	29	15	0	1	1	4									
		6.34%	5.84%	6.82%	5.04%	4.65%	7.14%	5.10%	15.59%	10.42%	0.00%	1.16%	1.96%	3.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	57	11	11	9	1	2	9	4	1	2	4	0	3									
		2.54%	2.92%	2.59%	1.97%	2.33%	2.38%	4.59%	2.15%	0.69%	2.56%	4.65%	0.00%	2.63%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
