Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Верхнехавская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732					
1	"Число избирателей, внесенных в списки избирателей"	20952	349	521	426	623	1103	416	104	318	2765	1480	1422	1260	111	289	460	100	250	667	460	386	294	112	505	519	1192	335	99	508	53	1096	1401	1328					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20000	350	500	400	600	1000	400	100	300	2500	1500	1400	1200	100	255	400	100	250	700	450	400	300	100	500	500	1200	350	90	500	55	1000	1300	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10163	178	340	200	216	451	235	44	158	1413	796	781	539	51	130	223	49	146	352	177	179	164	52	254	333	435	183	50	273	27	434	710	590					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3795	103	85	91	144	183	58	35	73	203	177	153	277	21	38	82	32	66	93	167	169	55	40	160	103	290	102	40	145	18	171	162	259					
6	Число погашенных избирательных бюллетеней	6042	69	75	109	240	366	107	21	69	884	527	466	384	28	87	95	19	38	255	106	52	81	8	86	64	475	65	0	82	10	395	428	351					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3795	103	85	91	144	183	58	35	73	203	177	153	277	21	38	82	32	66	93	167	169	55	40	160	103	290	102	40	145	18	171	162	259					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10161	178	340	200	216	451	235	44	158	1411	796	781	539	51	130	223	49	146	352	177	179	164	52	254	333	435	183	50	273	27	434	710	590					
9	Число недействительных избирательных бюллетеней	126	1	4	1	1	7	3	1	2	9	8	13	9	0	2	10	1	4	4	6	0	2	2	2	1	1	3	0	3	1	4	20	1					
10	Число действительных избирательных бюллетеней	13830	280	421	290	359	627	290	78	229	1605	965	921	807	72	166	295	80	208	441	338	348	217	90	412	435	724	282	90	415	44	601	852	848					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	595	23	15	0	14	16	9	5	15	38	39	4	17	3	14	26	5	34	25	30	25	26	15	41	18	15	40	2	33	7	14	9	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	585	23	15	0	14	14	9	5	15	37	35	4	17	3	14	26	5	34	25	30	25	26	13	41	18	15	40	2	33	7	14	9	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	190	8	6	5	2	4	6	4	2	25	11	3	17	3	8	10	2	3	7	6	2	1	3	5	6	4	9	1	6	3	2	7	9					
14	Число погашенных неиспользованных открепительных удостоверений	10	0	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	0	0	0	0	0	1	0	14	5	2	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	286	3	6	3	8	4	6	3	8	31	22	10	22	4	8	6	1	4	7	14	7	3	0	6	14	28	7	2	14	0	12	16	7					
		2.05%	1.07%	1.41%	1.03%	2.22%	0.63%	2.05%	3.80%	3.46%	1.92%	2.26%	1.07%	2.70%	5.56%	4.76%	1.97%	1.23%	1.89%	1.57%	4.07%	2.01%	1.37%	0.00%	1.45%	3.21%	3.86%	2.46%	2.22%	3.35%	0.00%	1.98%	1.83%	0.82%					
19	2.Всероссийская политическая партия «Гражданская Сила»	47	0	1	0	4	1	0	0	0	4	6	2	2	0	1	0	0	1	2	5	1	0	0	0	2	2	1	0	1	0	1	3	7					
		0.34%	0.00%	0.24%	0.00%	1.11%	0.16%	0.00%	0.00%	0.00%	0.25%	0.62%	0.21%	0.25%	0.00%	0.60%	0.00%	0.00%	0.47%	0.45%	1.45%	0.29%	0.00%	0.00%	0.00%	0.46%	0.28%	0.35%	0.00%	0.24%	0.00%	0.17%	0.34%	0.82%					
20	3.Политическая партия «Демократическая партия России»	16	0	3	0	1	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	2	0					
		0.11%	0.00%	0.71%	0.00%	0.28%	0.00%	0.00%	1.27%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.00%	0.33%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.24%	0.23%	0.14%	0.00%	0.00%	0.24%	0.00%	0.00%	0.23%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2305	24	78	44	60	112	90	22	44	301	183	193	113	8	28	32	12	42	62	77	48	32	5	52	51	131	42	2	68	3	93	137	116					
		16.52%	8.54%	18.35%	15.12%	16.67%	17.67%	30.72%	27.85%	19.05%	18.65%	18.81%	20.66%	13.85%	11.11%	16.67%	10.49%	14.81%	19.81%	13.93%	22.38%	13.79%	14.61%	5.43%	12.56%	11.70%	18.07%	14.74%	2.22%	16.27%	6.67%	15.37%	15.71%	13.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	20	0	0	0	0	1	1	0	0	11	0	3	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.14%	0.00%	0.00%	0.00%	0.00%	0.16%	0.34%	0.00%	0.00%	0.68%	0.00%	0.32%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	23	0	2	0	1	1	1	0	1	0	3	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	5	3					
		0.16%	0.00%	0.47%	0.00%	0.28%	0.16%	0.34%	0.00%	0.43%	0.00%	0.31%	0.11%	0.12%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.57%	0.35%					
24	7.Политическая партия «Либерально-демократическая партия России»	1290	30	26	12	29	50	29	11	31	165	73	59	79	10	25	42	7	18	57	30	33	24	5	33	38	63	27	6	43	5	68	102	60					
		9.24%	10.68%	6.12%	4.12%	8.06%	7.89%	9.90%	13.92%	13.42%	10.22%	7.50%	6.32%	9.68%	13.89%	14.88%	13.77%	8.64%	8.49%	12.81%	8.72%	9.48%	10.96%	5.43%	7.97%	8.72%	8.69%	9.47%	6.67%	10.29%	11.11%	11.24%	11.70%	7.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	921	8	33	9	11	32	16	4	9	128	80	77	43	1	12	25	6	6	32	30	25	14	15	25	14	63	13	16	24	1	34	56	59					
		6.60%	2.85%	7.76%	3.09%	3.06%	5.05%	5.46%	5.06%	3.90%	7.93%	8.22%	8.24%	5.27%	1.39%	7.14%	8.20%	7.41%	2.83%	7.19%	8.72%	7.18%	6.39%	16.30%	6.04%	3.21%	8.69%	4.56%	17.78%	5.74%	2.22%	5.62%	6.42%	6.95%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	72	1	2	0	2	5	0	0	1	7	6	3	7	0	1	1	2	0	2	2	2	1	1	0	0	8	1	0	4	0	2	8	3					
		0.52%	0.36%	0.47%	0.00%	0.56%	0.79%	0.00%	0.00%	0.43%	0.43%	0.62%	0.32%	0.86%	0.00%	0.60%	0.33%	2.47%	0.00%	0.45%	0.58%	0.57%	0.46%	1.09%	0.00%	0.00%	1.10%	0.35%	0.00%	0.96%	0.00%	0.33%	0.92%	0.35%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8775	212	268	221	242	418	147	36	133	947	586	565	532	48	90	187	51	137	273	179	232	141	64	294	315	425	191	64	258	35	381	518	585					
		62.88%	75.44%	63.06%	75.95%	67.22%	65.93%	50.17%	45.57%	57.58%	58.67%	60.23%	60.49%	65.20%	66.67%	53.57%	61.31%	62.96%	64.62%	61.35%	52.03%	66.67%	64.38%	69.57%	71.01%	72.25%	58.62%	67.02%	71.11%	61.72%	77.78%	62.98%	59.40%	68.90%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	75	2	2	1	1	3	0	1	2	9	6	8	4	1	1	0	1	0	5	1	0	0	0	0	0	3	0	0	1	0	10	5	8					
		0.54%	0.71%	0.47%	0.34%	0.28%	0.47%	0.00%	1.27%	0.87%	0.56%	0.62%	0.86%	0.49%	1.39%	0.60%	0.00%	1.23%	0.00%	1.12%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.24%	0.00%	1.65%	0.57%	0.94%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
