Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																															
Дата голосования: 04.12.2011																																															
																																															
Наименование Избирательной комиссии:    Мокроусовская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список избирателей"	10117	255	455	656	622	254	514	286	334	236	233	117	134	214	84	146	283	336	313	48	352	115	554	71	299	157	300	158	282	99	143	56	402	87	67	330	205	277	312	277	54					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10425	270	450	660	640	265	520	300	325	235	230	135	130	225	90	150	300	335	325	40	370	120	555	80	305	165	340	165	300	105	140	60	420	90	65	345	225	300	315	280	55					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6280	151	272	395	363	166	274	191	220	154	134	93	69	149	53	102	218	221	164	36	212	78	368	40	178	85	197	94	171	64	82	39	222	58	48	224	132	165	193	168	37					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	765	15	15	36	20	14	27	16	38	11	11	15	29	23	2	11	21	29	34	2	23	5	24	5	26	19	25	26	20	7	19	5	48	2	3	22	40	33	26	14	4					
6	Число погашенных избирательных бюллетеней	3380	104	163	229	257	85	219	93	67	70	85	27	32	53	35	37	61	85	127	2	135	37	163	35	101	61	118	45	109	34	39	16	150	30	14	99	53	102	96	98	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	764	15	15	36	20	14	27	16	38	11	11	15	28	23	2	11	21	29	34	2	23	5	24	5	26	19	25	26	20	7	19	5	48	2	3	22	40	33	26	14	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6280	151	272	395	363	166	274	191	220	154	134	93	69	149	53	102	218	221	164	36	212	78	368	40	178	85	197	94	171	64	82	39	222	58	48	224	132	165	193	168	37					
9	Число недействительных избирательных бюллетеней	90	3	3	10	5	4	7	2	6	1	3	0	3	1	0	1	1	2	1	0	5	3	4	1	0	0	2	0	1	0	0	0	9	0	0	6	3	1	0	1	1					
10	Число действительных избирательных бюллетеней	6954	163	284	421	378	176	294	205	252	164	142	108	94	171	55	112	238	248	197	38	230	80	388	44	204	104	220	120	190	71	101	44	261	60	51	240	169	197	219	181	40					
