Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Ногликская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115					
1	"Число избирателей, внесенных в списки"	10436	866	1015	933	2987	1449	1779	595	812					
2	"Число бюллетеней, полученных участковыми комиссиями"	10050	850	1000	900	2900	1400	1600	600	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4860	459	501	355	1510	697	707	322	309					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	487	16	37	10	47	22	63	26	266					
6	Число погашенных бюллетеней	4703	375	462	535	1343	681	830	252	225					
7	Число бюллетеней в переносных ящиках для голосования	487	16	37	10	47	22	63	26	266					
8	Число бюллетеней в стационарных ящиках для голосования	4853	459	501	355	1506	694	707	322	309					
9	Число недействительных бюллетеней	50	7	3	2	7	6	10	10	5					
10	Число действительных бюллетеней	5290	468	535	363	1546	710	760	338	570					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	160	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	11	2	0	6	5	6	1	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	6	3	4	70	7	0	2	34					
14	Число погашенных открепительных удостоверений	122	9	18	20	14	15	14	19	13					
15	Число открепительных удостоверений выданных ТИК	22	2	2	1	9	1	1	3	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	69	8	5	5	16	2	13	6	14					
		1.29%	1.68%	0.92%	1.36%	1.03%	0.27%	1.68%	1.72%	2.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	184	3	21	18	54	30	34	11	13					
		3.44%	0.63%	3.90%	4.93%	3.47%	4.18%	4.41%	3.16%	2.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	203	17	13	11	66	29	33	16	18					
		3.80%	3.57%	2.41%	3.01%	4.24%	4.05%	4.28%	4.59%	3.13%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	281	8	52	21	89	44	33	13	21					
		5.26%	1.68%	9.66%	5.75%	5.73%	6.14%	4.28%	3.73%	3.65%					
22	"5. ""За Русь Святую"""	24	3	6	0	7	2	2	2	2					
		0.44%	0.63%	1.11%	0.0%	0.45%	0.27%	0.25%	0.57%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	3	1	1	6	0	2	2	3					
		0.33%	0.63%	0.18%	0.27%	0.38%	0.0%	0.25%	0.57%	0.52%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	3	4	4	8	6	3	1	2					
		0.58%	0.63%	0.74%	1.09%	0.51%	0.83%	0.38%	0.28%	0.34%					
25	"8. ""Народно-республиканская партия России"""	10	1	0	1	2	1	1	3	1					
		0.18%	0.21%	0.0%	0.27%	0.12%	0.13%	0.12%	0.86%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	1	2	1	6	3	3	3	4					
		0.43%	0.21%	0.37%	0.27%	0.38%	0.41%	0.38%	0.86%	0.69%					
27	"10. ""Аграрная партия России"""	103	4	12	11	25	12	11	9	19					
		1.92%	0.84%	2.23%	3.01%	1.60%	1.67%	1.42%	2.58%	3.30%					
28	"11. ""Истинные патриоты России"""	5	1	0	0	2	0	1	1	0					
