Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Демянская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133					
1	"Число избирателей, внесенных в списки избирателей"	12134	190	313	232	2129	2535	160	292	260	1249	1607	169	134	403	478	351	283	502	217	630					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11370	190	300	230	2000	2200	160	300	250	1200	1500	160	120	400	450	350	260	480	220	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7295	129	185	176	1239	1486	111	202	169	753	850	100	75	257	259	202	176	285	141	500					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1066	10	80	25	75	83	19	35	51	105	89	41	38	71	54	65	63	79	31	52					
6	Число погашенных избирательных бюллетеней	3009	51	35	29	686	631	30	63	30	342	561	19	7	72	137	83	21	116	48	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1066	10	80	25	75	83	19	35	51	105	89	41	38	71	54	65	63	79	31	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7295	129	185	176	1239	1486	111	202	169	753	850	100	75	257	259	202	176	285	141	500					
9	Число недействительных избирательных бюллетеней	70	0	1	1	14	26	1	3	1	0	8	0	1	0	2	1	2	3	3	3					
10	Число действительных избирательных бюллетеней	8291	139	264	200	1300	1543	129	234	219	858	931	141	112	328	311	266	237	361	169	549					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	191	2	8	4	16	25	8	9	8	18	10	8	8	7	10	6	8	15	11	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	149	2	4	4	15	21	4	9	4	18	6	1	4	7	9	5	0	15	11	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	78	1	2	0	17	14	2	2	0	2	6	6	3	2	6	1	1	0	9	4					
